gvkey,combine,call_title,firm_full_name,firm_name,ticker,call_type,date_EST,time_EST,time_raw,call_participants,call_participants_titles
9125,0,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020","Richardson Electronics, Ltd. NasdaqGS:RELL","Richardson Electronics, Ltd.",NasdaqGS:RELL,FQ3 2020 Earnings Call Transcripts,4/9/20,4/9/20 9:00,"Thursday, April 09, 2020 2:00 PM GMT","{'EXECUTIVES': ['Edward J. Richardson', 'Gregory J. Peloquin', 'Jens Ruppert', 'Robert J. Ben', 'Wendy S. Diddell'], 'ANALYSTS': ['Eric Landry', 'Harry Sauers;Sauers Value Partners;Analyst', 'Marc Silk']}","{'Edward J. Richardson': 'CEO, COO, President & Chairman', 'Gregory J. Peloquin': 'Executive Vice President of Power & Microwave Technologies Group', 'Jens Ruppert': 'Executive VP & GM of Canvys', 'Robert J. Ben': 'Executive VP, CFO, Chief Accounting Officer & Corporate Secretary', 'Wendy S. Diddell': 'COO & Executive VP of Corporate Development', 'Eric Landry': 'BML Capital Management, LLC', 'Harry Sauers;Sauers Value Partners;Analyst': '', 'Marc Silk': 'Silk Investment Advisers'}"
64929,0,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020","Simulations Plus, Inc. NasdaqCM:SLP","Simulations Plus, Inc.",NasdaqCM:SLP,FQ2 2020 Earnings Call Transcripts,4/9/20,4/9/20 15:15,"Thursday, April 09, 2020 8:15 PM GMT","{'EXECUTIVES': ['John R. Kneisel', ""Shawn M. O'Connor""], 'ANALYSTS': ['Matthew Gregory Hewitt'], 'ATTENDEES': ['Cameron Donahue']}","{'John R. Kneisel': 'CFO & Corporate Secretary', ""Shawn M. O'Connor"": 'Chief Executive Officer', 'Matthew Gregory Hewitt': 'Craig-Hallum Capital Group LLC, Research Division', 'Cameron Donahue': 'Hayden IR, LLC'}"
23705,0,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",PAVmed Inc. NasdaqCM:PAVM,PAVmed Inc.,NasdaqCM:PAVM,FQ4 2019 Earnings Call Transcripts,4/9/20,4/9/20 15:30,"Thursday, April 09, 2020 8:30 PM GMT","{'EXECUTIVES': ['Dennis M. McGrath', 'Lishan Aklog', 'Mike Havrilla'], 'ANALYSTS': ['Anthony V. Vendetti', 'John Andrew Levin', 'Unknown Analyst']}","{'Dennis M. McGrath': 'President, CFO & Secretary', 'Lishan Aklog': 'Chairman & CEO', 'Mike Havrilla': 'Director of Investor Relations', 'Anthony V. Vendetti': 'Maxim Group LLC, Research Division', 'John Andrew Levin': 'Levin Capital Strategies, L.P.', 'Unknown Analyst': ''}"
61712,0,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020","Blonder Tongue Laboratories, Inc. AMEX:BDR","Blonder Tongue Laboratories, Inc.",AMEX:BDR,FQ4 2019 Earnings Call Transcripts,4/9/20,4/9/20 10:00,"Thursday, April 09, 2020 3:00 PM GMT","{'EXECUTIVES': ['Edward Rowland Grauch', 'Eric S. Skolnik'], 'ATTENDEES': ['Unknown Attendee']}","{'Edward Rowland Grauch': 'President & CEO', 'Eric S. Skolnik': 'Senior VP, CFO, Treasurer & Secretary', 'Unknown Attendee': ''}"
65343,0,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020","PriceSmart, Inc. NasdaqGS:PSMT","PriceSmart, Inc.",NasdaqGS:PSMT,FQ2 2020 Earnings Call Transcripts,4/9/20,4/9/20 11:00,"Thursday, April 09, 2020 4:00 PM GMT","{'EXECUTIVES': ['Michael L. McCleary', 'Sherry S. Bahrambeygui'], 'ANALYSTS': ['Jonathan Paul Braatz', 'Rodrigo Echagaray']}","{'Michael L. McCleary': 'Executive VP, CFO & Principal Accounting Officer', 'Sherry S. Bahrambeygui': 'CEO & Director', 'Jonathan Paul Braatz': 'Kansas City Capital Associates', 'Rodrigo Echagaray': 'Scotiabank Global Banking and Markets, Research Division'}"
11234,0,"WD-40 Company, Q2 2020 Earnings Call, Apr 09, 2020",WD-40 Company NasdaqGS:WDFC,WD-40 Company,NasdaqGS:WDFC,FQ2 2020 Earnings Call Transcripts,4/9/20,4/9/20 16:00,"Thursday, April 09, 2020 9:00 PM GMT","{'EXECUTIVES': ['Garry O. Ridge', 'Jay W. Rembolt', 'Steven A. Brass', 'Wendy Kelley'], 'ANALYSTS': ['Daniel Dalton Rizzo', 'Linda Ann Bolton-Weiser']}","{'Garry O. Ridge': 'Chairman & CEO', 'Jay W. Rembolt': 'CFO, VP of Finance & Treasurer', 'Steven A. Brass': 'President & COO', 'Wendy Kelley': 'Director of Investor Relations & Corporate Communications', 'Daniel Dalton Rizzo': 'Jefferies LLC, Research Division', 'Linda Ann Bolton-Weiser': 'D.A. Davidson & Co., Research Division'}"
61732,0,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020","MSC Industrial Direct Co., Inc. NYSE:MSM","MSC Industrial Direct Co., Inc.",NYSE:MSM,FQ2 2020 Earnings Call Transcripts,4/8/20,4/8/20 7:30,"Wednesday, April 08, 2020 12:30 PM GMT","{'EXECUTIVES': ['Erik David Gershwind', 'John G. Chironna'], 'ANALYSTS': ['Adam William Uhlman', 'David John Manthey', 'Hamzah Mazari', 'John George Inch', 'Michael Lawrence McGinn', 'Patrick Michael Baumann', 'Robert Stephen Barger', 'Ryan James Merkel', 'Samuel John Darkatsh']}","{'Erik David Gershwind': 'President, CEO & Director', 'John G. Chironna': 'VP of Investor Relations & Treasurer', 'Adam William Uhlman': 'Cleveland Research Company', 'David John Manthey': 'Robert W. Baird & Co. Incorporated, Research Division', 'Hamzah Mazari': 'Jefferies LLC, Research Division', 'John George Inch': 'Gordon Haskett Research Advisors', 'Michael Lawrence McGinn': 'Wells Fargo Securities, LLC, Research Division', 'Patrick Michael Baumann': 'JP Morgan Chase & Co, Research Division', 'Robert Stephen Barger': 'KeyBanc Capital Markets Inc., Research Division', 'Ryan James Merkel': 'William Blair & Company L.L.C., Research Division', 'Samuel John Darkatsh': 'Raymond James & Associates, Inc., Research Division'}"
8902,0,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",RPM International Inc. NYSE:RPM,RPM International Inc.,NYSE:RPM,FQ3 2020 Earnings Call Transcripts,4/8/20,4/8/20 9:00,"Wednesday, April 08, 2020 2:00 PM GMT","{'EXECUTIVES': ['Silke Kueck-Valdes', 'Steve Byrne', 'Vincent Stephen Andrews', 'Frank C. Sullivan', 'Matthew T. Ratajczak', 'Russell L. Gordon'], 'ANALYSTS': ['Arun Shankar Viswanathan', 'Frank Joseph Mitsch', 'Ghansham Panjabi', 'John Patrick McNulty', 'Joshua David Spector', 'Kevin William Hocevar', 'Kevin William McCarthy', 'Michael Joseph Harrison', 'Rosemarie Jeanne Morbelli']}","{'Silke Kueck-Valdes': 'JP Morgan Chase & Co, Research Division', 'Steve Byrne': 'BofA Merrill Lynch, Research Division', 'Vincent Stephen Andrews': 'Morgan Stanley, Research Division', 'Frank C. Sullivan': 'Chairman, President & CEO', 'Matthew T. Ratajczak': 'VP of Global Tax & Treasurer', 'Russell L. Gordon': 'VP & CFO', 'Arun Shankar Viswanathan': 'RBC Capital Markets, Research Division', 'Frank Joseph Mitsch': 'Fermium Research, LLC', 'Ghansham Panjabi': 'Robert W. Baird & Co. Incorporated, Research Division', 'John Patrick McNulty': 'BMO Capital Markets Equity Research', 'Joshua David Spector': 'UBS Investment Bank, Research Division', 'Kevin William Hocevar': 'Northcoast Research Partners, LLC', 'Kevin William McCarthy': 'Vertical Research Partners, LLC', 'Michael Joseph Harrison': 'Seaport Global Securities LLC, Research Division', 'Rosemarie Jeanne Morbelli': 'Morgan Group Holding Co.'}"
5888,0,"Teligent, Inc., Q4 2019 Earnings Call, Apr 08, 2020","Teligent, Inc. NasdaqGS:TLGT","Teligent, Inc.",NasdaqGS:TLGT,FQ4 2019 Earnings Call Transcripts,4/8/20,4/8/20 7:00,"Wednesday, April 08, 2020 12:00 PM GMT","{'EXECUTIVES': ['Damian Finio', 'Timothy B. Sawyer'], 'ANALYSTS': ['Matthew Gregory Hewitt']}","{'Damian Finio': 'Corporate Secretary & CFO', 'Timothy B. Sawyer': 'President & CEO', 'Matthew Gregory Hewitt': 'Craig-Hallum Capital Group LLC, Research Division'}"
31494,0,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020","SMART Global Holdings, Inc. NasdaqGS:SGH","SMART Global Holdings, Inc.",NasdaqGS:SGH,FQ2 2020 Earnings Call Transcripts,4/7/20,4/7/20 15:30,"Tuesday, April 07, 2020 8:30 PM GMT","{'EXECUTIVES': ['Ajay B. Shah', 'Jack A. Pacheco', 'Suzanne Schmidt'], 'ANALYSTS': ['Blayne Peter Curtis', 'Brian Edward Chin', 'Mark John Lipacis', 'Rajvindra S. Gill', 'Shek Ming Ho', 'Suji Desilva']}","{'Ajay B. Shah': 'Chairman, CEO & President', 'Jack A. Pacheco': 'Executive VP, COO & CFO', 'Suzanne Schmidt': 'Investor Relations Officer', 'Blayne Peter Curtis': 'Barclays Bank PLC, Research Division', 'Brian Edward Chin': 'Stifel, Nicolaus & Company, Incorporated, Research Division', 'Mark John Lipacis': 'Jefferies LLC, Research Division', 'Rajvindra S. Gill': 'Needham & Company, LLC, Research Division', 'Shek Ming Ho': 'Deutsche Bank AG, Research Division', 'Suji Desilva': 'Roth Capital Partners, LLC, Research Division'}"
