,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",QA,0,Operator,,,[Operator Instructions] Our first question comes from Alex Fuhrman with Craig-Hallum.
1,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",QA,1,Alex Joseph Fuhrman,"Craig-Hallum Capital Group LLC, Research Division",ANALYSTS,"Certainly, wishing everyone at 1-800-Flowers out in New York and around the country, all the best during these tough times. I wanted to ask about the -- how your business has progressed over the past 6 to 8 weeks? It sounds like business kind of got softer there in late March and has now come back in many regards as, as stronger than before. Can you kind of walk us through how that's been impacting the different brands? It would seem like Gourmet Foods and floral and certainly, your foods brands kind of range from sweets to prepared meals. Just curious how each of those brands has performed in March and then in April? And then how you're expecting them to perform in your fourth quarter?"
2,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",QA,2,Christopher G. McCann,"CEO, President & Director",EXECUTIVES,"Great, Alex. I'll make a start at that, and then Bill could chime in as -- definitely as he seems fit. Well, if we look back when this really started to hit, I think the first thing we noticed was that our food brands, and that's one of the things that we're really proud of is the product diversification that we have and how well-positioned we are for different impacts to our society and our economy. So our food brands started to perform well as soon as the crisis started to hit and have just really accelerated since then."
3,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",QA,3,Christopher G. McCann,"CEO, President & Director",EXECUTIVES,"The floral brands really took a hit in the first couple of weeks of the crisis, really those last 2 weeks or so of March. So we were scrambling as we're trying to manage that and put out the fires that were happening across the company. And again, rapidly, rapidly changing. So management team meeting a couple of times a day on a regular basis and things changing by the hour. So those were some crazy times. But well, as we've seen business continue, the floral business then start to pick up really as we moved into April and has been really accelerating since then. And again, for all of the different reasons that people are looking to express and connect, as a society, when we go into this form of isolation, we really yearn for those connections, and we're making all of these efforts that connects. So our product line, both floral and food brands, are fitting that consumer sentiment perfectly."
4,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",QA,4,Christopher G. McCann,"CEO, President & Director",EXECUTIVES,"And Bill, do you want to chime in some there?"
5,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",QA,5,William E. Shea,"Senior VP of Finance & Administration, Treasurer and CFO",EXECUTIVES,"Yes. My only point, Alex, on top of that -- on top of Chris' comments, would be -- so we were impacted at the end of the third quarter on Consumer Floral and BloomNet. I kind of indicated that in my formal remarks that we were trending Consumer Floral towards 9% growth and BloomNet double-digit growth before the last 2 weeks of March."
6,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",QA,6,William E. Shea,"Senior VP of Finance & Administration, Treasurer and CFO",EXECUTIVES,"As Chris mentioned, the food brands did get a benefit almost immediately, but a lot of that was Easter demand. So that didn't really ship out until April. So while we got some benefit in the third quarter, most of the benefit that we saw immediately from the food brands, is really going to be -- you'll see in the -- ultimately in the fourth quarter. And as Chris mentioned, there was a nice rebound of Consumer Floral almost at the turn of the calendar on April 1."
7,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",QA,7,Christopher G. McCann,"CEO, President & Director",EXECUTIVES,"And that's on the e-commerce side. And even if we look at Harry & David, with the stores being closed and as we moved into March, that certainly put a hit on revenue. But with Harry & David, we've been shifting so much to be an e-commerce business anyway. And that's where we're leaning into the strength that we see. On the -- and the Harry & David business, I would say, really started showing strength earlier on then followed by Cheryl's and The Popcorn Factory, and 1-800-Baskets. And they're all really -- the e-commerce demand is outpacing our ability to keep up with it at this point."
8,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",QA,8,Alex Joseph Fuhrman,"Craig-Hallum Capital Group LLC, Research Division",ANALYSTS,"Great. That's really helpful. And then if I could just ask, as a quick follow-up, all the strength you're seeing at Harry & David and the other Gourmet Foods brand. Has that been primarily your existing customers just ordering more frequently and bigger? Or are you getting a lot of new customers coming into those brands as well?"
9,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",QA,9,Christopher G. McCann,"CEO, President & Director",EXECUTIVES,"Sure, Alex. It's a combination of both. And new customer growth is really, really strong, but so is existing customer activity. Passport customer activity has been fantastic. So we're seeing that across the board. If we look even at Q3, we had new customer growth in Q3 of 30%. That's accelerated since then. So what we're seeing happening to our customer file really positions us well as we move forward, especially what we're seeing with Passport, multi-brand customer behavior, really strengthening the customer file."
10,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",QA,10,Operator,,,Our next question comes from Dan Kurnos with The Benchmark Company.
11,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",QA,11,Daniel Louis Kurnos,"The Benchmark Company, LLC, Research Division",ANALYSTS,"Chris, may be you can just go a little bit deeper on your comments in sort of the marketplace. And I think people are looking at e-com right now. We had eBay out last night talking about sort of a tailing off of trail winds -- tailwinds, excuse me. And just curious sort of what you guys are doing to maintain may be the influx of customers or the tailwind that you're seeing, so incremental incentives? Or what you're doing to make sure that you retain sort of the bump that you're seeing in the marketplace right now?"
12,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",QA,12,Daniel Louis Kurnos,"The Benchmark Company, LLC, Research Division",ANALYSTS,"And then secondly, may be what you're seeing from a competitive standpoint? Are your competitors struggling more in this environment? And is this helping you build your lead, build that mode that you've been doing for pretty much the last 24, 36 months?"
13,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",QA,13,Christopher G. McCann,"CEO, President & Director",EXECUTIVES,"Sure. Thank you, Dan. As I look at what's taking place in the marketplace, I think, first and foremost, we challenges as we see consumer confidence dipping as the economy struggles a bit. But overall, consumer sentiment is really moved to a place that fits our business and fits our mission of inspiring people to connect and express."
