,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,0,Operator,,,[Operator Instructions] Your first question comes from the line of Mr. Brad Zelnick from Credit Suisse.
1,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,1,Brad Alan Zelnick,"Crédit Suisse AG, Research Division",ANALYSTS,"Great. Thank you so much, guys. I know this is an earnings call, but I just want to start by acknowledging how fantastic your mission is and especially how you're helping the world during the current crisis. I think it's just really, really important to say that."
2,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,2,Christopher J. Paucek,"Co-Founder, CEO & Director",EXECUTIVES,"Thank you, Brad. Really appreciate it."
3,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,3,Brad Alan Zelnick,"Crédit Suisse AG, Research Division",ANALYSTS,You're quite welcome. I've got question?
4,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,4,Christopher J. Paucek,"Co-Founder, CEO & Director",EXECUTIVES,"Yes, go ahead."
5,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,5,Brad Alan Zelnick,"Crédit Suisse AG, Research Division",ANALYSTS,"Yes, no, please. You go ahead."
6,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,6,Christopher J. Paucek,"Co-Founder, CEO & Director",EXECUTIVES,"No, it's just -- it's been an unbelievable 6 weeks. I will tell you, we've been -- we really -- I feel like we are a microcosm a little bit of what's happening in higher ed and everything from our ELPA program, where you've got people on the front lines to our nursing programs, to our public health programs. You've got -- it does -- it is super motivating to the employees, and it should be and I'm very proud of the work they're doing, but thank you for saying it."
7,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,7,Christopher J. Paucek,"Co-Founder, CEO & Director",EXECUTIVES,"For sure, I really mean it. I had a question for you, Chip, and a quick follow-up for Paul. So Chip, in an earlier press release, you mentioned the company has begun developing solutions to enable continuity for universities on-campus and online efforts in the fall. Can you expand on this a little bit more and how we should think about this from a monetization standpoint as well as new partner relationships?"
8,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,8,Christopher J. Paucek,"Co-Founder, CEO & Director",EXECUTIVES,"Well, we have 73 partners. So there's a lot to do just within our partner base. So the first step was just to make sure everybody was up and running and doing as well as possible, and that's why we rolled out the training and all of that. For the fall, we think by the next call, we'll be able to give a better estimate as to what the new solutions will look like, how they'll be structured. So 2U OS Essential, as we're calling it, is, we think does allow the company to potentially open the door to some new university partners. And it's a combination of our technology and our support and we've had a really good response to it. Unfortunately, as you know, this is rapidly evolving and not much time has passed. So we're not yet at a point where we can give you too much clarity on exactly how many schools and what it looks like. But we do think it's a different model than the J-curve that you see in the investment programs. Now separately, what's also become clear, and this part, we can say strongly, is that pipeline for our existing model will increase because of this. We're being careful and thoughtful about what we choose to do. And as a company, we have not made a decision to increase the number of sort of traditional investment-based model programs that will run yet. But there's no doubt that demand has picked up. I think the pandemic has sort of multi- dimensional impact to our partners. And it's clear that the investment model will be in more demand. So Brad, I think by the time we get to the next call, we'll have a lot more to say. Schools are in the decision- making period in terms of how they're going to handle fall. Studio in the Box is pretty interesting because I think the notion of -- what people really need right now, it's a little bit less about the technology. The technology is the enabling function, but it's the pedagogy, the expertise of how to drive high-quality online instruction and how to do it in an environment where you can't go to a studio easily. And so very proud of the innovation that's occurred there. We've got a bunch of these being deployed right now, and we really like what it means for the company, go forward. But in the short term, we're thinking much more about just how to support the schools, not necessarily focused on the financial benefits of it. We do think long term, it will have great financial benefits. But net-net, we're thinking more about the people. These are relationships we've had for a very long time. And in some cases, we've had quite a bit of inbound of folks that are interested in us helping them figure out how to build something positive going forward. So it's just been an extraordinary 4 to 6 weeks, and we obviously had to convert during the process. So no shortage of activity going on here, that I will tell you."
9,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,9,Paul S. Lalljie,Chief Financial Officer,EXECUTIVES,"That all makes a lot of sense. And maybe just for Paul, does the convertible note transaction and in particular, upsizing the initial deal, in any way, change the way you're thinking about program launches or future investments?"
10,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,10,Paul S. Lalljie,Chief Financial Officer,EXECUTIVES,"Brad, one of the main things we wanted to -- we set out to do here at the beginning of the year is to give ourselves flexibility. We want to focus on positive cash flows. We want to focus on positive EBITDA, and we wanted to ensure that we had the financial flexibility. This transaction allowed us to do that. I mean, I listed some of them, right? Let me revisit them for you. The first one is financial covenants. The second one is $11 million savings on free cash, if you will, because we're not going to pay that much of interest expense anymore. It does give us the latitude. However, all of this is governed by the framework that we outlined back in the fourth quarter of '19 which is we're going to manage by ROIC. We're going to choose and select the programs as we optimize cash, and we're going to do it for the same quality that our partners have accustomed receiving from us. The bottom line is we want to set ourselves up as well what we're trying to accomplish as a company. Once we're disciplined, I think we will have the flexibility to increase cadence if we need to."
11,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,11,Paul S. Lalljie,Chief Financial Officer,EXECUTIVES,Your next question comes from the line of Jeff Silber from BMO Capital Markets.
12,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,12,Jeffrey Marc Silber,BMO Capital Markets Equity Research,ANALYSTS,"Chip, I think you might have alluded to this in your earlier response, but I'm just curious in terms of the types of the conversations that you're having with the university partners, either the ones that are your current partners or potential partners. What are they looking for near term? What are they looking for longer term?"
