,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",QA,0,Operator,,,[Operator Instructions] Our first question comes from the line of Andrew Obin with Bank of America.
1,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",QA,1,,,,It's great to see 3M finally doing what 3M always does. Congratulations.
2,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",QA,2,Nicholas C. Gangestad,Senior VP & CFO,EXECUTIVES,Thank you.
3,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",QA,3,Michael F. Roman,"CEO, President & Chairman",EXECUTIVES,"Just first question, just a big picture question. In terms of your capacity additions in nonwovens and, specifically, respirators, how do you think the industry will change because you're not the only ones adding capacity? Lots of capacity added in China. All of a sudden, you have Honeywell showing up in North America and Europe. What does it mean for competitive environment 2 years out?"
4,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",QA,4,Michael F. Roman,"CEO, President & Chairman",EXECUTIVES,"Yes. Andrew, it's a little hard to look 2 years out. But certainly, as we think about capacity expansion that we're doing today, a big part of that is in that category of surge capacity for situations like we're facing with COVID-19, there is going to be, we think, a significant tail to demand in this. You can look out. There's demand from governments, from health care and there's also ongoing demand in the industry as industry comes back from economic slowdown. So we're mapping all of that into our capacity and then we're working with governments and the Department of Defense in the U.S. to plan for capacity that would be dedicated to their needs in a COVID-like crisis. So it's -- I think it's really lined up well with what we see as ongoing market and industry demand. And we're looking, obviously, broader than just our capacity. We're looking at the marketplace and the capabilities. And it's -- and we're focusing here on N95 and really respiratory solutions that meet those requirements."
5,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",QA,5,Michael F. Roman,"CEO, President & Chairman",EXECUTIVES,"So I think it's got a view as far as we can see it. As we look out further beyond, you said a couple of years out, it's going to depend on where we end up in those big end markets, health care and industrial."
6,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",QA,6,Andrew Burris Obin,,,"And just on an unrelated topic, I think there were some news items. I think Bloomberg reported some sort of developments in the hearing protection lawsuits. Can you just -- and it's interesting, I guess, the message is on pricing and disclosure. And I guess, in light that you guys actually published list for N95. But can you just comment where you are in terms of this hearing protection lawsuit? And any comment sort of on the Bloomberg article?"
7,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",QA,7,Michael F. Roman,"CEO, President & Chairman",EXECUTIVES,"Yes. Thank you, Andrew. Let me start here. 3M has great respect for the brave men and women who protect us around the world. And we have a long history of partnering with the U.S. military, and we continue to be committed to making safe products. We've worked in close coordination with them, and 3M did not withhold information from the government about fit and use of this product. The narrative out there is misleading and really lacks context. So I think it's -- we will defend ourselves and we deny that our product was defectively designed. So I would just say that, that narrative is very misleading."
8,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",QA,8,Michael F. Roman,"CEO, President & Chairman",EXECUTIVES,Our next question comes from the line of Deane Dray with RBC Capital Markets.
9,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",QA,9,Deane Michael Dray,"RBC Capital Markets, Research Division",ANALYSTS,"I'd also like to add my appreciation for all the 3M has done to help health care workers globally. And in my view, that's exactly the kind of corporate citizen we'd expect 3M to respond. And so congratulations to everybody."
10,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",QA,10,Michael F. Roman,"CEO, President & Chairman",EXECUTIVES,"Yes. Thanks, Deane."
