,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",QA,0,Operator,,,[Operator Instructions] First question is from the line of Leon Boros from Equity Strategies.
1,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",QA,1,Leon Boros,Equity Strategies Ltd.,ANALYSTS,"That was a great presentation and great results for 2019 and very successful disposal. My question is really focused on the future, though, and the three financial questions. The first is, do you have an approximate split of the EUR 15 million you expect to spend over the next 2 years between OpEx and CapEx, including capitalized R&D?"
2,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",QA,2,Leon Boros,Equity Strategies Ltd.,ANALYSTS,"Second question relates to the conditions attached to the escrow. I understand that it's going to be held in escrow, that part of the proceeds for 2 years. It'd be interesting to see what the risks associated with that are."
3,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",QA,3,Leon Boros,Equity Strategies Ltd.,ANALYSTS,"And finally, are there any corporate taxes that have to be paid on the sale of the Expedeon businesses?"
4,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",QA,4,Heikki Lanckriet,"CEO, Chief Scientific Officer & Member of Management Board",EXECUTIVES,"Okay. Leon, good to hear from you. So this is Heikki. So I'll answer the first the question. Maybe we don't have a massively detailed budget on whether OpEx and the CapEx will be and to some extent will depend a little bit on the IFRS rules, what can be capitalized with them and what cannot be capitalized. But clearly, of that EUR 15 million, a significant portion will be OpEx and will go through the P&L. And I mean, roughly, if I would have to guess now, it's probably going to be half of OpEx and half CapEx."
5,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",QA,5,Heikki Lanckriet,"CEO, Chief Scientific Officer & Member of Management Board",EXECUTIVES,"Yes. So on the tax question, we have reviewed in quite a bit detail the prospective tax on the transaction. And we expect -- well, we -- it's actually going to be less than EUR 0.5 million, and that's a consequence of the legacy tax position of 4basebio AG as well Expedeon AG as well SYGNIS with losses and release that has available to it. So yes, overall, a very modest tax impact."
6,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",QA,6,Heikki Lanckriet,"CEO, Chief Scientific Officer & Member of Management Board",EXECUTIVES,I'll refer to David on the tax question. David?
7,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",QA,7,Leon Boros,Equity Strategies Ltd.,ANALYSTS,Could you say something about the escrow?
8,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",QA,8,David Roth,CFO & Member of Management Board,EXECUTIVES,"Yes. Apologies. So the escrow is effectively held for the purpose of any prospective warranty claims, and it has a 2-year duration. It's -- as we sit here now, we're expecting that money to be recovered in full in 2 years' time."
9,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",QA,9,David Roth,CFO & Member of Management Board,EXECUTIVES,The next question comes from the line of Christian Orquera from First Berlin.
10,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",QA,10,Christian Orquera,First Berlin Equity Research GmbH,ANALYSTS,"Yes. I have a few questions, if I may, on the financial and the technology itself. The first question, let's start with the financials. The one would be a follow-up question from the previous one. You mentioned"
11,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",QA,11,Christian Orquera,First Berlin Equity Research GmbH,ANALYSTS,"OpEx, CapEx. If I take the 2019 as reference where you had about a EUR 5 million OpEx on the continuing operations, roughly, it was about 20% marketing, 70% admin and 10% R&D. I assume this mix would change a lot as there will be more R&D. Can you give some feeling about how would probably admin will change R&D?"
