,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",QA,0,Operator,,,[Operator Instructions] The first comes from Ted Nyhan from JPMorgan.
1,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",QA,1,Ted Nyhan,"JP Morgan Chase & Co, Research Division",ANALYSTS,Just a couple of questions from me. What is the -- your current outlook for the German casino business in the context of the new interstate treaty and some of the restrictions that are in that?
2,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",QA,2,Ted Nyhan,"JP Morgan Chase & Co, Research Division",ANALYSTS,"And in terms of M&A, do you think that activity is likely during the COVID period? Or is this something for more the medium term and finally, I suppose, is there -- what's your outlook for gaming duties in FY '20, so from either new markets or tax increases?"
3,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",QA,3,Ted Nyhan,"JP Morgan Chase & Co, Research Division",ANALYSTS,"So Aviad, do you want to answer -- would you like to answer those questions?"
4,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",QA,4,Aviad Kobrine,CFO & Director,EXECUTIVES,"I will give it my best, Itai. As we know, Germany was supposed to regulate sports betting on an interim basis until July '21. When the new regime comes into place, as we all know, last week, an Austrian company filed a challenge to the sports betting licensing process and the various arguments, including lack of transparency. A court basically granted suspension of that regime, and these sport licenses are not going to be issued immediately."
5,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",QA,5,Aviad Kobrine,CFO & Director,EXECUTIVES,"We are aware that the authorities are going to appeal, and that appeal process can take anywhere from 2 to 6 or 7, 8 months. So we don't really know what's going to happen to the sport regime. Remember, this is an interim regime. And potentially, this could have implications on the casino regime under the new treaty from July '21. So I know it's not exactly the answer that you wanted, but there is uncertainty there. I think more delays are more likely than not than a week ago, and we're just going to have to follow very closely the development there. I think it was also widely held that even if the sports interim regime were to continue, there was a widely held belief that the casino regime under the new treaty would also be challenged on all sorts of ground. So the answer is we don't really know. Current status quo continues."
6,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",QA,6,Aviad Kobrine,CFO & Director,EXECUTIVES,"The last question was about changing gaming duties in 2020. At the moment, I'm not aware of changing regulate towards the second half of next year, they will impose a 29% GGR tax. And that is as much as I know at the moment. And I think I probably missed your second question, Ted. So apologies, would you be able to repeat?"
7,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",QA,7,Aviad Kobrine,CFO & Director,EXECUTIVES,Yes. I'll answer the third one...
8,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",QA,8,Itai Pazner,CEO & Director,EXECUTIVES,"Yes. M&A, it's..."
9,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",QA,9,Itai Pazner,CEO & Director,EXECUTIVES,"Yes, M&A. I'll take that question, Ted. So yes. So I think M&A activity obviously takes time. Nothing can happen there immediately, but I do think the current situation and companies that are in a less fortunate position than ours, and even companies that are in good position, I think this will initiate some new M&A opportunities and processes in the near future, so I think the processes will start quite early on. But again, the processes usually take a bit time, so I don't think they'll end in the near future. But I definitely feel that there are going to be some opportunities that crop up in the next few weeks or very early months."
10,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",QA,10,Operator,,,Next question on the line is from Simon Davies from Deutsche Bank.
11,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",QA,11,Simon John Davies,"Deutsche Bank AG, Research Division",ANALYSTS,"A few from me, please. Firstly, you've seen a remarkable shift towards a recreational player base in the U.K. Can you flesh out your comments a bit on that in terms of what is your definition of a VIP, given that revenues are now less than 5% coming from VIPs? What has happened to average lifetime value for customer over the last 18 months? And can you give an indication of what you think average stake is a slot spin at the moment?"
12,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",QA,12,Aviad Kobrine,CFO & Director,EXECUTIVES,"Aviad, would you like to take that question?"
