,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"8x8, Inc. - Special Call",QA,0,Emil Ivov,,EXECUTIVES,"So Emil, let's start out with you. As many of us know, Jitsi has started to gain a spotlight around the world. Lots of downloads, we'll talk about that. But how did these things start out? You did this at the beginning as a college kind of project."
1,"8x8, Inc. - Special Call",QA,1,Emil Ivov,,EXECUTIVES,"Oh, yes, those were really the days. Indeed, that started in 2003 at the University of Strasbourg. And a lot has changed since because it went from being a PhD validation tool to a community, to a start- up, to end up here now at 8x8. So there is one thing, however, that hasn't changed all these years, and that's an unwavering commitment toward the open: the open source, open standards. We've always been community-oriented. And we're fortunate that 8x8 fully supports these efforts and sponsors the project and its reference platform. So there are hundreds of contributors today that are helping us with it. There's tens of thousands of adopters that are running their own platforms, they're running millions of users. And all these people are interested in private and secure video meetings, whether it's online platforms like WeSchool or companies like Comcast or bank messaging platforms or, of course, 8x8's video meetings that are also powered by Jitsi and that have more than 10 million monthly active users these days."
2,"8x8, Inc. - Special Call",QA,2,Emil Ivov,,EXECUTIVES,"So almost every industry has been touched by this. You're saying telco, banking, financial services. And you just set a record for downloads. Tell us about that in terms of monthly active users as well."
3,"8x8, Inc. - Special Call",QA,3,Emil Ivov,,EXECUTIVES,"Yes. Indeed, that's 10 million. We're happy to be able to help all these people in these tough times."
4,"8x8, Inc. - Special Call",QA,4,Emil Ivov,,EXECUTIVES,"Now with that many users, there's a massive concern about video security, video meeting security. What is the root of all this? Is this just media hype, sensationalism, people are just worried about it, to make a big deal out of it? Or is there some serious issues behind this?"
5,"8x8, Inc. - Special Call",QA,5,Emil Ivov,,EXECUTIVES,"Well, Ray, I think you can think about this as a lightning strike. So that's a good example, I think. You can absolutely go on with your life and thinking that one will never strike you. And most people won't ever be struck by a lightning. But overall, many people do get struck. And when they do, the consequences to their lives are dramatic. And so countries around the world just came up with these regulations to make sure that homes and citizens are protected. So it's really the same thing here. Most people will never be targeted by attacks on their meeting content. But overall, many will be. So this is especially important in periods like now where, well, frankly, everyone is having meetings online. So you want to make sure you reduce the impact as much as possible. Enterprises would want to make sure that their employees and that their data is safe. So this is where we come in."
6,"8x8, Inc. - Special Call",QA,6,Emil Ivov,,EXECUTIVES,"So what does that really mean, though, right? How do you go about securing video meetings correctly? Like do people even notice? Or do they only notice when it doesn't go well?"
7,"8x8, Inc. - Special Call",QA,7,Emil Ivov,,EXECUTIVES,"So in many ways, really, security is just a cornerstone of everything that you have to do. And so we make sure that we use the right standards. Everything that leaves the user's machine is always encrypted. In our case, using DTLS-SRTP as mandated by the WebRTC specs. And that's great. I mean industry-proven standards that protect all data on the network, that's great. But very excitingly, we're also making great progress on end-to-end encryption so that we can deny ourselves access to actual meeting content. And I'll talk a little bit more about that in a second. But something that is very core to us, though, is that being an open-source stack, anyone can see with their own eyes what we do and how we do it. So they can verify that the levels of protection that they get are to their satisfaction just so that there are no surprises later. You say you're doing this, but it turns out you weren't. So I think you only get that when you're fully open."
8,"8x8, Inc. - Special Call",QA,8,R Wang,Constellation Research Inc.,ATTENDEES,So then is subpar encryption okay?
9,"8x8, Inc. - Special Call",QA,9,Emil Ivov,,EXECUTIVES,"It feels really tempting to ask that question, doesn't it? If people are like, come on, do I really need to be safe all the time? And when you think about it, you'll say, you probably want to say something like, well, this is just the conversation between a friend of mine and me. Does it really need to be protected? And then, have you ever really not told a friend anything confidential? Of course, you'd want it protected. But then you go, well, how about a pub meeting? Is that -- can I maybe keep that open? And yes, there are a bunch of conversations that happen in virtual happy hours that you absolutely don't want out there. So then you're like, okay, fine. But public speaking, that should be fine, right? Because there's nothing that you would want to protect there. And you're right, maybe you have nothing to protect when you're leading a public broadcast. But the people who are receiving it, they might want to protect the fact that they're participating in that meeting. It might be compromising for them. They might be living under an oppressive regime or they might be having problems with their employer or something."
