,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",QA,0,Operator,,,[Operator Instructions] And our first question comes from Carl Mellerby from SEB.
1,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",QA,1,Johan Westman,President & CEO,EXECUTIVES,"Yes. I have 2, please. With the first one related to food services. I understand that's difficult to estimate, but is it possible to give some type of indication of the expected volume drop that you foresee in Q2, but also for -- yes, for the full year 2020? And then secondly, is it possible to quantify the effect of the cost optimization programs that you have initiated within your Foodservice operations?"
2,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",QA,2,Johan Westman,President & CEO,EXECUTIVES,"Thank you for your questions, and I do respect them. At the same time, it is a time of unprecedented uncertainty. So a forecast is just a short picture as of today."
3,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",QA,3,Johan Westman,President & CEO,EXECUTIVES,"So what I will try to give you as a guidance is that when we speak about Foodservice, look at the total world and food consumption. Predominantly in the U.S. and focus on the New York area, we have a Foodservice business supplying directly into restaurants and restaurant chains, the same in the U.K., the same in Sweden, reaching the part of the European and more so the North European markets with regards to restaurants and so forth. That demand has been hit dramatically, and I think you can see by looking at other chains what those effects are."
4,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",QA,4,Johan Westman,President & CEO,EXECUTIVES,"Then we have the indirect impact as well, where we are not directly selling to what's called Foodservice, but we're selling to a Bakery customer or a Chocolate & Confectionery customer, who, in turn, has the customer within the foodservice sector, and that is also impacted. The rest of the business is consumed through retail, where it seems like the world is really protecting this supply chain in a nice way. So the demand at the moment has dropped dramatically in those sectors."
5,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",QA,5,Johan Westman,President & CEO,EXECUTIVES,"And your second question was about the cost optimization. What we are doing is that we are at the moment using the opportunities that are out there. We have operations in Foodservice within Sweden, the U.K. and the U.S., and it looks a bit different with regards to what you can do in the short to midterm perspective. We are using these government supports that are out there, but we're also looking at the outlook."
6,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",QA,6,Johan Westman,President & CEO,EXECUTIVES,"And as I mentioned before, we don't see restaurant demand bouncing back in a short week or -- it will perspective rather than only the short-term perspective, and that includes in the midterm perspective also."
7,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",QA,7,Johan Westman,President & CEO,EXECUTIVES,"So first of all, looking at the variable costs and our labor costs and so forth. But in the midterm perspective, that would include also productivity improvements and other things we can do, including also delay CapEx investments. But we're not giving any further guidance on that. We are focusing on managing this situation and keeping our operations going at the same time that we are optimizing the structure for certain parts of the business."
8,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",QA,8,Operator,,,Our next question comes from Kenneth Toll from Carnegie.
9,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",QA,9,Kenneth Toll Johansson,"Carnegie Investment Bank AB, Research Division",ANALYSTS,"Yes. So one question to follow-up on that. Do you have any sense of how much in Bakery, for example, that could go through say, grocery stores, and how much that could go through small cafes and restaurants and bakery shops and so on?"
