,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,0,Operator,,,[Operator Instructions]
1,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,1,Andre Kukhnin,"Crédit Suisse AG, Research Division",ANALYSTS,Your first question comes from the line of Andre Kukhnin from Crédit Suisse.
2,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,2,Andre Kukhnin,"Crédit Suisse AG, Research Division",ANALYSTS,"It's Andre from Crédit Suisse. I really want to understand the operational gearing in the quarter better. The SEK 575 million impact, that you showed, demonstrates about 30% drop-through. I think you were showing high numbers before. So could you maybe talk about the components of that in terms of what you did in manufacturing versus underlying operational gearing? And I have a second question after that."
3,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,3,Niclas Rosenlew,Senior VP & CFO,EXECUTIVES,"Well, so Niclas here. I mean on a very high level, as you saw, of course, I mean, with net sales organically down 8.6% or 5.5% reported. I mean we had the -- we have a negative impact on profit, of course. But then I would like to kind of tune in on the cost side where we have a positive impact as discussed. So we have -- this is not a one-off, per se. We have been working, as we've discussed in previous quarters as well, quite a lot on just improving our cost base, cost efficiency in general. And as Alrik said here, I would say now in hindsight, have been pretty timely with seeing the market changes, and this has contributed, I think, to our cost efficiency, you may call it that. So there's no magic to it. It's just hard work and over time."
4,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,4,Andre Kukhnin,"Crédit Suisse AG, Research Division",ANALYSTS,"Sorry, Niclas, I must have misled you. I was just thinking about specifically the minus SEK 575 million that you have on the profit bridge for organic sales and manufacturing volumes component before the cost development. Or does that include the cost savings?"
5,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,5,Patrik Stenberg,Director of Group Investor Relations & Competitive Intelligence and Head of Investor Relations,EXECUTIVES,"[indiscernible] No, the SEK 575 million does not include the cost savings. It includes the drop-through on the sales numbers. It does include the effect we have from the manufacturing, also taking into account the finished goods inventory. So we do have a headwind from inventory adjustments in that line as well."
6,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,6,Andre Kukhnin,"Crédit Suisse AG, Research Division",ANALYSTS,"Right. So that's why -- so the question was kind of the SEK 575 million has no positive manufacturing impact. It implies operational gearing of about 30% on the SEK 1.9 billion sales drop. I guess do you see that kind of ratio as normal as going forward? Because I think back solving the profit bridge in the past quarters on growth or declines, we kind of talked more about operational gearing of 40%, 45%."
7,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,7,Patrik Stenberg,Director of Group Investor Relations & Competitive Intelligence and Head of Investor Relations,EXECUTIVES,"No, we have done well and adapting our cost base in manufacturing. We have a good level of capability in the manufacturing operations this quarter as we did last couple of quarters as well. So, yes."
8,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,8,Alrik Danielson,"President, CEO & Director",EXECUTIVES,"Andre, this is Alrik here. And you have to also understand that, of course, as -- if this situation becomes tougher, it will be tougher to keep this kind of gearing."
9,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,9,Andre Kukhnin,"Crédit Suisse AG, Research Division",ANALYSTS,"Right, as more cost on fixed. My -- I just also wanted to follow-up, if I may, on Niclas' comment on cost development in the second half where he said to continue to offset inflation. Clearly, you more than offset inflation in Q1 by that SEK 300 million, if I bridge the bridge correctly. So I just wanted to double-check that message for Q2, whether that's part of the bridge you expect to be so as to remain at around SEK 300 million? Or to actually become 0 as a net kind of offset of the cost?"
10,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,10,Niclas Rosenlew,Senior VP & CFO,EXECUTIVES,"Well, as you understand, all understand that, I mean, most companies are taking quite a lot of actions, which are beyond and over what's, you can say, normal of what we've seen historically. And so are we, as SKF. So it's a bit tricky to exactly put a number on it what exactly it will bring and what sort of cost benefit we'll see in Q2. But let's say like this, we are working quite hard on it. And maybe it can be a bit -- seen as a bit of a careful, cautionary comment to say that we continue to offset inflation. I think that's the long- term goal for Q2, we are working on more."
11,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,11,Operator,,,Your next question comes from the line of Sebastian Kuenne from RBC.
12,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,12,Sebastian Kuenne,"RBC Capital Markets, Research Division",ANALYSTS,"Sebastian Kuenne from RBC here. Good results, as I can see. A key question for me would be the cost savings that you stated, so maybe a similar question to the one before. The cost savings, what is your estimates for now for Q2 and for the year as a whole based on the restructurings you already announced? I mean do we expect another SEK 300 million then in the coming quarters? Or is that even accelerating as you adjust capacity further? That's my first question."
13,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,13,Sebastian Kuenne,"RBC Capital Markets, Research Division",ANALYSTS,"And then another thing that puzzled me a little bit. We've heard from other companies that as long -- as soon as they have a lot of service activity, pure service activity, they see margin pressure because it's so difficult to get the engineers on the site. And this does not seem to be the case with SKF. I was wondering if you expect a deterioration of the situation of getting people to the site and maybe see more pressure from the servicing sites."
14,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,14,Niclas Rosenlew,Senior VP & CFO,EXECUTIVES,"Thanks, Sebastian. So I'll take the cost savings, and Alrik, you can take the service question. So again, if we put it into perspective, the cost side, we've now, for a number of quarters, taken out cost, so improved our cost efficiency. And we absolutely work on continuing down that same path going forward. And as we discussed in the last quarterly call, there is quite a lot still that we see, that we need to do and can do. So we'll continue to work on that. Of course, now in these times, we will take out costs over and beyond maybe what you can say is the normal trend. But it's just quite hard to say exactly how it will look like in Q2 specifically."
15,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,15,Niclas Rosenlew,Senior VP & CFO,EXECUTIVES,"But exactly of the cost savings apart from the volume, what's happening? Is that a similar number then -- because you know how many people you are releasing. So you have the numbers in front of you."
16,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,16,Niclas Rosenlew,Senior VP & CFO,EXECUTIVES,"Yes. No. So it's a, it's a good point. It's more than just people. Of course, we work on the people side, but there's a lot of other costs as well. I think as discussed in the last call, IT, for instance, and then other parts of the operation, which is not just people. So we don't want to give an exact number. Again, our -- the kind of theme that we are working on is that we are going to offset cost inflation, and now we talk about slightly longer term. But of course, as said, for Q2, there will be a lot of extra measures taken as well, but a bit hard to say exactly what number that will lead to."
17,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,17,Alrik Danielson,"President, CEO & Director",EXECUTIVES,"And then you have to understand the reason is that this is day by day. This is -- we have never seen this before when one factory is standing still. Now the automotive is trying to start-up. So then we are starting up again to support their start-up. How long will it last? It is very uncertain. So it's not meaningful to give you figure. So please understand, it's not that we don't want to."
18,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,18,Alrik Danielson,"President, CEO & Director",EXECUTIVES,"And when it comes to the service side, first of all, we have a lot of value service. We are booked up to our customers through Internet, monitoring their machines, et cetera. This has been -- we have been able to do -- continue to do this, I mean, continue to deliver to both products and services to the aftermarket during the first quarter. We have also worked a long time on actually being able to give assistance remote by not being there, et cetera. So -- and then we have a global network. So actually, we've had seen during the first quarter situations where there was an issue in -- for instance, in India, that would normally be attended by specialists from Europe, but now the Indian specialists could themselves, without traveling, so to speak, help the customer. And the similar things, actually situations where other service companies have not been able to help our customers, but we, with a general knowledge around the rotating shaft, have been able to support the customer, even sometimes beyond our normal field of expertise. But this is all before the real lockdown, if you understand. When we're talking about India, as the examples before. Now the Indian engineers are not even allowed to visit the customer and the customer in most cases in India is closed."
19,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,19,Alrik Danielson,"President, CEO & Director",EXECUTIVES,"But to simplify, you have less problems because you have more local service engineers. So no one traveling in?"
20,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,20,Alrik Danielson,"President, CEO & Director",EXECUTIVES,"We don't have this mass service. We don't have this mass with its high impact, knowledge services. It's not that we go out and service the old paper mill, for instance. We come with our engineers with high pack impact knowledge around the rotating shaft, and that's labor-intensive, less people who need to move an expert from other area from one geography to another geography. But due to the fact that we are very well spread around the world, with the good knowledge around the road taking shaft everywhere, these global or international moves have not been needed. But again, I'm talking about the first quarter."
21,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,21,Operator,,,Your next question comes from the line of Olof Cederholm from ABG.
22,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,22,Olof Cederholm,"ABG Sundal Collier Holding ASA, Research Division",ANALYSTS,"It's Olof Cederholm with ABG. I have a question on demand, which is, of course, very difficult. But you mentioned a negative 25% late March, is it in any way possible to talk about differences between the 2 segments? And also if this run rate is a good reflection of -- so far in April. And just some more color on what you've experienced."
23,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,23,Alrik Danielson,"President, CEO & Director",EXECUTIVES,"And what you see is, of course, with the automotive and aerospace segments, there's a very close -- basically the OEM market, it's a very close short value chain. And there is an immediate effect, you can say, when the customer stops, you stop immediately, and you see very short, very quickly, you see the effects of the real market. In industrial side, there's more industrial dynamics. It's more myriads of customers behind. The effects you see are slower. So you can say that we saw the real effects of the final demand, very quickly in automotive and aerospace, and we are seeing it slower in industrial. And then you can look at things, you can yourself understand that there's no sort of magic in this. If you look at, for instance, Vietnam, if you can look at the activities at garage as the activity level of garages is quite well. It correlates with our sales in a downturn. It comes a few weeks after. In an upturn, it usually comes quicker when the garages starts repairing again. And as we say, we still believe that segments like wind and agriculture which are still needed, and then they are very prioritized for many -- in many areas, will be continuing. The whole thing now depends on how quickly the world opens up again. And you can understand that this is a day-by-day endeavor. Right now, we're working to prepare to support the intended start-up of automotive in Europe, well, we just have to see how it goes."
24,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,24,Alrik Danielson,"President, CEO & Director",EXECUTIVES,"Absolutely. And could I also ask about China specifically. Are you -- some others are indicating that China is really back on track, it's a strong recovery, and we're not too far off from sort of pre-COVID levels of demand. And is that your view as well?"
25,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,25,Alrik Danielson,"President, CEO & Director",EXECUTIVES,"Well, without being specific, I can say, there are some segments, like we said, wind and others where the government is stimulating that will most probably be strong. There is right now a catch-up effect after the lockdown in China. There has been a sort of lack, especially, you could say, on the heavy vehicle side. And there are some recovery catching up on car sides as well. But the underlying, if you say general machinery, we see clearly that China is suffering from not having access to the export markets. And you have to realize China is not to open up yet. You cannot travel freely from one area of China to the other. And people are not completely back to normal. So how much this is sort of a reaction to the lockdown that has been, and you are not coming back and then what happens. And how much is this a real recovery that could last now? That's still to be seen."
26,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,26,Alrik Danielson,"President, CEO & Director",EXECUTIVES,Your next question comes from the line of Andreas Koski from Nordea.
27,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,27,Andreas Juhani Koski,"Nordea Markets, Research Division",ANALYSTS,"It's Andreas Koski from Nordea. So my first question is on the EBIT margin. So you have an adjusted EBIT margin that was unchanged from Q1 last year despite an organic revenue decline of 9%, and that came as a surprise to me. So could you explain what you have done to be able to achieve this? And how large part of the measures taken that are sticky?"
28,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,28,Niclas Rosenlew,Senior VP & CFO,EXECUTIVES,"Yes, Niclas here. So I think you should see this as a kind of a longer scene than just one quarter. Again, if we go back to the previous quarter, second half of last year, when we also saw a decline in top line, we talked about the same theme that we have, over time, been working on, obviously, timing, the market upturns and downturns, that's an important thing because there's always a lag to some of the actions taking effect or being seen in results. And then secondly, continuously working on the, call it, cost efficiency. So it is more of a theme that we expect to continue to work on and also deliver results on over time. Of course, now in these times, we did take some measures in March, specifically that took costs down. But I would say the impact on Q1, per se, wasn't massive. There were some extraordinary measures, maybe, but not massive. Of course, in Q2, we expect to see a bit more. But as you can hear, I don't want to give an exact number that out of the good cost performance, x% was one-off and y% was something that we expect to see in the future as well. But it's more geared towards the -- also expect to see in the future."
