,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,0,Operator,,,"[Operator Instructions] And we received the first question from Erik Paulsson, Pareto Securities."
1,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,1,Erik Paulsson,"Pareto Securities, Research Division",ANALYSTS,"It's Erik Paulsson at Pareto Securities. I have 2 questions. The first one is on infrastructure because this is sort of an egg-in-hand problem here regarding infrastructure and fuel cells. You need both the infrastructure and you need also fuel cells to be able to have this to work. But here what you see and what you believe is needing in terms of infrastructure for green hydrogen going forward and also hydrogen refueling. That is the first question. And the second one is for Volvo. You had earlier smaller development regarding fuel cells, but you later on, I think, divested that part and that's what become later on PowerCell. Was that decision based on what have you done in-house up until this date since then?"
2,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,2,Martin Daum,Head of the Daimler Trucks & Buses Divisions and Member of the Board of Management Daimler AG,EXECUTIVES,"Okay. Martin, I would say, start you with both questions."
3,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,3,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director AB Volvo (publ)",EXECUTIVES,"Okay. Thank you, Martin. So Martin Lundstedt here from Volvo. On the first question regarding infrastructure, that is correct that obviously this is going hand-in-hand as we have seen also for other type of deployment of new type of powertrain technologies, may that be historically LNG or electro-mobility or other types of that. And in this sense, we see this announcement as a very, very important statement to get things moving."
4,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,4,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director AB Volvo (publ)",EXECUTIVES,"What we see is obviously that in the commercial vehicle arena, both when it comes to trucks but also for other applications, it is in a way more stringent to gradually build up this because you will have the ability to concentrate around bigger goods flow for the long-haul operations and then gradually build it up. And also when it comes to the production of fuel cells, it can take place in many different forms obviously, everything from large scale to the small-scale generation at spot also with renewable electricity. So from that perspective, it is a flexible system."
5,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,5,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director AB Volvo (publ)",EXECUTIVES,"But yes, you are correct, obviously, this is one of the key parameters now during this announcement that we are calling for actions, both from the public and from governments to drive this forward because in driveline will be key. And that goes for their production, the infrastructure, the refueling and, of course, the technology on the equipment side."
6,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,6,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director AB Volvo (publ)",EXECUTIVES,"On the second question, it is true that we were investing in PowerCell up to a couple of years ago, and then we divested that. We have continued, of course, the application development in the Volvo Group since. We have been clear about that fuel cell will be one piece of the puzzle, and we have gained a lot of experience in all our different applications."
7,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,7,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director AB Volvo (publ)",EXECUTIVES,"And now when we are seeing the commercialization and the visibility for the coming decade, we have been thoroughly investigating what is the right partnership for us, both when it comes to technology with the right power levels and continuous generation of electricity and also the durability of technology and -- in that aspect, but also with ability to do a large-scale industrialization to get, so to speak, also the commercial conditions right in order to compete with diesel and other type of technologies. We have come to the conclusion that this setup is very, very attractive for Volvo, but it's also very, very attractive for our customers and societies. So we're getting the right balance when it comes to time to market, scale and thereby also a competitive offering that can drive, so to speak, the shift into a CO2-neutral society."
8,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,8,Erik Paulsson,"Pareto Securities, Research Division",ANALYSTS,Just a brief follow up there on the infrastructure side. Do you plan to invest anything on the infrastructure side coming -- going forward now in this joint venture? Is it only on the equipment side of the fuel cells?
9,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,9,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director AB Volvo (publ)",EXECUTIVES,"Yes. To follow up on that, so this joint venture is about the development -- technology development, the industrialization, production of fuel cell systems. That is then, of course, a core component, but that -- then should be implemented in different type of applications at Volvo or Daimler or at other interested parties down the road. So those are the fuel cell systems we are talking about onboard, so to speak."
10,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,10,Operator,,,The next question we received is from Ilan Rosenberg from Reuters.
11,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,11,Ilan Rosenberg;Reuters;Media,,ATTENDEES,"I would be interested if the EUR 600 million that are invested or are paid by Volvo will be invested into the joint venture? Or what would be an investment amount that is planned? So far, I think we haven't got very precise numbers on the side of Daimler yet. And when you call for the public to support this endeavor, how do you see the perspective for state subsidies in building up this infrastructure because this is already a longer standing point that is raised by the industry? And the third question is, what role did Geely play? Is this a project -- well -- in all this work program of Daimler and Geely to find common projects?"
12,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,12,Martin Daum,Head of the Daimler Trucks & Buses Divisions and Member of the Board of Management Daimler AG,EXECUTIVES,"Martin, I try to answer, but you can chime in as well any time. Let's start with the last one because it's the easiest one. Geely has nothing to do with it. It's absolutely -- it's neither a joint project nor was Geely in any way involved into that doing. And because it's not a public information, I don't think even that Geely was informed about that thing, as the general public wasn't informed before we -- today is the time when we inform the public."
13,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,13,Martin Daum,Head of the Daimler Trucks & Buses Divisions and Member of the Board of Management Daimler AG,EXECUTIVES,"Secondly, the infrastructure side, yes, there is a long-standing demand that we need a hydrogen infrastructure. But first, it was important to do the first step. And then someone else used the phrase hand-egg problem, yes, so let's be us the starting point to -- and it takes its time until the technology is serious production ready. So nobody should not waste the time in building other respective infrastructure. But now it comes to your last question. Daimler is forming a fuel cell entity, legal entity. Into that entity, we bring everything we have in the last 25 years accomplished in fuel cell: the people, the know-how, the"
14,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,14,Martin Daum,Head of the Daimler Trucks & Buses Divisions and Member of the Board of Management Daimler AG,EXECUTIVES,"IT rights, and the production infrastructure that we have that helped us to produce a couple of 100 test cars and to power a sizable amount of city buses."
15,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,15,Martin Daum,Head of the Daimler Trucks & Buses Divisions and Member of the Board of Management Daimler AG,EXECUTIVES,"So we bring those things into one company. Volvo is purchasing 50% of that company for EUR 600 million -- slightly above EUR 600 million. We both parties agreed that we significantly will invest in the future. And it will be from both sides at partly because we are 50-50, it will be 7, 8 -- it will be a 9 digit amount of money that will flow -- start to flow immediately and it's more necessary until we are ultimately ready to have that technology going in the marketplace."
16,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,16,Ilan Rosenberg;Reuters;Media,,ATTENDEES,That was a 9-digit amount of money?
17,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,17,Ilan Rosenberg;Reuters;Media,,ATTENDEES,"Yes. From both sides each, at least."
18,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,18,Martin Daum,Head of the Daimler Trucks & Buses Divisions and Member of the Board of Management Daimler AG,EXECUTIVES,The next question we received is from William Boston from Wall Street Journal.
19,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,19,William Boston;Wall Street Journal;Media,,ATTENDEES,"I just have 3 quick questions. One, in terms of employees, how is the -- how many employees is the company going to have when it starts? And second, will you give a -- what's your vision in terms of a road map for the deployment of fuel cell infrastructure and vehicles? I mean when will we see fuel cell fleets operating on the highways? What will that look like? And my last question is about other partners, whether or not you're open to other partners. We have some manufacturers like BMW that have made fuel cell more of a priority over the last year or so. Are you open to more cooperation with -- or are you open to other companies joining the venture?"
20,"AB Volvo (publ), Daimler Truck AG - Special Call",QA,20,Martin Daum,Head of the Daimler Trucks & Buses Divisions and Member of the Board of Management Daimler AG,EXECUTIVES,Martin?
