,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,0,Operator,,,[Operator Instructions] And our first question comes from the line of Hampus Engellau from Handelsbanken.
1,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,1,Hampus Engellau,"Handelsbanken Capital Markets AB, Research Division",ANALYSTS,"Three questions from me. Starting off with this gradual ramp-up, I think what -- if we look at China, there were also a similar gradual ramp-ups. This was, of course, much different, tougher. I understand that. But given from what you're planning now, would it be possible to kind of quantify, in an initial phase, what type of a capacity utilization we could be looking at moving into May and second quarter?"
2,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,2,Hampus Engellau,"Handelsbanken Capital Markets AB, Research Division",ANALYSTS,"Second question is on order intake. Of course, remembering the minus 1,500 order intake that you had in Europe in Q4 2008, that says that lead times are very long. Could you talk a little bit about how lead times are now following the cancellations and trying to -- for us to grasp how to think about further cancellations given lead times?"
3,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,3,Hampus Engellau,"Handelsbanken Capital Markets AB, Research Division",ANALYSTS,And last question for me is more on this announcement with Daimler on fuel cells. You need to put Power Cell. What is the main difference between what you're doing with Daimler in terms of what you had with Power Cell? Is it just a volume game or is there difference in technology?
4,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,4,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director",EXECUTIVES,"Thank you, Hampus, for those questions. And to start with, China, of course, is a particular case, as you said, as always, when you've had such a big stop, it was also in China, a gradual ramp-up. But China has come back both when it comes to construction equipment and trucks to, as I said, pre-corona levels. For different reasons, we don't expect the same type of rebounds when it comes to Europe and U.S. So when it comes to the first question regarding capacity utilization, it is to be completely transparent too early to really deem how that will look like. But I think you should think about it that when we do the restart now, we primarily restart from low levels to test the supply chain, and then when we feel that, that is working in the different value chains for different business areas and component flows, we will gradually move into adjusting according to the demand levels. Given the short-time layoff programs that we have, we will be very clear on just producing what are firm orders. And that will, as we see it now, have quite a big variation from day to day, but we will install that flexibility given that we have a frozen lead time of a couple of 3 to 4 to -- a little bit depending on the region 3, 4, 5 weeks and adjust that accordingly. But firmly ordered because it is not in the interest of the customers, it's not in the interest of the dealers and ourselves. So we have to take it there step by step. But we will cope with the situation, and we will cope both from, so to speak, a flexibility point of view and from a capacity point of view, thanks to the system that we are installing now."
5,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,5,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director",EXECUTIVES,"When it comes to the order intake, the same situation that we've had such a dramatic drop, as you did see, of 75% between February and March is, of course, related to the fact that when you're coming to a stop of this magnitude, both new orders are more or less coming to a complete stop because customers are waiting and see to get visibility and what will their demand be after this. And in addition to that, as I said, cancellations of already placed orders and cancellation of some of the stock orders and cleaning out of the order book. So that is continuing. That is the right thing to do. And linked to the first question, then we will gradually now and some orders are coming in, obviously, we will pace them when customers would like to have them produced and take it from there. So this is much more of a short-term game of really finding the balance in this gradual return and gradual ramp-up."
6,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,6,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director",EXECUTIVES,"On the final question, I should say that it is important to understand that fuel cells are not commodity. Fuel cells have all different technologies, a lot of different characteristics. And when we have now been evaluating a number of alternatives moving forward into the hydrogen society because we see that after one very viable part of the CO2-neutral society moving forward for long distance and for heavy applications, we have evaluated a number of different alternatives when it comes to technology maturity but also technology characteristics for heavy-duty applications, both when it comes to power outputs and when it comes to durability for our type of applications."
7,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,7,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director",EXECUTIVES,"In addition to that, the opportunity to make an industrialization that makes sense when it comes to shifting this with volumes, that makes sense in order to get the cost level to a level that it can compete with other technologies and also to have a structure that allows others to foresee this shift when investing into infrastructure and hydrogen supply. And when we are -- and then also the opportunity to get to the structure of a 50-50 joint venture producing the fuel cell stack, and thereby, giving a natural way of both sharing development and the whole journey of industrialization, but gaining the opportunity to continue to compete in the market and to continue to have, so to speak, a modular system where the different partners that have the right application and engineering will actually win and be more successful. So that is the very good balance and giving us also the natural influence in this joint venture."
8,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,8,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director",EXECUTIVES,"So coming to the end of your question, for that reason, when we did evaluate different alternatives, this alternative was the outstanding alternative for us, and without any competition, the most viable alternative for Volvo Group moving forward."
9,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",QA,9,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director",EXECUTIVES,Our next question comes from the line of Erik Paulsson from Pareto Securities.
