,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",QA,0,Operator,,,[Operator Instructions] The first question comes from the line of Guillermo Peigneux from UBS.
1,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",QA,1,Guillermo Peigneux-Lojo,Division,ANALYSTS,"Guillermo Peigneux from UBS. I have 2 questions, first regarding the PG transaction proceeds on the buyback. Can I ask Björn, is the buyback the best use given the uncertainties and some of investments needed to modernize the ABB Technology platforms? Would that money be best used incrementally to transform ABB into its future vision? Or are you happy to carry the whole mandate on the whole buyback as we speak?"
2,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",QA,2,Guillermo Peigneux-Lojo,Division,ANALYSTS,"The second question is also related to the divergent trends that you mentioned during the automation presentation, both in the IA and the Robotics & Discrete Automation. Would you say that some of these industries should remain more like last year going into the future versus Robotics & Discrete Automation, which should be actually benefiting from structural growth trends?"
3,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",QA,3,Guillermo Peigneux-Lojo,Division,ANALYSTS,"As the growth outlook is so divergent, would you say the same of ABB in the future could also be diverging from this, let's say, less growth in the end markets than IA?"
4,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",QA,4,Björn Klas Otto Rosengren,Chief Executive Officer,EXECUTIVES,"Yes. Thank you for your question. Let's start with the PG transformation. And first, I'd like to say that, yes, we are very happy that things are moving the right way and we are expecting to close the deal by the end of the quarter. I think that is the first part."
5,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",QA,5,Björn Klas Otto Rosengren,Chief Executive Officer,EXECUTIVES,"We are also committed to the buyback program that we have said. But I think it's also always very important that we do that in a good way, taking a lot of stakeholders in consideration. But we are fully committed to that part. And we have no plans on making any large acquisitions either going forward. It's getting the margins up in the group that is going to be the focus going forward."
6,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",QA,6,Björn Klas Otto Rosengren,Chief Executive Officer,EXECUTIVES,"I'll let Timo give you a little bit a deeper part of the buyback program and also on the PG transformation part of that. Could you add on that a little bit, Timo?"
7,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",QA,7,Timo J. Ihamuotila,Executive VP & CFO,EXECUTIVES,"Yes, sure. Thanks, Björn, and thanks, Guillermo, for the questions. So as we discussed, we expect the PG transaction to close as planned. And I just want to remind everybody that the planned buyback relates to a transaction, which was already announced in December 2018, and it cannot really as such be compared to some running buybacks with some other companies have made decisions on. So just really wanted to highlight that. And of course, going forward, we have done a lot of cash simulations, putting this unique COVID-19 situation aside, and we would, of course, expect to continue to generate cash flow from our operating activities for future purposes as well."
8,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",QA,8,Timo J. Ihamuotila,Executive VP & CFO,EXECUTIVES,"So maybe with that, I'll hand over to Björn to the next question."
9,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",QA,9,Björn Klas Otto Rosengren,Chief Executive Officer,EXECUTIVES,"Thank you, Timo. I hope that gives an answer to your question. Yes, looking at the portfolio management and I mean you're referring here to the Robotics & Discrete Automation. When I look at ABB, and I will talk much more about that in the future, I think the group is very well positioned when you look at these global trends where Robots & Discrete Automation is actually a part of that."
