,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",QA,0,Operator,,,[Operator Instructions]
1,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",QA,1,Operator,,,Our first question comes from Jenny [indiscernible] with Eight Capital.
2,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",QA,2,Operator,,,This is Brian Lee on the call for Jenny Wang. My first question is what kind of impacts to sales and supply chain are you seeing recently due to COVID-19?
3,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",QA,3,Operator,,,"Hank, do you want to answer that?"
4,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",QA,4,Operator,,,"Sure. In terms of the supply chain, I can tell you that our contract manufacturer is continuing to operate and practicing the best CDC measures in a careful way. Our third-party logistics partners are continuing to operate and ship to customers."
5,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",QA,5,Operator,,,"Got it. My next question is, is the Charlotte’s Web proposed acquisition of Abacus subject to HSR review?"
6,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",QA,6,Operator,,,Our next question comes from Max Jacobs with Edison Group.
7,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",QA,7,Maxim Jacobs,Edison Investment Research Limited,ANALYSTS,"Congrats on the great quarter. I was just wondering, though, on CBD CLINIC. So it was flat in Q4. Can you just talk about like maybe what might have been driving that? Because otherwise, it had a pretty good year."
8,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",QA,8,Maxim Jacobs,Edison Investment Research Limited,ANALYSTS,"Sure. Well, I will tell you that the -- essentially, the industry as a whole, had actually a slight downturn in Q4. So we were now bullet proof to that. And sometimes, that is also cyclical. I can tell you from my former position in my former career in the pharmaceutical industry. Q4 tends to be lower in general. So the fact that we actually stayed flat, I'm okay with that. That is -- I would say that is -- that's secondly expected. ."
9,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",QA,9,Perry Antelman,Chairman & CEO,EXECUTIVES,And so what was driving the industry-wide flatness in Q4? And just which industry are you referring to?
10,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",QA,10,Perry Antelman,Chairman & CEO,EXECUTIVES,I'm really -- I'm talking about health care.
11,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",QA,11,Maxim Jacobs,Edison Investment Research Limited,ANALYSTS,Okay. And so just expanding a little bit on the HSR review question. So you don't expect any antitrust concern with the Charlotte’s Web acquisition?
12,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",QA,12,Maxim Jacobs,Edison Investment Research Limited,ANALYSTS,"Max, it's Jonathan. Sure, let me take that one. So the HSR Act has a threshold, which this deal does not reach yet from a dollar perspective. So currently, we do not expect to require the HSR approval."
13,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",QA,13,Maxim Jacobs,Edison Investment Research Limited,ANALYSTS,"Okay, great. And then just one last question on the acquisition, which is just, so there's going to be a shareholder vote. I think you mentioned in early June. So I was just wondering how confident are you that the vote will be yes."
14,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",QA,14,Jonathan Conforti,,EXECUTIVES,"Let me take that one. So first of all, in terms of the process, we expect to obtain interim court approval this week. We'll be extending out our circular probably in the next 10 days or so. We will have a shareholder vote that's scheduled for the beginning of June 4, and expect in terms of that particular activity, we had 20% of our votes that are already locked up and committed to those in favor of the agreement. In terms of the actual shareholder vote itself, 2/3 of the votes present at that vote are required. And so we feel very good about the transaction being approved by our shareholders. So it's obviously that they are committed already to the transaction as well as the feedback that we've gotten from other major shareholders, which has been very positive. So we are very confident that the transaction will be approved at the shareholder vote. It's a couple of days after that that we get final for approval and then would file the articles of arrangement shortly thereafter. So our view is kind of a mid- June time frame is probably when we would expect the transaction to completely close."
