,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",QA,0,Operator,,,[Operator Instructions] And our first question comes from Robbie Marcus with JPMorgan.
1,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",QA,1,Robert Justin Marcus,"JP Morgan Chase & Co, Research Division",ANALYSTS,"And congrats on a good quarter, all things considered. Maybe I can start with the 2 positives in the portfolio here. I'll ask them separately. First, on diagnostics. Abbott's leading the way. You have 3 different tests: the ID NOW molecular tests, the m2000 SARS-COVID-19 test and then the antibody test, which was just announced. I know a lot of people are interested in the potential of all 3 of these tests here. So I was wondering if you could give us an overview of where you are with the testing, the potential revenue implications and volumes that you'll have. And any other tests that we should be on the lookout for on the horizon here?"
2,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",QA,2,Robert B. Ford,"CEO, President, COO & Director",EXECUTIVES,"Sure, Robbie. So yes, it was definitely an intense first quarter here for our Diagnostic business, even though it doesn't look like that in the sales number, right? We've got a core lab business that had some declines and it -- given the similar dynamics that we saw in our cardiovascular procedures as the hospitalization and procedures kind of came down. And then on the other side of the business, we have our rapid and molecular business where we did see positive growth in the quarter. And we actually didn't have a lot of COVID test sales for those businesses in the quarter. As you know, we got our approvals towards the end of the quarter, last week or so in March. So the potential here for the COVID tests are more significant for us in the second quarter here."
3,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",QA,3,Robert B. Ford,"CEO, President, COO & Director",EXECUTIVES,"But our biggest motivation on the testing aspect here, the key driver here is we want to help people. We want to help people get tested. We want to help society move forward. We want to help workers get back to work, people get back to schools, et cetera. So when you look at the diagnostic platform, the suite of platforms and products that we have built over the last 20 years here, they've really been aimed at being able to do just that."
4,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",QA,4,Robert B. Ford,"CEO, President, COO & Director",EXECUTIVES,"So in mid-February, when we saw that the virus was not going to mimic what we had seen in maybe previous viruses, like a SARS or a MERS, for example, and we saw that this was going to be something much more significant, much more widespread, we assembled 4 different and independent R&D teams to go about it in individual groups. I mean there was obviously some collaboration between them, but we of-care test, a lab-based serology test, and a lateral flow serology test. And we did that not because we thought that we needed 4 shots on goal here to try and get 1 or 2 of them to get it. We understood, given our experience here, that all 4 of these tests, all 4 of these different types of testing would be needed. All 4 of them had a different value proposition. So if you look at the lab-based systems, they're more high throughput, get a lot of tests done. There's a little bit of a turnaround time there, 1, 2, 3 days, et cetera, but we knew we needed that kind of testing volume. We also knew that we needed fast, immediate -- more faster, immediate results, maybe with the notion of having some portability where you'd be able to take the test straight to testing people, not having to restrict them to having to go to a lab or a hospital. And we also knew that there was going to be a need for mass volume screening. So when we look at the assembly of these 4 different tests that we've been working on, that's the -- that was the goal: to understand that there's a viral progression that occurs where in the beginning, in the early stages, you need molecular testing to be able to diagnose if somebody has the virus. And as the degrees (sic) [ disease ] progresses and people start to build antibodies for that, you're going to need a different type of test and in different formats of the test."
5,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",QA,5,Robert B. Ford,"CEO, President, COO & Director",EXECUTIVES,"So I would say every single one of our programs here either met or beat their target dates. And there's probably 2 reasons for that: One of them is, I'd say, just a very passionate and committed scientific and manufacturing team here that really went 24/7. I mean 1 of our teams split in 2 so they could go 24 hours a day, 10 days a week to be able to continue the work and doing the work. So that's one key driver."
6,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",QA,6,Robert B. Ford,"CEO, President, COO & Director",EXECUTIVES,"And I'd say the other one here, and we've talked a bit about this, is a very collaborative, science-based approach of our work with the FDA. Throughout every step of our development process, we worked real time with the FDA, sharing with them our technology, sharing how are we going to do the clinical, sharing with them the results, taking input and feedback from them on a real-time basis. And I think the combination of those 2 factors really allowed us to do this, at least these 3 tests here in record time."
7,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",QA,7,Robert B. Ford,"CEO, President, COO & Director",EXECUTIVES,"And I think what you're seeing, at least what we see a lot is the reward of that. It's very rewarding to see the vision that we had about these different types of tests and different types of platforms being deployed to the way that we had thought and envision them to be and then to get feedback back. I mean the amount of stories that I've received from CEOs, from mayors, from governors about our rapid test and how we envisioned that test rollout to start off with frontline workers, whether it's an ICU nurse, an ER doctor so that they could be tested if they had -- thought that they had symptoms, they're going to have to be self-quarantined for 4 or 5 days until their lab test would come back. And now with a rapid test in 15 minutes, they would know whether they would need to get appropriate care or whether they could return to the front line. And that's been exactly how we envisioned that product to work, at least in our initial rollout."
8,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",QA,8,Robert B. Ford,"CEO, President, COO & Director",EXECUTIVES,"We also -- we're shipping a lot of m2000. I mean we have a lot of m2000s in the country, but we also began shipping them to some pretty difficult areas where the turnaround time that we had heard from mayors and governors was over 2 weeks. So now we can ship these boxes -- these lab boxes, and they can do close to 500 tests, 470 tests a day and get results in 24 hours. So the way we've developed these tests, the way we've put them out to the market, the way we've launched them, the way we've worked with the labs and the hospitals is exactly how we had envisioned this."
9,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",QA,9,Robert B. Ford,"CEO, President, COO & Director",EXECUTIVES,"Obviously, there's a lot of stories that I've, at least, been seeing recently about the difficulty to find the tests, et cetera. And what I would say there is we've done everything that we said we were going to do. We've delivered everything that we said we were going to deliver. Obviously, that is not enough. We still need to do more, and there's a need here to manufacture more tests."
10,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",QA,10,Robert B. Ford,"CEO, President, COO & Director",EXECUTIVES,"Scaling is important and we have -- to get these tests out, we use high-precision, high-automated manufacturing process. And some of those, we've been able to kind of utilize existing assets that we have to manufacture it. In other cases, it's not enough, and we need to buy more. We need to set up more. And that obviously takes some time here, but you have a committed, dedicated team here that's really doing 24/7 type of work."
