,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",QA,0,Operator,,,[Operator Instructions] And our first question comes from Margaret Kaczor from William Blair.
1,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",QA,1,Malgorzata Maria Kaczor,"William Blair & Company L.L.C., Research Division",ANALYSTS,"First one for me is just a little bit of a follow-up on the COVID-19 comments you made. So can you give us a sense of the impact of COVID-19 on the referral networks for high risk PCI cases, because it does sound like cases are down 45%. But I guess, does it get better from here just as patients come back into certain facilities and get tested? Or is there a little bit of a gap period between that time?"
2,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",QA,2,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"Margaret, thanks for the call. So I would answer that in a 3 phase component. So currently Red, the referrals aren't happening because the cath labs and surgical suites are essentially closed down at many of these centers that are hardest hit, areas like New York, Detroit. And what we've seen is that many of the intervention cardiologists and surgeons, especially the younger ones, are treating patients in the ICU and all the ICU beds in overwhelmed areas are full."
3,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",QA,3,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"From a referral perspective, the delays that have been happening, where people are not showing up in hospitals with chest pain, will continue to build. And what you've also seen is by all the societies, cardiovascular societies, is differentiating cardiovascular disease as not truly being elective, right? There's a difference between somebody having chest pain and having a PCI versus someone having an orthopedic procedure. So that's the first component."
4,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",QA,4,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"The second is they've already started national campaigns, and this is happening as well in Europe, to advise the general public to seek medical support if they're having chest pain or other heart failure conditions. So we're in the Red Phase now. There are certain pockets of the country now where those guidelines are opening up. So they're starting the Yellow Phase. We think that progresses to the end of the summer, and then we expect it to go back open by the time we get to the second half of our fiscal year."
5,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",QA,5,Malgorzata Maria Kaczor,"William Blair & Company L.L.C., Research Division",ANALYSTS,"Okay. So it sounds maybe the 45%, hard to know. I know you guys aren't setting guidance, but maybe that's a a worst-case scenario and maybe gets better, like you said, as you go through that Yellow Phase and the Green Phase and so on?"
6,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",QA,6,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"Correct. And we're trying to prepare for every worst-case scenario, but we do believe that the early weeks of April and the end of March were really the most severe, and that's why we're really focused on sequential growth weekly as we end the Q1."
7,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",QA,7,Malgorzata Maria Kaczor,"William Blair & Company L.L.C., Research Division",ANALYSTS,"Okay. And then just 1 more in terms of the acquisition of Breethe. You referenced the 10% of cases that maybe could be good candidates. Can you walk us through what you expect that mix of Impella and ECPELLA to look like, let's say, 5 years from now? And how do you think clinicians will approach these to the device between now and then?"
8,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",QA,8,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"Good question. So thanks for the the comment on ECMO. Currently, we're about 10% of our patients get ECPELLA for us, and that's what's represented in the IQ database. We also believe that when you combine unloading with oxygenation, you get better outcomes, which is why many of our physicians, over the years, have asked us to add it. And there's multiple publications that we've referenced in the press release, demonstrating that ECPELLA, so a patient in shock that requires both hemodynamics and oxygenation, ECPELLA gets better outcomes than ECMO only, and that's well documented over the years."
9,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",QA,9,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"What I would say that, in the next 5 years, we're going to continue to innovate. And because we combine the technologies, and we've got the world's smallest heart pumps, and we can do left and right side support, you're going to see real new innovation come to that space. This COVID-19 time has shown that many of the technologies that are out there for oxygenation and hemodynamics are already 20 years old and they're 510(k) technology. So they haven't been put through PMA safe and effective process. And so we're going to bring that same discipline in innovation, the integration of our waveforms, integration of what's happening in these patients, and we'll be able to optimize both oxygenation and unloading because the end game and goal is to keep the patient alive and send him or her home with their own heart, like the case example I gave of the 43-year-old woman."
