,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,0,Operator,,,[Operator Instructions] Our first caller is Jaafar Mestari of Exane BNP Paribas.
1,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,1,Jaafar Mestari,"Exane BNP Paribas, Research Division",ANALYSTS,"And I hope everyone is doing well. My first question really is a very general one on your management philosophy and your approach to this completely unprecedented crisis. Are you trying to build the smartest and the most detailed reopening schedule and budgeting towards that, maybe May, maybe June, but maybe September, who knows? Or are you doing everything on a worst-case basis? Are you preparing just in case minus 64% lasts for a number of months? That's my first question."
2,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,2,Jaafar Mestari,"Exane BNP Paribas, Research Division",ANALYSTS,"And secondly, on the EBITDA sensitivity, thank you for highlighting that, so EUR 28 million right now without cost savings for each point of RevPAR but going to, I think you said, slightly north of EUR 20 million going forward. Is that something that actually continues to slightly improve the EUR 60 million OpEx savings that you've announced? Is this -- related to my first question, is this the first batch? Or is this something where you're going to be continuing to look at opportunities?"
3,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,3,Jaafar Mestari,"Exane BNP Paribas, Research Division",ANALYSTS,"And lastly, ALL, I would assume it's not a great period to showcase a loyalty program right now, and I would assume no retail bank is going to want to launch a travel-branded credit card. So are you entirely suspending it? And is that committed marketing costs that you'll definitely not be spending? I did get a couple of e-mails suggesting I watch videos on the ALL websites."
4,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,4,Sébastien M. Bazin,Chairman & CEO,EXECUTIVES,"I'll let -- I will leave Jean-Jacques answer the question #2 and question #3. And just on question #3, as I said to you, we want to keep the phone going and relationship with the 63 million Accor Live Limitless members. It doesn't cost a penny to basically send them basically a WhatsApp and information. And what we're doing mostly is make sure that when they are at home and safe, we can actually provide them with a lot of initiative when it comes to whether it is gymnastic and other things. So as I guess, we keep contact in a different fashion. So on the -- and we need to do it. It's very important for the people to have news of Accor as the loyalty members."
5,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,5,Sébastien M. Bazin,Chairman & CEO,EXECUTIVES,"On the first one, Jaafar, you are absolutely correct. Since we don't know the shape, the time, the nature of the recovery, everything we plan for is for the worst. Every assumption we have made within our core over the next 12 months is on a very, very gloomy, pessimistic scenario when it comes to EBITDA and when it comes to working capital. So -- and so hopefully, the turns -- it's going to turn to be better than expected, but no management should be preparing for blue sky when you simply don't know how to spell it. I know it's coming, but that's the -- but we're prepaying for the worst, of course. EBITDA?"
6,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,6,Jean-Jacques Morin,Deputy CEO & CFO,EXECUTIVES,"Yes. On -- just on the plan, Jaafar, I mean the EUR 60 million-plus is obviously in the plan. And as I said, that's why I say EUR 60 million-plus because EUR 60 million is the basis that we've been working on at the beginning, and we are going to a higher number than that one."
7,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,7,Jean-Jacques Morin,Deputy CEO & CFO,EXECUTIVES,"And more generally, I think the one thing that we've learned through that crisis, and everybody has been learning that, is that the next week was not exactly the week that you had planned the week before, and so it has been an ongoing process by which we've been looking at the numbers as they were evolving and have been revising our plans as in fact the target was also moving. And so it's a very dynamic way by which we work with our operations on all these saving plans, having several review by region or by function in a given month. And so the thing with that is that the more you look and the more you find, the more people have got ideas on how to tackle and deal with situation. So it's going to be something that we're going to further push with time."
8,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,8,Jean-Jacques Morin,Deputy CEO & CFO,EXECUTIVES,"And then on ALL, ALL is obviously part of it. ALL is obviously part of it, and so we gave you a number in February. You may recall, EUR 60 million as the P&L effect for the year. Into that, there is 20%, 30% of it that we will adjust for in the plan. But frankly, it is not the largest number that we've got to work on."
9,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,9,Jean-Jacques Morin,Deputy CEO & CFO,EXECUTIVES,"On credit card, Jaafar, we're going blind. We're going dark, sorry, on all the promotion and marketing campaign as we have announced in probably late March. Is -- on the credit card, you'll be surprised, talks are still undergoing with Visa, of course. But with ALL, the RFPs were being launched in different jurisdictions for Northern Europe, for Malaysia, for Australia, people are still working on it every day on basically preparing for those cards to be launched. There's no money being invested. But no -- none of the guys we've been talking to have stopped considering launching a travel card. It'd be delayed. But count on me, you're still going to have one."
10,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,10,Jaafar Mestari,"Exane BNP Paribas, Research Division",ANALYSTS,"And maybe just a quick follow-up on your -- what you say about the worst case. If I do very quick math, EUR 150 million for the next 9 months, there's a worst-case where you have EUR 1.4 billion revenue hit effectively deeply into negative profits, much higher debt. What is the plan for that if that is the worst case?"
11,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,11,Jaafar Mestari,"Exane BNP Paribas, Research Division",ANALYSTS,"Well, the -- what we're doing is, obviously, we've done all those mathematics. It tells you that, I guess, we can go much further than 9 months with the cash we have, which is also why we renegotiated the covenant with the holiday on any ratios with the commercial banks on a EUR 1.2 billion debt. So we have far sufficient time to basically cope with what could be 9 months, 12 months. And then we'll see -- we'll have better clarity after summer on where we are with the shape and the strength of that epidemic. I'm not talking vaccine here. Anybody know that vaccine is at least 18 months to 2 years away."
12,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,12,Jaafar Mestari,"Exane BNP Paribas, Research Division",ANALYSTS,"But one has to think that some medicine will be made available where people will no longer die from that or independent are we from other sources. I can tell you for a fact, we are not depending from any other sources than the cash we have on the balance sheet and no need for it until further notice."
13,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,13,Jaafar Mestari,"Exane BNP Paribas, Research Division",ANALYSTS,"And just, Jaafar, I know it's obvious, but I'll say it nevertheless. I mean the savings are going to kick in as soon as April. So it'll be EUR 151 million, be EUR 150 million."
14,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,14,Jaafar Mestari,"Exane BNP Paribas, Research Division",ANALYSTS,Our next question comes from the line of Jamie Rollo of Morgan Stanley.
15,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,15,Jean-Jacques Morin,Deputy CEO & CFO,EXECUTIVES,Yes.
16,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,16,Operator,,,"Three questions, please. First, just on cash. Could you please give us the March -- end of March or even current cash number so we can calculate what we spent in Q1? Or better still, can you give us what your loss rate is, your monthly cash burn under the current sort of revenue situation?"
17,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,17,Operator,,,"Secondly, I'm just thinking about the services to owners and the comment you made on the fixed costs there, the EUR 20 million EBITDA sensitivity to 1% of RevPAR. I think if my math is right, about half that is in management franchise. So how much of the remaining sort of EUR 10 million is in STO versus hotel assets? And what is the exposure to owners being unable to reimburse you for what you're spending on the system and on management contracts?"
18,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,18,Operator,,,"And then finally, just a quick one. I guess there's not much going on. But in terms of the pipeline to your pipeline, I'm assuming things are slowing dramatically. What would your best guess be for unit growth perhaps for next year?"
19,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",QA,19,Jean-Jacques Morin,Deputy CEO & CFO,EXECUTIVES,"JJ will do the first 2, and I'll do the third one."
