,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",QA,0,Operator,,,[Operator Instructions] The first question today comes from Brooks O'Neil of Lake Street.
1,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",QA,1,Brooks Gregory O'Neil,"Lake Street Capital Markets, LLC, Research Division",ANALYSTS,"I was hoping you might give us whatever color you could offer in terms of what you're hearing on the ground in China, either from the joint venture partners, from TomoKnife or from anyone else you think is credible there?"
2,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",QA,2,Joshua H. Levine,"President, CEO & Director",EXECUTIVES,"Yes. So a couple of data points. I actually had a call with the Chairman and Vice Chairman of China Isotope & Radiation Corp. about a little more than a week ago in an effort to try and get some color from where they sit. There's no question, they've confirmed that, I'll call it, the pilot light, Brooks, is back on. The -- there's signs of life in the China market. Their primary business, you'll remember, is the radioisotope business today. They're not necessarily in big capital equipment yet, but they're seeing order activity on the radioisotope side and hospitals starting to kind of return to, I'll call it, a new normal state. I think that their belief is that on the equipment side of the world, which would obviously cover our situation and the JV that, that may be a little bit longer in ramp in terms of starting to see that come back. But there's progress being made and advanced on the tendering process as well. So I mean, again, I think that we've been pretty straightforward about not -- obviously, not having control over the timing of when the tendering process would end, but the feedback has been that progress has been made there. And I think if you go back to where we were at the time we last reported, we were thinking and feeling that if -- with a little bit of luck, we might have seen tendering complete earlier in the fourth quarter -- our fiscal fourth quarter and maybe would have had some possibility of revenue activity before the end of the fiscal year. At this point, I'm thinking that from a conservative view, it's probably Q1 at this stage."
3,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",QA,3,Joshua H. Levine,"President, CEO & Director",EXECUTIVES,"We're still waiting also for an announcement from National Health Commission on the second round of Type A licenses. That activity has -- all the applications are in. They've been reviewed to our understanding, but there's been no announcement attached to that tranche yet, and we expect that -- as we get perhaps deeper into the quarter towards the end of this cycle -- fiscal cycle, we might hear something on that second tranche of our Type A licenses as well."
4,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",QA,4,Brooks Gregory O'Neil,"Lake Street Capital Markets, LLC, Research Division",ANALYSTS,"That's great. That's great. Let me ask you just one more question, and I'll jump back. I hear anecdotally from people in the industry that there's a high likelihood we'd see positive movement with regard to the new reimbursement codes, most likely for implementation beginning January 1. Can you just tell us what you hear out there and what your expectations are at this point?"
5,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",QA,5,Joshua H. Levine,"President, CEO & Director",EXECUTIVES,"Yes. So I think that the general wisdom and our belief was that up until the height of the pandemic kind of was upon us, the general belief was that we were looking at probably a July 1 implementation. You may be aware that as both ASTRO and AdvaMed have both communicated with the folks at CMS that they believe that COVID-19 focus right now has taken an impact or had an impact on the market's readiness, from a provider side standpoint, clinically to be ready for a July 1 implementation. And they're hoping and pushing -- suggesting CMS hold that off until January 1. And that's kind of hot off the press. I mean the communication between AdvaMed and ASTRO and CMS has taken place inside of that -- with that recommendation within the last probably 3 weeks or so."
6,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",QA,6,Brooks Gregory O'Neil,"Lake Street Capital Markets, LLC, Research Division",ANALYSTS,"Great. I mean, to me, that doesn't seem terrible. So I'd say keep up all the great work, and I'm excited for you."
7,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",QA,7,Operator,,,The next question today comes from Josh Jennings of Cowen.
8,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",QA,8,Joshua Thomas Jennings,"Cowen and Company, LLC, Research Division",ANALYSTS,"Congrats on a solid quarter navigating the initial piece of this COVID storm. I wanted to just see if -- I know you're -- there's a lot of variables going into the pot here. But if we could just hear in terms of anything that you can disclose around the trends that you're seeing in April in some of the different geographies. I mean, we just heard a little bit from China. Maybe you could expand on Western Europe, Middle East and maybe the Americas as well?"
9,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",QA,9,Joshua Thomas Jennings,"Cowen and Company, LLC, Research Division",ANALYSTS,"Josh, the general answer there is -- and as we said in prepared remarks, we saw probably the biggest piece of slowdown or impact of slowdown as we got deeper into March. I'd say the first 2 months of the quarter, the third quarter, we're proceeding as we hoped and expected. And as we talked about, again, earlier, there was timing -- definitive timing impact towards the end of the last couple of weeks of March on delays that push -- will push revenue recognition on a couple of deals that we were counting on in the quarter, pushed them into probably Q4."
