,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Amalgamated Bank, Q1 2020 Earnings Call, Apr 30, 2020",QA,0,Operator,,,"Thank you. At this time, we will conduct a question-and-answer session. [Operator Instructions] Our first question comes from Steven Alexopoulos with JP Morgan. Please proceed with your question."
1,"Amalgamated Bank, Q1 2020 Earnings Call, Apr 30, 2020",QA,1,Steven A. Alexopoulos,"JP Morgan Chase & Co, Research Division",ANALYSTS,"Hey, good morning, everybody."
2,"Amalgamated Bank, Q1 2020 Earnings Call, Apr 30, 2020",QA,2,Drew Labenne,,EXECUTIVES,"Hi, good morning."
3,"Amalgamated Bank, Q1 2020 Earnings Call, Apr 30, 2020",QA,3,Keith R. Mestrich,"President, CEO & Director",EXECUTIVES,"Hi, Steve."
4,"Amalgamated Bank, Q1 2020 Earnings Call, Apr 30, 2020",QA,4,Steven A. Alexopoulos,"JP Morgan Chase & Co, Research Division",ANALYSTS,"I wanted to start on the provision and regarding the commentary that you expect an increase in the Q2 reserve tied to payment deferrals. So, you guys are not on CECL, you're selling to the incurred loss model and then at that regime, what do you need to see the change further to drive an increase in the reserves. Is it just new deferrals coming in?"
5,"Amalgamated Bank, Q1 2020 Earnings Call, Apr 30, 2020",QA,5,Drew Labenne,,EXECUTIVES,"So Steve, the keep in mind, and this is specifically the qualitative reserve that I was talking about and we're about to talk about here just to be clear. So when, at March 31 we did not have a lot of deferral, we had actually no deferral activity that we were starting to have inquiries come in at that point and starting to get our process in the place. So when we set the qualitative factors at March 31, the only thing we really had to work off of whereas the downgrade of the economic factors, which we took from pretty much the lowest levels to the highest level. So, we did kind of the maximum qualitative impact on economic factors and we use the same standard nine factors that I think many other banks use. The factor that we will be looking at this time in Q2 is the trends of normally be the trends of past dues in the portfolio, but the trends of deferrals past dues et cetera in the portfolio, which again I think will move from pretty low levels to depending on the portfolio somewhere between, medium and high. But if we went from the event. It's not a Q1 event unfortunately."
6,"Amalgamated Bank, Q1 2020 Earnings Call, Apr 30, 2020",QA,6,Steven A. Alexopoulos,"JP Morgan Chase & Co, Research Division",ANALYSTS,"Okay. Got you. Other banks are saying that they're seeing material drop off in new deferrals, though. I mean in terms of the pace, have you seen any abatement in terms of the pace of request? Are those still increasing?"
7,"Amalgamated Bank, Q1 2020 Earnings Call, Apr 30, 2020",QA,7,Drew Labenne,,EXECUTIVES,"No, as I was just saying on the call, residential has basically slowed. Actually the last few days, we've had no deferral request at all come through or new deferral requests. So that part of the portfolio has pretty much stopped. Now, we're coming up to a new set of payments, so I don't know what that's going to mean. I don't think anyone knows what that's going to mean for the next round. It might mean absolutely nothing, it might mean that we see some incremental deferrals come in, but I think the majority of it has probably already happened. On the multifamily commercial real estate, I think general commercial real estate and C&I has reacted pretty quickly. I think multifamily, a lot of April payments were made. I think they're probably waiting the landlords and is probably waiting to see the May payments and we may see some more deferrals come in through that. Now it would not surprise us at all. See more deferrals come in particularly in multifamily."
8,"Amalgamated Bank, Q1 2020 Earnings Call, Apr 30, 2020",QA,8,Drew Labenne,,EXECUTIVES,"The other thing I'll add is the processing on the commercial side, at least for us is slower because on the consumer side, the residential side, we ask the customer to describe their hardship, but we don't require any proof because to do so, would be difficult and unreliable. On the commercial side, we actually asked the borrowers to document for us their decrease in cash flows before we grant the deferral. So, the process takes a little longer to work through."
9,"Amalgamated Bank, Q1 2020 Earnings Call, Apr 30, 2020",QA,9,Steven A. Alexopoulos,"JP Morgan Chase & Co, Research Division",ANALYSTS,"Okay, that's helpful. And then on Slide 16, the COVID-19 exposed sectors, I'm curious, what worries you most in terms of what you're calling out and maybe in the CRE book, how much of that is retail?"
10,"Amalgamated Bank, Q1 2020 Earnings Call, Apr 30, 2020",QA,10,Drew Labenne,,EXECUTIVES,"Well, overall what worries me is probably more of a -- there's a lot to worry about, Steve, so let me just pick the one that probably worries me -- and I know, Keith, the most, because we talked about it -- is our portfolios that are based on real estate whether its residential or multifamily commercial I think have very strong loan to values and implicit in that underwriting is that we will be able to control the property over time if needed to work out the credit. And I think given how widespread the impact of this pandemic has been, it's quite possible that the rules change in terms of foreclosure, how fast properties or tenants turnover and that could mean that the normal time to work out a credit across the industry changes. I'm not saying it will, but that is I think what kind of worries me maybe more than I would know normally be worried about it, if that makes sense."
11,"Amalgamated Bank, Q1 2020 Earnings Call, Apr 30, 2020",QA,11,Keith R. Mestrich,"President, CEO & Director",EXECUTIVES,"Yes. I totally agree with Drew on that. Look, what's in hotels and restaurants obviously, every bank that has those on their portfolio is going to be concerned about those individual names. It's not a huge percentage of the portfolio, so, while I don't love it, it's not the big worry. I think Drew is exactly right. What we can't predict, particularly with the New York City-centric multifamily portfolio and other things, is when the pressure will really come on landlords. What will the impact of stimulus payments and potentially new stimulus payments individuals, people starting to receive, enhanced unemployment benefits, are they able to continue to make their rent and mortgage payments? And what will be the other countervailing political pressure that will be on the ability for anybody to be able to sort of deal with the property that they have and work it out in a normal way? It is a big, big unknowing to us and well, I think we built a this and the unknowing as you look at months out into the future here were there to be extended double- digit unemployment kind of pressures is just the biggest worry that we have on that bank."
