,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,0,Operator,,,[Operator Instructions] Our first question comes from the line of Jayson Bedford with Raymond James.
1,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,1,Jayson Tyler Bedford,"Raymond James & Associates, Inc., Research Division",ANALYSTS,"So just a few questions. I was surprised with the strength in the Vascular Access business. Can you just give us a little more detail on kind of the drivers of the strength? And if you could, maybe quantify the impact from the Premier agreement on the Port business. And also, you mentioned some sort of value PICC distribution agreement in the quarter, and I was a little unclear as to what that was. So a little detail on that would be helpful."
2,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,2,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"A couple of things. So in our VA business, as we mentioned in the fall, the Port win on the Premier business was important for us. But it wasn't the only piece of strength we saw during the quarter. Because really, this quarter was more getting those customers that are part of the 2 Premier compliant agreements to get signed on with us and start the conversion processes. So there was some growth there, but not a whole lot. Good news was the growth was balanced."
3,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,3,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"So our base PICC business, both our BioFlo and non-BioFlo, also experienced a strong quarter. And a lot of that, Jason, too, we haven't talked a lot about it, but we have a couple of really good partners in the mobile PICC business. And these partners are committed to our BioFlo PICCs. And some of these partners have been gaining market share over the past year or so, building up their markets as they provide that valuable service to many hospitals looking to outsource that technique and that procedure to these mobile PICC teams. So again, they choose BioFlo in most of those cases."
4,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,4,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"And finally, we did add some new products. We've talked a little bit about it, just around our PICC portfolio. As you know, with BioFlo, we have a high-end PICC with unique capabilities, but we had some gaps in our PICC line. So we just filled in a couple of the gaps with some other products."
5,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,5,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"Jason, we expect the VA business to grow with the areas that we guided last year. As you know, 2019 was the first year of growth in many. And I think we anticipated growth about that same level this year. And going forward, it will be a business that's very well run, and the portfolio is a bit more balanced. And now we made the acquisition of the C3 Wave tip location system. Again, takes out one more barrier that we've had there."
6,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,6,Stephen A. Trowbridge,Executive VP & CFO,EXECUTIVES,"Jason, we did see strength throughout the VA portfolio throughout the third quarter. It was pretty balanced, as Jim mentioned, with our PICCs, ports, midlines and dialysis businesses all growing. So we hit a little bit on the value PICC that Jim talked about, filling in the gaps in those lines. We have mentioned C3 in the prepared remarks. As we talked about before, we don't really expect to see a big inflection potential from C3 until we get to the point where we're adding navigation to that technology. So we've seen strength in the base PICCs business moving in throughout this third quarter, and we see that strength continuing as we head into the fourth quarter. So one of the things that Jim talked about in his remarks was that line that we're drawing between products that fall on the elective-like or those that can be delayed, and those that are clearly acute and critical care. We've been seeing the VA business in those PICCs, midlines clearly falling on that line of critical care, and we expect to see that strength continue throughout our fourth quarter."
7,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,7,Jayson Tyler Bedford,"Raymond James & Associates, Inc., Research Division",ANALYSTS,"Okay. So I guess just to summarize that point, Steve, the growth that you saw this quarter seems pretty durable, at least, for the next few quarters?"
8,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,8,Stephen A. Trowbridge,Executive VP & CFO,EXECUTIVES,"We believe so, yes."
9,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,9,Jayson Tyler Bedford,"Raymond James & Associates, Inc., Research Division",ANALYSTS,"Okay. And then I'll just ask one more, and then I'll get back in queue. Can you just update us on the status of the AURYON launch here? I'm just a little unclear as to the rep build-out. Is that complete? Given the dynamic with COVID, when do you expect a full commercial launch?"
10,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,10,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"So -- Jason, good point. It's been 6 months now that we've owned the Eximo business and the AURYON product. So as we talked to you before, the first 3 parts of the move were, a, supply chain build-out. So now we're manufacturing the laser hardware to our specs and our supply chain. We're also manufacturing now the disposable catheters to our specs and our supply chain. So our supply chain team has done a great job with our quality partners the last 6 months building this out."
11,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,11,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"Number two, we needed to build a sales training program and a physician training program. We've done those as well. So ready, prepared to communicate those to the field."
12,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,12,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"And finally, number three was the dedicated commercial team as we communicated we'd build. So today, we have 15 people dedicated to this AURYON business. And over 10 of those people are dedicated field sales reps. Each of those have been hired. They have experience in their past life working for probably one of the other companies in this space. So these folks are already experienced atherectomy salespeople. They have relationships in their field in the areas that we've hired them in, and we expect good performance from them."
13,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,13,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"As we get closer to full launch, though, Jason, then we'll give you a little more time line as to when we'll add more people. So we're not at a full launch yet. We're right on track where we'd be with this process. So we're excited on what we've learned. As soon as we get through a little bit of this COVID-19 situation, we can take a deep breath, and we'll share with you little more details around the next phase of the launch. But it includes having podium presence, speakers to talk about the product, how it works and how it's being received in the market."
14,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,14,Jayson Tyler Bedford,"Raymond James & Associates, Inc., Research Division",ANALYSTS,"Is COVID the gating factor here? Meaning, once COVID is, I don't want to say over, but once this -- everything relaxes, will you be able to launch the product?"
15,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,15,Jayson Tyler Bedford,"Raymond James & Associates, Inc., Research Division",ANALYSTS,"We will. Jason, I don't think -- COVID hasn't changed our plans. I think we told you guys when we bought it, we need about a 6-month window before we start to launch. In the last couple of weeks, we've slowed down spending here in a responsible fashion and slowed down some of the investments we are making, just to make sure we're disciplined with our cash management and our balance sheet. But COVID is not going to be part of the AURYON story. Really, we're building a story around those 3 areas. I can't wait till we can share more with you. It's really going at the pace we expected, and we're excited to keep building the team there."
16,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,16,Stephen A. Trowbridge,Executive VP & CFO,EXECUTIVES,"Jason, we continue to invest in AURYON. And so as we talked about our cash management priorities, we want to make sure that we're ready to hit the ground running when market dynamics allow us to do that. So we've continued to, as Jim mentioned, build up our supply chain, bring in the salespeople, be ready to go. We do see the atherectomy procedures as some that are on that line tending to be delayed during the current environment, while health care systems are looking to build up capacity. So once that does ease a bit, given the investments we're making, we'll be ready to hit the ground running, as Jim said, according to our original plans."
17,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",QA,17,Operator,,,Our next question comes from the line of Jason Mills with Canaccord Genuity.
