,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",QA,0,Operator,,,[Operator Instructions] And the first question comes from Brady Gailey with KBW.
1,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",QA,1,Brady Matthew Gailey,"Keefe, Bruyette, & Woods, Inc., Research Division",ANALYSTS,So buybacks were notable in the quarter. Do you still have excess capital with tangible common equity at around 10%? How are you all thinking about buybacks going forward?
2,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",QA,2,Thomas L. Travis,"President, CEO & Director",EXECUTIVES,"Brady, we've been consistent that our view of stock repurchases is based on 2 factors: First, whether the price is a bargain; and second, is it consistent with our long-term goals, which balance shareholder returns and having adequate capital available for expansion -- future expansion. As you know, we've commented that we've -- historically, we've seen many companies buy back stock with a view of boosting EPS, not necessarily based on buying at a bargain price, essentially more of a short-term perspective."
3,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",QA,3,Thomas L. Travis,"President, CEO & Director",EXECUTIVES,"And we've also said that we understand that people are entitled to follow that type of program, but our strategy is different. And so when this turmoil began, we observed a severe price drop, and we knew our strong earnings and capital cushions were sufficient, so we began executing on that strategy. So with that being said, specifically to your question, we're not going to deviate from that perspective and that strategy. We don't have a specific number in mind. We don't have predetermined expansion plans right now, but we feel really good about our company and where it is. And J.T. made a comment the other day regarding opportunities. And we feel like that the best buy we could make, whether looking at buying a bank with our own stock absolutely, right?"
4,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",QA,4,Brady Matthew Gailey,"Keefe, Bruyette, & Woods, Inc., Research Division",ANALYSTS,All right. That's fair. And then you mentioned your activity with the P3 plan from the SBA. Maybe just update us how much -- how many PP loans have you done so far? I think most banks are enjoying roughly a 3% fee on those loans? Is that roughly the fee that you guys are expecting here?
5,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",QA,5,Jason E. Estes,Executive VP & Chief Credit Officer,EXECUTIVES,"Yes. So the first wave, we put on about $45 million of fundings related to the PPP program. And our expected fee generation, I believe it was around 2.9%. So really close to in line with your 3% estimate from others."
6,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",QA,6,Brady Matthew Gailey,"Keefe, Bruyette, & Woods, Inc., Research Division",ANALYSTS,"Okay. All right. And then lastly for me, just the hospitality portfolio. I mean it's notable with you guys at a little over 20%. I appreciate all the colors around LTVs and what the vacancy can go to, et cetera. I mean just bigger picture, is this a portfolio that you are concerned about over the next few months? Or do you think even with a shelter in place for another couple of months, this book will still perform relatively okay?"
7,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",QA,7,Jason E. Estes,Executive VP & Chief Credit Officer,EXECUTIVES,"Yes. I expect this book to perform relatively okay, to use your words. We're confident in these borrowers. They've got lots of operating history. We went and pulled kind of the 10 biggest groups, and there wasn't -- none of them had less than 23 years of experience. And so they're in this for the long haul. And so are we."
8,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",QA,8,Thomas L. Travis,"President, CEO & Director",EXECUTIVES,"I would say, too, Brady, that the -- you cannot underestimate the drive-to market component compared to the gateway cities like the coasts of East and West Coast. And you're already seeing there will be many, many more people that will get in the car and they will drive to certain places. And we've got that leisure limited service. It's not business convention hotels. It's not dependent on people coming in from international travel. And when you think about that, you can easily see that the portfolio is going to do much better. And as Jason said in his comments, I think it was 9 properties. I forget the percentage, 1/3 or so. There are 10 properties out of 34, 5 that we have that are already above 50%. And it's people that say, I can't go anywhere. Texas is opening up. And so let's go to Dallas for the weekend or let's do this. And so that's our portfolio."
9,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",QA,9,Thomas L. Travis,"President, CEO & Director",EXECUTIVES,"And I would add on Page 12, when you talk about concern and you go down that road to whether people want to speculate if it's 90 days or 6 months before we're back to, pick a number, 70% occupancy, 60%, look on Page 12. And we have a 62% loan-to-value ratio. And so if you think about it in these terms, 70% of our exposure is at Dallas-Fort Worth area, which is a drive-to market. So just a typical hotel, it's a Hampton inn in the Dallas metro area, and the property is worth $5 million, and the borrower owes us $3.1 million. And so are we worried if there's a 90-day to 6-month temporary hiccup to their cash flow? Absolutely not. And this is an example of the dynamics of a combination of more of a blue-collar perspective and the dynamic market that we're in, especially the drive-to segment."
10,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",QA,10,Thomas L. Travis,"President, CEO & Director",EXECUTIVES,"Now one final comment I'd make. I read a piece this morning that there's a lot of belief out there that the Americas national parks are going to be really, really busy because people are going to want to get in their cars and go cross country and do things. And so it's another example of the importance of being a drive- to market and a leisure and combination market and not business convention or gateway cities like the coasts."
11,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",QA,11,Operator,,,And the next question comes from Matt Olney with Stephens.
12,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",QA,12,Matthew Covington Olney,"Stephens Inc., Research Division",ANALYSTS,"I think you mentioned in prepared remarks that the overall level of loan deferments and modifications with pretty modest as of March 31. Do you have anything more recently as far as the modifications or deferments that you can disclose in the portfolio, especially around the hotel and energy segments?"
13,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",QA,13,Jason E. Estes,Executive VP & Chief Credit Officer,EXECUTIVES,"Yes. I'll go -- I've got overall portfolio details. And then I'll touch a little bit on the other 2 segments. But overall, through the 28th of April, which -- what's today -- 2 days ago, approximately 10% of our total notes have been modified. Now they represent about 30% of our outstanding loan balances, and that's 2/3 made up of the hospitality segment. So of the operating properties, just the program was -- and all of these modifications that we've done have been 2 to 3 months of either interest-only or 2 to 3 months of no payments. And so in that group, the vast majority of that is the hospitality segment."
14,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",QA,14,Jason E. Estes,Executive VP & Chief Credit Officer,EXECUTIVES,"Got it. Okay. That's helpful. And then within the hospitality segment, any -- were there any past dues or any potential problem loans before March? Just trying to appreciate if there are any kind of laggards in the portfolio that could be hit especially hard, given that they were already hurting beforehand?"
