,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",QA,0,Operator,,,[Operator Instructions] And our first question is from [ Gregory Irvin ].
1,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",QA,1,Unknown Attendee,,ATTENDEES,"Wow, what a difficult time?"
2,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",QA,2,Edward Rowland Grauch,President & CEO,EXECUTIVES,Yes. For everyone.
3,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",QA,3,Edward Rowland Grauch,President & CEO,EXECUTIVES,"Let's see, where to begin? Number one, I hope we can get the Paycheck Protection loan, given that it's"
4,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",QA,4,Edward Rowland Grauch,President & CEO,EXECUTIVES,"We've made a combination of operating expense reductions, including targeted efficiency-oriented layoffs last year, and we continued those in the early part of this year. They were very selective and very targeted towards our efficiency goals. And those all preceded us coming to understand the potential and now real impacts of the COVID situation. Since we recognized the impacts of the COVID situation, we've since taken very specific nonefficiency-oriented, but very specific targeted short-term layoffs and furloughs related to match the level of business that we continue to see through March that I mentioned earlier in my remarks. So yes, we have."
5,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",QA,5,Edward Rowland Grauch,President & CEO,EXECUTIVES,"Would the ability to get the loan from the Paycheck Protection Program, would that cover -- I guess it wouldn't cover the layoffs or reductions that may have occurred last year, but the ones that you may have to implement now?"
6,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",QA,6,Edward Rowland Grauch,President & CEO,EXECUTIVES,"So again, all the actions we took that were specific to the current COVID-related situation, we took them short-term actions. The PPP program is giving us the ability to potentially receive some relief in the short term to potentially get us through the, I think in theory, the bulk of the potential impact to the market. So at least I believe that's what the government's intentions are. So our planning revolves directly around that intention of the program. And it also wraps directly around what we will be committed to the government in doing if we receive those funds, and that is to run the business, reverse all of the short-term-related actions that we have on our current staff and run the business at full capacity for the period to help relieve the pressure on the economy and work towards the stated goal of trying to get the economy recovered as quickly as possible. That is our plan, and all the actions that we've done in the short term related to furloughs and short-term layoffs are reversible with very short notice."
7,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",QA,7,Edward Rowland Grauch,President & CEO,EXECUTIVES,"Well, that's good to hear. Have -- in the cutback of operating expenses, have -- has that -- have you had to cut into the R&D that may affect the ability to design and roll out products -- needed products in the market?"
8,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",QA,8,Edward Rowland Grauch,President & CEO,EXECUTIVES,"We've done some, but we've been extremely careful to ensure that the impacts are minimal, and we've done a lot of work talking to our employees related to those reductions. They've been taken with incredible care to ensure that the impact is exactly what it's intended to be, which is very short term, very targeted and that we can recover rapidly after we see the ramp. When we can better predict what we think the ramp is going to look like on the other side of this, we'll be able to recover that capability as quickly as possible. I don't want to go into specific details, but we've done it in the smallest way possible and in the most careful way possible."
9,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",QA,9,Edward Rowland Grauch,President & CEO,EXECUTIVES,"The -- do we -- relatedly, do we have the products to match customer needs now? I know there was some discussion of this on the last call. Given that change, the technology transition that I assume is still occurring, are we still able, in the feedback that you get from customers and potential customers, able to meet their needs with the current product lines and the lines under development?"
