,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Brookline Bancorp, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,0,Operator,,,[Operator Instructions] And our first question today comes from Mark Fitzgibbon from Piper Sandler.
1,"Brookline Bancorp, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,1,Mark Thomas Fitzgibbon,"Piper Sandler & Co., Research Division",ANALYSTS,"I wondered if you could -- first off, you guys gave great detail on the slides. So thank you. It makes our life easier. I wondered if you could share with us maybe the areas or segments of the portfolio where you're most concerned where you feel as though the borrowers are most distressed and/or areas where you think the potential loss content would be greatest."
2,"Brookline Bancorp, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,2,Paul A. Perrault,"President, CEO & Director",EXECUTIVES,Bob?
3,"Brookline Bancorp, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,3,M. Robert Rose,Chief Credit Officer,EXECUTIVES,"It's hard to pinpoint extremely precisely. But when you think of the things that will return to health relatively quickly and things that won't, in our equipment finance segment, I would be a bit concerned about a portion of our exercise studios. Planet Fitness and other low-priced components such as YMCAs and JCCs are about 50% of that, and they tend to not have fallout in difficult times. It's the middle- priced and the higher-priced ones that seem to have that fallout. So I would say, a segment of the fitness portfolio would concern us a little bit."
4,"Brookline Bancorp, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,4,M. Robert Rose,Chief Credit Officer,EXECUTIVES,"Our hotel exposure, while modest in size at about $126 million, is about 58% vacation-oriented, recreation-oriented. It is all in New England, places where you can get to in a car or a ferry. And we have -- those customers have observed some cancellations of summer plans, but we are hopeful that they will benefit from people canceling airfare fly to type vacations, where people want to be closer to home and be able to get home quickly. The other part of that portfolio would be business hotels, but they are all in this area. There aren't that many of them. So those would be 2 that stand out."
5,"Brookline Bancorp, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,5,Mark Thomas Fitzgibbon,"Piper Sandler & Co., Research Division",ANALYSTS,Okay. Great. And then -- and I know this is very difficult to answer. There's a lot of moving parts and such.
6,"Brookline Bancorp, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,6,Mark Thomas Fitzgibbon,"Piper Sandler & Co., Research Division",ANALYSTS,"But how are you thinking about the provision, say, in the second quarter? And any guidance you could provide would be super helpful."
7,"Brookline Bancorp, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,7,Mark Thomas Fitzgibbon,"Piper Sandler & Co., Research Division",ANALYSTS,"Well, I'm not a fortune teller and I'm not a health care expert, but we are paying close attention to how our customers are doing. We are talking with them all the time. We're especially talking with them in the key segments that were highlighted on Page 13. We've also instituted a program of trying to project forward 90 and 180 days out as to what the customers are thinking. So I really cannot say. I do believe that this level of provisioning that we've hit because we took a very late forecast, the latest one we could find, I think this gain in altitude that we've achieved will be helpful in coming quarters."
8,"Brookline Bancorp, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,8,Paul A. Perrault,"President, CEO & Director",EXECUTIVES,"I would add a little something to that, Mark, which is that CECL is new for everybody. It's new for us. And we took Moody's models as they came through the door, and we did not try to match it up with our actual experience in our portfolio and say we've got these exposures here, which Moody's is treating is harshly, but it appears ours have been in very, very good shape. We certainly took it as they came with that harsh outcome."
9,"Brookline Bancorp, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,9,Paul A. Perrault,"President, CEO & Director",EXECUTIVES,"Okay. And then, Paul, based on what you know today, do you feel like you have enough capital to sort of ride out the storm?"
