,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",QA,0,Operator,,,[Operator Instructions] Our first question will come from Jaeson Schmidt with Lake Street.
1,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",QA,1,Jaeson Allen Min Schmidt,"Lake Street Capital Markets, LLC, Research Division",ANALYSTS,Just curious if you could comment what you're seeing from an order pattern standpoint in the month of April compared to the end of March?
2,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",QA,2,Anthony Ambrose,"President, CEO & Director",EXECUTIVES,"So Jaeson, that's a good question. I won't get too quantitative. I'll just say this. We're not seeing the end of the world out there, okay? People are still buying things. CapEx was down in Q1. When we put our internal numbers and forecast together for Q2, we assume CapEx would be impacted as well. But it's not the end of the world. We've definitely seen an impact, but it's not like we've fallen off a cliff or anything."
3,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",QA,3,Jaeson Allen Min Schmidt,"Lake Street Capital Markets, LLC, Research Division",ANALYSTS,"Okay. That's helpful. And then as a follow-up, I know in the script, you mentioned an order for an electronics manufacturer in the ventilator market. Just curious if this is more of a one-off win? Or if you've seen sort of sustained inbound interest from the health care medical market as a whole?"
4,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",QA,4,Anthony Ambrose,"President, CEO & Director",EXECUTIVES,"Well, we we haven't talked too much about in the past. We actually have a pretty good medical business. We haven't broken it out. It's been considered part of our industrial business up till now, which is run between, I don't know, Joel, 20% and 25% of our overall business for several years in that range."
5,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",QA,5,Joel S. Hatlen,"Chief Operating & Financial Officer, VP of Operations & Finance, Treasurer and Secretary",EXECUTIVES,"Yes. It fluctuates, 15% to 25%."
6,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",QA,6,Anthony Ambrose,"President, CEO & Director",EXECUTIVES,"Yes. And then probably more in the programming centers as well. But we called out the specific win because, number one, we put together a program for medical customers to make sure that they could quickly repurpose equipment to support new medical needs. That's actually one of the big advantages of the Data I/O technology is, with our pre programming, you can convert from a part that might be supporting a ventilation system in a car, and in 30 minutes, you can be reprogramming now to support a ventilator for a hospital. We can convert the line that quickly. And so a customer came to us, they had a problem. They'd actually prototyped on a alternative programming solution and found that the performance was terrible. They came to us with LumenX, and we were able to get them about an 8x performance game. And they move very rapidly to place an order with us and get that to support their ramp. And the end customer, we don't have the permission to use their name. But if you Google big government orders of ventilators, you can figure out 1 of the 2 companies."
7,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",QA,7,Anthony Ambrose,"President, CEO & Director",EXECUTIVES,Our next question will come from Pete James with LJ Capital.
8,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",QA,8,Unknown Analyst,,ANALYSTS,"Can you discuss the margin profile by revenue type for capital equipment sales, adapters, maintenance and software upgrades and per click fees for SentriX programming, please?"
9,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",QA,9,Anthony Ambrose,"President, CEO & Director",EXECUTIVES,"Yes. I won't go into too much detail. But in general, the software obviously carries higher margins. Services tend to carry pretty good margins as well. The capital equipment, it really depends on not only the type of system ordered, but the channel. And I'll give you an example. So if we sell-through a direct sales channel, we'll tend to have a higher gross margin and also a higher sales expense because we'll pay commissions. If we sell-through a distributor, we'll have a lower gross margin on that equipment because we provide the equipment at a discount to the distributor. At the same time, our sales commissions will be much lower because the commission has been taken in the form of a product discount. So it's fairly variable. But within those broad parameters, that's the pattern of our business."
10,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",QA,10,Anthony Ambrose,"President, CEO & Director",EXECUTIVES,"Okay. I had one other question as well. You've mentioned the transition from eMMC to UFS, can you talk more about what this means in the automotive electronics sector with near and longer-term perspectives? And where your technology stand relative to what else is available in the market from your competitors?"
11,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",QA,11,Anthony Ambrose,"President, CEO & Director",EXECUTIVES,"Sure. So as you know, the semiconductor industry from time-to-time adopts certain standards for widely used components such as flash memory. eMMC was that broadly deployed standard in the PC industry, the mobile phone industry, automotive electronics for the better part of a decade. Starting in mobile phones, probably 3 or 4 years ago, there was a transition to a new form of memory interface, called UFS. Without drilling down too far, it provides a much higher read capability, a much better nonsequential read capability, meaning if you switch around from application-to-application, you get the data faster. And it also is able to operate at lower power. That was very attractive for the mobile phone industry, and they adopted it first. And as the industry, in general, move towards UFS, the cost patterns and reliability characteristics were consistent with what was required for the automotive industry. And they've been moving a lot of the high-density flash memory applications such as infotainment, in Dash computing, displays, things like that, to UFS. That's actually very good for Data I/O because we're one of the handful of suppliers that can actually program us in the market. eMMC, pretty much anybody could do it. We did it better, of course, because it's much faster. But right now, we're 1 of 2 or 3 suppliers that have announced the capability to support UFS. And when we're able to sit down with customers, we can explain why our approach has some very important technical benefits that maybe some others don't. So the move to UFS, we view generally is very favorable to Data I/O because we have a unique technology position. And also, very cost-effective for the customer."
