,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",QA,0,Operator,,,[Operator Instructions] The first question will come from Brian Kinstlinger with Alliance Global Partners.
1,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",QA,1,Brian David Kinstlinger,"Alliance Global Partners, Research Division",ANALYSTS,"With the current revenue base, how are you addressing overhead? And can you talk about with your business being essential but volumes down, where you can take operating expenses? It looks like you were at about $15 million in 2019, which I assume includes the $3 million in litigation expense you discussed. So where can we take that to right now?"
2,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",QA,2,Thomas J. Heckman,"CFO, VP, Treasurer & Secretary",EXECUTIVES,"Yes. Overhead wise, we've pared down I wouldn't say substantially, but we've pared down in the areas that really are flat or actually not existent in this economy right now with coronavirus on thing like event solutions and likewise. So we've made cutbacks, both employees and overhead in those areas that make sense. But I would tell you that certain areas of commercial is revving up. Private security seems to be doing real well as well as our regular law enforcement business. So there's areas that we have cut back in because those areas are dead in the water right now until the economy really opens back up. As far as what to expect from an overhead perspective, it will go down. But I cannot tell you how much, depending on where else we cut and what else we do. But we're looking at every overhead expense, obviously, and trying to make it right versus what kind of revenues we're generating from those channels."
3,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",QA,3,Stanton E. Ross,"Chairman, President & CEO",EXECUTIVES,"Yes. A lot of it -- some of the expenses, as you can imagine, instead of us going to trade shows and other events, I mean, even all our outside reps are basically considered inside reps. I mean, they are happen to keep the relationships by phone. We do a tremendous amount of webinars to try to keep everyone educated and get new business through those means, but the expenses of being out on the road is nonexistent pretty much right now. So there are a lot of areas that the expenses came down dramatically, let alone the areas where we really did have to pare back, as Tom was saying, that because the opportunities are nonexistent for a while."
4,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",QA,4,Brian David Kinstlinger,"Alliance Global Partners, Research Division",ANALYSTS,"Great. And then in terms of the disrupted supply chain, what supplies are you having trouble procuring? Where are they procured from? And is there any communication from suppliers as to when this might improve?"
5,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",QA,5,Thomas J. Heckman,"CFO, VP, Treasurer & Secretary",EXECUTIVES,"Yes. As you might expect, we do get some of our camera products from the orient, specifically China, Philippines, South Korea. Those suppliers obviously have been affected, but it really hasn't hurt us that bad. We've had some delays, but we've eventually got the ordered quantities and products. So yes, we have been affected. It has slowed down. But we are getting products from those companies and suppliers, and we don't think that, that will be an ongoing problem once the coronavirus thing kind of passes."
6,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",QA,6,Brian David Kinstlinger,"Alliance Global Partners, Research Division",ANALYSTS,"Great. And then last question, can you expand on the press release comment that you are evaluating acquiring distribution rights for several products? Just some more detail on what this might mean."
7,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",QA,7,Stanton E. Ross,"Chairman, President & CEO",EXECUTIVES,"Yes. As we look at and seen the level of interest in the current products that we're out there with, it's clearly opened our eyes up to other potential products such as even hardware, that we have the capability of being able to produce and could implement and sell-through our existing channels. So we're looking at what all, not only the current product, but additional ones along this line, how we can expand on that. And again, as I mentioned, we're still excited about our breathalyzer hitting the marketplace. We do have a next-generation of body camera that we have not pumped the brakes on at all. We're still going full speed ahead for it to get to development. We have the, what we call the 250 in a box or the 250 fleet, that's for over-the-road truckers. And that product, too, is right around the corner. So there's several additional products that we have -- we've been working on and others that we believe now with sort of the changing environment that we clearly have the capabilities to get into. And again, one, I just need to wait a little bit longer and explain on, but there are some even medical devices that we have the capability of design and producing."
8,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",QA,8,Stanton E. Ross,"Chairman, President & CEO",EXECUTIVES,"I hope the family and all the friends out there are being safe and everyone is healthy. As you know, I'm on the island, and we're becoming the hotspot. So my thoughts and prayers are out to you guys and your families, put it that way."
9,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",QA,9,Operator,,,The next question is from Bryan Lubitz with Aegis.
