,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,0,Operator,,,[Operator Instructions] And we'll take our first question from Vincent Andrews with Morgan Stanley.
1,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,1,Vincent Stephen Andrews,,,"Maybe I could just ask about how you're thinking about in Packaging & Specialty Plastics. If you look at the price decline that you guided to for 2Q, could you just talk about how much of that is coming out of -- do you think it's going to come out of the U.S. market versus it's just the weak export market or the EU? And how are you thinking about ethane and propane through the quarter? There's been some volatility in ethane over the last months, and propane seems to be pretty -- being pretty stubborn relative to the move in crude so far."
2,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,2,James R. Fitterling,CEO & Chairman,EXECUTIVES,"Vince, everybody is doing great here, and thanks for asking. We hope you are, too. Most of the pricing -- and I think what you're saying on pricing is that you're seeing things kind of come to a global kind of a price right now and that you would expect that with what's happened. I think you're going to see a little bit more come out in Europe than in North America. A little bit less in Latin America, a little bit less in the Pacific. Actually, we've started to see exports to China stepping up pretty dramatically. China has reduced the tariffs coming in. And the Chinese economy is starting to rebound versus March. I would say we start to see activity there in late March and through the month of April, so the industrial part of the economy is starting to get rolling again. Consumer part, still a little bit uneven. And then obviously, we did what we did on supply just to balance off demand."
3,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,3,James R. Fitterling,CEO & Chairman,EXECUTIVES,"So we had a good strong first quarter. Volumes were flat, slightly up in Packaging & Specialty Plastics, but we're going to see some impact on volumes in the industrial part of the sector in the second quarter, which is why we tightened up some of the supply. And that was primarily due to industrial shipping, industrial applications, automotive applications. We're starting to see the automotive industry talk about coming back here in the month of May and also in the month of May in Europe. So hopefully, we'll see the May, June turn in the economy on the industrial side here in North America, Latin America."
4,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,4,Operator,,,"And next, we'll move to John Roberts with UBS."
5,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,5,John Ezekiel E. Roberts,"UBS Investment Bank, Research Division",ANALYSTS,"Can you comment on other industry closures you might be seeing? We don't usually think of Dow as high cost, although ethane has kind of slipped here currently. But are we seeing other closures we haven't heard about yet from competitors in the marketplace?"
6,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,6,James R. Fitterling,CEO & Chairman,EXECUTIVES,"Yes, John, thanks for the question. We're not closing high-cost assets. We're closing to balance demand. So look, all of these are reasonable cost assets, but the reality is there's been a pretty significant amount of industrial capacity shutdown on the downstream. And so we don't feel like, in this environment, really plowing a lot of material into inventory is the right thing to do. So that's why we're dialing back the capacity."
7,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,7,James R. Fitterling,CEO & Chairman,EXECUTIVES,"I have seen some delays and indefinite suspensions of projects. There was one this week in Ohio, the Thai project that was going to go ahead. So we're starting to see some of those kinds of announcements. We're seeing reduced rates across polyurethanes across the globe, basically, and we've got polyurethanes"
8,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,8,James R. Fitterling,CEO & Chairman,EXECUTIVES,"MDI capacity down in China right now, not us, but competitors do, really to balance out the fact that downstream automotive and appliances and construction for insulation materials has been slow. So I think that's what you're seeing. I think it has less to do with the cost position and more to do with supply/ demand."
9,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,9,Operator,,,And David Begleiter with Deutsche Bank will have our next question.
10,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,10,David L. Begleiter,,,"On the same point, the idling of the Americas ethylene, polyethylene plants, is your decision being influenced at all by the cost competitiveness of these plants given the recent drop in oil prices? And if not, are you concerned about losing any share to competitors who are not being as disciplined as you are?"
11,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,11,James R. Fitterling,CEO & Chairman,EXECUTIVES,"CEO & Chairman across our plastics business. And ethylene costs are still very low in the U.S. Gulf Coast, so we haven't idled anything on the ethylene side. In fact, right now, probably 9% to 10% of ethylene production capacity is out on the U.S. Gulf Coast. So we'll balance that out."
12,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,12,James R. Fitterling,CEO & Chairman,EXECUTIVES,"We've been operating very well from a working capital standpoint. And I think what we're trying to do here is just make sure that we don't plow a lot of material into inventory until we see a good demand signal coming on the back end. We're starting to get good signs. We're starting to get positive signs out of many states in the United States for a May opening and some parts of Europe, like Germany, Austria, Switzerland. And then I think as confidence builds, testing comes along, people are going to be more certain about going back into manufacturing, and consumers will be back in the market. And at that point, it's easy to fire these polyethylene units back up and meet that demand."
13,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,13,Operator,,,"And next, we'll move to Jonas Oxgaard with Bernstein."
