,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Levi Strauss  Co., Q1 2020 Earnings Call, Apr 07, 2020",QA,0,Operator,,,[Operator Instructions] Your first question is from the line of Matthew Boss from JPMorgan.
1,"Levi Strauss  Co., Q1 2020 Earnings Call, Apr 07, 2020",QA,1,Operator,,,Next participant is from the line of Heather Balsky from Bank of America.
2,"Levi Strauss  Co., Q1 2020 Earnings Call, Apr 07, 2020",QA,2,Heather Nicole Balsky,"BofA Merrill Lynch, Research Division",ANALYSTS,"Glad to hear everything is going well, and everyone is in good health. Can you just talk about how your various wholesale partners in Europe and in the U.S. are responding to this in terms of working capital and in terms of inventory orders? And then can you talk about the levers and tools you have to manage working capital during this downturn?"
3,"Levi Strauss  Co., Q1 2020 Earnings Call, Apr 07, 2020",QA,3,Harmit J. Singh,Executive VP & CFO,EXECUTIVES,"Heather, glad to see you safe and healthy. Thanks for asking the question. We are blessed that we have customers and wholesale partners that we have great relationships with. We are working with each one of them on a case-by-case basis. We're collecting the cash that's owed to us. We are managing inventory. The good news is that, as I mentioned, given that our inventory levels were generally healthy as we entered the quarter and ended the 2019, we're in a good spot. A large piece of our inventory, including the in-trade inventory, is core. So we believe that once the retailers open their stores and we open our stores, we'll be able to work through that. And we are in discussion with our partners. We are asking them to pay us what they owe us, which is the standing of a good relationship, and we're working through with them to be ready when the crisis is over and behind us."
4,"Levi Strauss  Co., Q1 2020 Earnings Call, Apr 07, 2020",QA,4,Charles Victor Bergh,"President, CEO & Director",EXECUTIVES,"One other quick thing I would add, Heather, is we do have customers that are still in business and still opening their doors and still shipping products. So Walmart, Target, Amazon here in the U.S. are all trading, and we're still shipping product to them, and same is true with some of the pure-play e-commerce players in Europe. So we do have some revenue right now and some consumer transactions happening in wholesale. But as you know, the majority of the large department store chains here in the U.S. are closed. And that's largely true in Europe, across Europe as well."
5,"Levi Strauss  Co., Q1 2020 Earnings Call, Apr 07, 2020",QA,5,Operator,,,We have our next question from the line of Matthew Boss from JPMorgan.
6,"Levi Strauss  Co., Q1 2020 Earnings Call, Apr 07, 2020",QA,6,Matthew Robert Boss,"JP Morgan Chase & Co, Research Division",ANALYSTS,"Great. And congrats on a nice quarter. So Chip, as we think about the brand's top and bottom line acceleration into the crisis, I thought your prepared remarks were actually really interesting. I guess how do you weigh market share versus profitability to emerge from this as a stronger brand, as you said, without taking some level of a step back?"
7,"Levi Strauss  Co., Q1 2020 Earnings Call, Apr 07, 2020",QA,7,Charles Victor Bergh,"President, CEO & Director",EXECUTIVES,"Yes. So I sort of talked about it in the prepared remarks, we are very focused right now on how do we come out of this stronger as a company, but also how does the Levi's brand come out of this crisis even stronger? So let me hit a couple of things on why I think that's possible. First of all, coming into the crisis, there's a very good proof point about the strength of the brand, and that is called pricing power. We have been talking about pricing power. We took pricing at the end of last year, and you saw it flow through in the gross margin and gross profit line this year, I mean -- or this past quarter, Q1. So nothing better demonstrates the strength of a brand than the ability to price. And we did that successfully in Q1."
8,"Levi Strauss  Co., Q1 2020 Earnings Call, Apr 07, 2020",QA,8,Charles Victor Bergh,"President, CEO & Director",EXECUTIVES,"Second, we're continuing to invest during this period. We have not gone completely dark. We are cutting back -- to be very clear, we are cutting back on A&P, but we're being deliberate and strategic about actions that we can take to strengthen the relationship between the brand and the consumer. And the 5:01 concert series is, I think, a great proof point of that. And every day, it just keeps getting more momentum. We're trying to find ways to connect more strongly with consumers during the period of time that they're cooped up."
9,"Levi Strauss  Co., Q1 2020 Earnings Call, Apr 07, 2020",QA,9,Charles Victor Bergh,"President, CEO & Director",EXECUTIVES,"Third is on the product front. We are going to continue to bring newness. This Super Mario from Nintendo collaboration, that's dropped in China and Asia and Europe and drops later this week here, brings some fun and some newness to the brand. So we're not stopping. We're not pausing. We're continuing to go forward on product and product innovation. And finally, we're going to continue to leverage digital, everything digital. So we launched the app a few months ago, and that's off to a really good start. We've got our loyalty program, we're going to continue to double down on that, and our e-commerce business."
10,"Levi Strauss  Co., Q1 2020 Earnings Call, Apr 07, 2020",QA,10,Charles Victor Bergh,"President, CEO & Director",EXECUTIVES,"And then I guess the last thing I would say is I do believe crisis creates opportunities. There are going to be some players in this industry that don't make it, and that's going to open up real estate opportunities for us potentially. It could -- we could wind up being the share beneficiary of others not making it. And as I kind of cruise the Internet and Instagram and look at our Facebook page and stuff, a lot of people are writing about, well, I'm working at home, I'm kicking back in my Levi's, and it's become a Levi's moment. And I think that gives us something to build on as we come out of this crisis."
11,"Levi Strauss  Co., Q1 2020 Earnings Call, Apr 07, 2020",QA,11,Charles Victor Bergh,"President, CEO & Director",EXECUTIVES,"So we're really focused on it, and I'm very, very confident that whatever the shock is to the consumer and the economy, when the consumer does emerge from hibernation, they're going to want to go back to the brands that they love and to the brands that they're comfortable with, and they've got a relationship with. And that's why I believe we're poised to win in this environment."
12,"Levi Strauss  Co., Q1 2020 Earnings Call, Apr 07, 2020",QA,12,Matthew Robert Boss,"JP Morgan Chase & Co, Research Division",ANALYSTS,"Great. Maybe to switch gears to Europe. So it's close to 1/3 of your sales. It's been a meaningful driver of growth. So maybe precrisis, can you speak to profitability metrics and drivers of the pricing power that you were seeing in Europe? And then as we think postcrisis, just the remaining opportunity as we think about the profitability and pricing opportunity that you continue to see in Europe."
