,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,0,Operator,,,"[Operator Instructions] First question comes from Brian Drab, William Blair. Mr. Drab, are you there? Is your line on mute?"
1,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,1,Operator,,,We'll move to the next question. That comes from Mr. Nathan Jones of Stifel.
2,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,2,Nathan Hardie Jones,"Stifel, Nicolaus & Company, Incorporated, Research Division",ANALYSTS,"I guess I'll start with the question on everybody's mind, and that's the impact of coronavirus. I know you guys gave some updates on the impact in the second quarter, but things haven't really started to pick up at all then. Our checks of your -- yours at Lindsay, yours and Valmont's dealer network really shows that the dealers are not expecting, domestic irrigation dealers, are not expecting much of an impact from coronavirus on demand. Could you maybe talk a little bit about what you saw in March specifically, if there was a change in the demand patterns relative to what you'd expected or if there was a change in the demand patterns as we went through the month?"
3,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,3,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"Yes, Nathan, this is Tim, and this is an important question. So let's talk about it in a broader sense, and then we'll come to exactly what we're seeing relative to demand as a result of that. But we did move to a work-from-home direction, as I had mentioned, and then for the roles that are, with employees that need to go to the site, we are following the CDC and health official recommendations. The business impact that we had for second quarter, we put as less than $1 million operating income. To your point, we were on the front edge of the COVID at that point in time. Currently, of our 9 manufacturing plants, 8 are still fully operational, and the one in South Africa, this plant is continuing to support replacement parts and service. Now when we evaluate whether to keep a plant running, we really look at 3 key questions: Is there -- is the -- what's the current demand level; is the business classified as business essential; and are the safety guidelines that are in place being followed? And then that determines whether we continue to operate that plant."
4,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,4,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"So in terms of what we're seeing from a demand standpoint, it speaks to what you're saying is, overall, I would describe the farm community hasn't felt the impact as what urban areas has from a reality and also from just a concern or perception standpoint. Right now, we would describe as, on the ag side, more concerning would be the lower commodity prices that are across most of the major ones."
5,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,5,Nathan Hardie Jones,"Stifel, Nicolaus & Company, Incorporated, Research Division",ANALYSTS,"And do you see any -- I mean, I guess, we'll do the whole portfolio. In March, did you see any deviations relative to what you'd expected to see specifically from COVID-19?"
6,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,6,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"Well, we would describe our demand pattern without going into forward-looking comments here, Nathan, as saying we've been encouraged by what we've seen so far."
7,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,7,Nathan Hardie Jones,"Stifel, Nicolaus & Company, Incorporated, Research Division",ANALYSTS,"Okay. I guess my next question is you and everybody else are starting to put practices into your facility, that are likely to create inefficiencies. I mean if you make people stay 6 feet away from each other and all those kinds of different things that you put in place within those facilities, I would imagine that, that causes some inefficiencies, reduces throughput, increases costs to some extent, I'm sure it varies by different locations. But maybe you could talk about the impact that those things are having on your own operations?"
8,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,8,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"Well, first of all, the types of activities that we've implemented, what we refer to as strict social distancing, which leads to things like redesigning break rooms, doing staggered shifts, taking staggered breaks, those types of activities, definitely, that brings another level of complexity, and typically, complexity can bring some additional cost. But at this point in time, Nathan, I wouldn't describe it as meaningful in the cost side."
9,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,9,Operator,,,Next question comes from Mr. Brian Drab with William Blair.
10,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,10,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"Yes, Brian."
11,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,11,Brian Paul Drab,"William Blair & Company L.L.C., Research Division",ANALYSTS,"Okay. So sort of building on some of the COVID concerns. Is there any chance that the outbreak or social distancing will affect interactions between dealers and customers? Or is it -- I guess, Tim, you just mentioned kind of the perception and concern regarding COVID maybe in the more rural areas, where the deals are being done just it's not really hindering the interactions as much?"
12,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,12,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"Brian, I wouldn't say it's not having an impact on interactions because the social distancing obviously brings -- again, I'll use the word complexity, a level of that, to the interactions that are going on. But I think the key here is, will it impact demand, and at this point in time, I -- we don't have signs of saying that if a farmer wants to move forward with a purchasing decision, that the social distancing guidelines are getting in the way of that transaction occurring."
13,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,13,Brian Paul Drab,"William Blair & Company L.L.C., Research Division",ANALYSTS,"Okay. And I was thinking about this and I would imagine that, potentially, the outbreak has more of an effect on some of the smaller growers versus some of the corporate farms, like Frito-Lay, et cetera. Can you comment at all about what your exposure is to the larger corporate farms, whether that's a majority or minority of irrigation sales?"
14,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,14,Brian L. Ketcham,Senior VP & CFO,EXECUTIVES,"Yes. Brian, this is Brian Ketcham. Yes. I think we have a large part of our business that is directed towards more of your large corporate growers. I think to your point, on companies like a Frito-Lay, it also speaks to the pressure that's being put on right now on commodity prices relating to potatoes, as an example, with restaurants and schools being closed. I think there's some downward pressure on potato prices. There's also some downward pressure on dairy. But I guess, given the time of year that we're in, a lot of the purchasing decisions for this year have already been made. I think the big unknown at this point is, how long does the situation continue, and what is the impact on commodity prices as we get into next fall and post-harvest time."
15,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,15,Brian Paul Drab,"William Blair & Company L.L.C., Research Division",ANALYSTS,"Okay, okay. And then if I could just ask 2 questions on the infrastructure side. Can you give us any sense for the timing, the revenue and how much will come in each quarter from this U.K. Road Zipper project?"
16,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,16,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"Yes. So we will begin deliveries probably in April, picking up in May. Our expectation is that we will have this in place by the end of our first quarter next year. But if you -- there's some variables and assumptions in regard to people being able to work on the project and things like that, which, at this point, we feel comfortable with that situation. So I think it's -- if you divide that $28 million over a 6-month period, that will give you a general flavor for how that would fall."
17,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,17,Brian Paul Drab,"William Blair & Company L.L.C., Research Division",ANALYSTS,"Okay. Is it fair to -- I think, I guess, see if I have the quarters right, because I mean you have a May quarter, right, June, July, August. So I guess in the May quarter, maybe 20%; August quarter, 40%; and then the November quarter, 40%. Is that a rough -- even in the ballpark of roughly how to think about the distribution?"
18,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,18,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"It's -- yes, I think it's in the ballpark. I think the May quarter would be probably a little less than that just because of where the startup will be later in April and then into May. So you'll probably look at it, maybe $5 million or $6 million in the quarter."
19,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,19,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"Okay. $5 million or $6 million in the May quarter, did you say $5 million or $6 million?"
20,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,20,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,Yes. Yes.
21,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,21,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"Okay. And then last question is, how excited are you about the prospects for a major infrastructure bill? How would that affect your business?"
22,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,22,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"So Brian, we definitely believe there is the potential of that. We're monitoring that closely. We do see that as a significant opportunity for our business. So there is a level of excitement here of what potential that could bring."
23,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,23,Operator,,,Next call is from Ryan Connors of Boenning and Scattergood.
24,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,24,Ryan Michael Connors,"Boenning and Scattergood, Inc., Research Division",ANALYSTS,"Guys, I wanted to just probe a little deeper on the issue of commodity prices. I mean I appreciate the optimism and the idea that maybe this could be just a transitory impact. But I know the USDA's been out there with some pretty aggressive forecasts on planted acreage for corn. As you alluded to, Tim, a lot of those decisions were made before this all came out, and they're saying that restaurant demand is down in terms of food and so forth. So you can paint a pretty dire picture as we get into the fall if the weather cooperates, and this is less than transitory on the demand side, you can paint a pretty dire picture of what commodities could look like 6, 9, 12 months down the road."
25,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,25,Ryan Michael Connors,"Boenning and Scattergood, Inc., Research Division",ANALYSTS,"So I guess I'd frame it this way. I mean you talk about Foundation for Growth and your margin targets and that sort of thing. When you laid that out, you kind of said, ""Look, that's with no help from the cycle"", which is appropriate to manage the business independent of that. But if we've -- how do you frame those -- the Foundation for Growth, the margin targets, et cetera, in light of what could be, not only a lack of help from the cycle but some damage, so to speak, from the cycle?"
