,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,0,Operator,,,We will now begin the question-and-answer session. [Operator Instructions] The first question comes from Ben Klieve of National Securities Corporation. Please go ahead.
1,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,1,Benjamin David Klieve,"National Securities Corporation, Research Division",ANALYSTS,"All right, thanks for taking my questions. First, a couple of questions on the ingredient side. I'm wondering, first of all, if you could kind of break into the growth numbers that you saw in the first quarter. To what degree were there any lumpy one-time sales in there or maybe accelerated buying at the end of the quarter in advance of anticipated volume from consumer goods companies? How can we look at the results from that quarter in that segment in the context of the COVID-19 era?"
2,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,2,Dave Colo,,EXECUTIVES,"Hi Ben, it is Dave. I will take that. So, I think as you heard on the call, our Ingredients business has continued to demonstrate good growth. I think it's primarily driven by the fact that we have a well- positioned portfolio both on the wheat protein and the wheat starch side. I think what you're seeing is kind of a continuation of strong consumer demand as consumers continue to migrate to a healthier diet and with our plant-based protein in the Ingredient sector, we really didn't see any anomalies, if you will in Q1 in that business. I think we're just seeing good strong underlying consumer trends with a well-positioned portfolio to support those trends."
3,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,3,Benjamin David Klieve,"National Securities Corporation, Research Division",ANALYSTS,"Got It. That's great. Then sticking to that segment, to what degree do you see the consumer goods companies adjusting their R&D process in the area of social distancing? I mean, are you seeing delays, are you seeing complete shutdowns from that process or is that continuing relatively uninterrupted? What are you guys seeing on your end?"
4,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,4,Dave Colo,,EXECUTIVES,"Yeah, I mean, for the most part relative to the Ingredients, it's relatively been uninterrupted at this point. Although we are seeing some impact in the Foodservice channel primarily related to customers that serve. If you think about sporting event stadiums, entertainment venues of that nature and the products they produce to support those venues, we have seen a slight slowdown in some of those product lines. But for be on trend and in great demand even during this pandemic."
5,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,5,Benjamin David Klieve,"National Securities Corporation, Research Division",ANALYSTS,"Got it. Perfect. Turning over to the distillery segment you commented a couple of times on the improvement from the export market. I'm wondering if you can comment on a couple of things there. First of all, to what degree did you see kind of a broad macro improvement in the export market versus maybe just kind of uniquely strong execution from your team?"
6,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,6,Benjamin David Klieve,"National Securities Corporation, Research Division",ANALYSTS,"Yes, I think we are that kind of a new part of the organization for us trying to penetrate export sales and our comments were relative to the fact that we started to see some pretty good traction with customer interest and engagement during the first half of the quarter. The last half of the quarter has been impacted by COVID-19 in the fact that substantially, all travel has been shut down. So, it's been difficult to continue the engagement with the customers. It requires travel primarily into the US or our team to go international but the comments were really specific to the work that has been done to date, started by paying some dividends in Q1 but we do see that being delayed until the pandemic clears and we're able to get back more active engagement with our customer."
7,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,7,Benjamin David Klieve,"National Securities Corporation, Research Division",ANALYSTS,"Got it. Last one from me and then I'll get back in queue. Did you comment on you may be hitting the pause button, if you will, on pursuit of M&A activity, which certainly is understandable In the current environment? My question around that is to what degree do you look at the M&A market right now, especially on the branded Spirits side and see a meaningful decrease in valuations or is it too early to know that yet? I mean what are you seeing in that space right now as the world has evolved over the last 6 weeks?"
8,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,8,Benjamin David Klieve,"National Securities Corporation, Research Division",ANALYSTS,"Yeah, I think there has been a significant slowdown in M&A activity globally, if you see, and if you're looking at Spirits Brands of our company, it's an interesting thing with the COVID impact and with the off-premise sales spiking, I'm sure some companies can view that actually as an opportunity to position themselves from an increased valuation perspective. So, I think we need to let this pandemic play out to really understand the impact on M&A activity and how it will or will not affect valuations of company."
9,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,9,Brandon M. Gall,VP of Finance & CFO,EXECUTIVES,"This is Brandan. Just to add to that for a second, I think, to be clear and clarify, we put a pause or curtailed the share repurchase program during Q1. Our comments are on M&A, or is that we are necessarily pausing them at this point in time, but we did say is that we acknowledge that this environment is not generally conducive to M&A as Dave just mentioned, but that we will continue to assess opportunities to strengthen our position in growing markets in concert with our financial position in the upcoming quarters."
