,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,0,Operator,,,[Operator Instructions] The first question today comes from Ryan Merkel of William Blair.
1,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,1,Ryan James Merkel,"William Blair & Company L.L.C., Research Division",ANALYSTS,"So first off, I want to get a better sense of the sales trend line through March and into early April. You said the first 3 weeks of March were up low single digits, but I'm wondering what happened in the last 2 weeks? And is the trend line getting a whole lot worse? And really, I'm just reaching for any kind of read on how bad April could be."
2,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,2,Erik David Gershwind,"President, CEO & Director",EXECUTIVES,"Yes. Ryan, sure. So as we mentioned, yes, March first 3 weeks, and what I'll do is split the discussion out into invoicing and then the booked orders, which, as I mentioned, usually, we don't talk about on this call, but these are certainly unusual times. Invoicing first 3 weeks average low single digits. You can do the math, but the last 2 weeks dropped into the double digits. I wouldn't say it was progressively falling through those last 2 weeks. And the other thing I'd note, Ryan, is, for us, April, that last week in March for us included 3 days of April. So you're getting a taste for April. And I wouldn't call out any discernible difference between week 4 and week 5 in March. We are now in the first week of our fiscal April. So we literally have 2 days under our belt. And for the 2 days for what it's worth, I wouldn't call out anything different from the prior 2 weeks of note. That's the invoicing side."
3,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,3,Erik David Gershwind,"President, CEO & Director",EXECUTIVES,"On the bookings side, as we mentioned, Ryan, what's interesting, and I call it out because being in this business forever, it's the thing that I usually look at as my leading indicator for how we're doing. Bookings were -- we said for the month, up high single digit, certainly stronger the first 3 weeks. But even those last 2 weeks of the fiscal month, year-on-year, we're up. Which, obviously, what that would mean as long as those orders come through, and we believe most will, the invoicing will catch up and will provide a buffer. So that would be the color I'd give you through the month."
4,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,4,Ryan James Merkel,"William Blair & Company L.L.C., Research Division",ANALYSTS,"Okay. So yes, the bottom line is it's not -- sales aren't falling off dramatically here in the last, call it, 7 to 10 days. I think is what I kind of feel..."
5,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,5,Erik David Gershwind,"President, CEO & Director",EXECUTIVES,"I mean, certainly, relative to the first 3 weeks, a big step down, but I wouldn't say -- between the 2 weeks of week 4 and week 5 of March, which again crept into April, I wouldn't see it as trend line straight down, correct."
6,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,6,Ryan James Merkel,"William Blair & Company L.L.C., Research Division",ANALYSTS,"Okay. And then a follow-up there, I probably could do the math, but can you quantify the sales that are on back order as of March? And I assume this has continued into April as well. I mean, how big could the backorder get?"
7,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,7,Erik David Gershwind,"President, CEO & Director",EXECUTIVES,"Hard to give you a number, but I mean just -- you could -- as you said, Ryan, just think about the difference between high single-digit on the order side and then a minus 5.8 on the invoicing side. That's quite a bit of dollars."
8,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,8,Ryan James Merkel,"William Blair & Company L.L.C., Research Division",ANALYSTS,Yes. Okay. And then just lastly...
9,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,9,Ryan James Merkel,"William Blair & Company L.L.C., Research Division",ANALYSTS,"And a lot of that -- as I said, a lot of that we expect to build out over the coming 3 months."
10,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,10,Ryan James Merkel,"William Blair & Company L.L.C., Research Division",ANALYSTS,"Right. Right, right, right. Okay. And then just lastly, and I'll turn it over, a question on decremental margins. This quarter, decremental margins were about 50%, and sales were down 4%. I'm not sure if this is representative, but any help you could provide on decremental margins for the next 2 quarters, assuming sales are down 10%, maybe 20%?"
11,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,11,John G. Chironna,VP of Investor Relations & Treasurer,EXECUTIVES,"I'll take that, Ryan. This is John. I think you followed us a long time, right, of course. So we've talked about incremental margins in -- over history being in the 20% to 30% range. Based on the modeling we're doing, I'd say that our decremental margins would be in a similar range on the downside, obviously, let's call it, low 20s to low 30s. And as you can imagine, there's a lot of moving parts there, right? So things like gross margin performance, mix, the size and timing of cost actions and quite a few number of other factors. But I think low 20s to low 30s would put you in the right range."
12,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,12,Operator,,,Your next question today comes from John Inch of Gordon Haskett.
13,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,13,John George Inch,Gordon Haskett Research Advisors,ANALYSTS,"And hopefully, Greg just has a cold."
14,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,14,Erik David Gershwind,"President, CEO & Director",EXECUTIVES,He is doing okay. Just...
15,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",QA,15,John George Inch,Gordon Haskett Research Advisors,ANALYSTS,"I understand, better to be safe than sorry. Can we maybe put a finer point around the magnitude of personal protective equipment, janitorial? What normally do these categories represent, Erik, in terms of the mix? And what are you actually seeing today? And I'm just trying to dovetail that with the fact that government, despite the surge in orders is still only 7% of the total revenues in the fiscal second quarter, kind of flat sequentially. Is there a way you could sort of size these buckets for us proportionally versus kind of what it normally is?"
