,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,0,Operator,,,[Operator Instructions] Our first question comes from the line of Tim Clarkson from Van Clemens Capital.
1,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,1,Timothy Clarkson,"Van Clemens & Co., Inc.",ANALYSTS,"Just some questions. I know that we're putting a little bit more emphasis on the compostable part of the business. And just some basic questions that are, I think, critical to understanding this. Can you explain the difference between compostable products and biodegradable products?"
2,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,2,Vineet R. Dalal,VP & Director of Global Market Development - Natur-Tec,EXECUTIVES,"Tim, this is Vineet. Yes. I'll take that. So biodegradable products are -- is a very general term. There's a lot of spurious products in the market, which use conventional plastics and they'll add additives to it and they'll call them oxo-degradable. Unfortunately, these kind of products are not considered biodegradable, especially in places like the State of California and there are rules, which prohibit the marketing of such mislabeled products. Our products or the products that Natur-Tec sells are certified compostable. And what that means is that in a composting environment, 100% of the product gets converted to -- is consumed by the microorganisms in the disposal environment as a food source and gets converted to CO2, water and biomass. So these are certified compostable by independent third-party labs."
3,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,3,Timothy Clarkson,"Van Clemens & Co., Inc.",ANALYSTS,Great. Now what are the characteristics that make Natur-Tec's compostable products superior to the competitions?
4,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,4,Vineet R. Dalal,VP & Director of Global Market Development - Natur-Tec,EXECUTIVES,"We -- the main advantage really is our products are stronger. We formulate them. We have extremely good understanding of the chemistry behind these materials, and we use that understanding to formula products that are stronger, cheaper and easier to process on conventional plastics processing equipment."
5,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,5,Timothy Clarkson,"Van Clemens & Co., Inc.",ANALYSTS,"Right. Now can you explain how that dynamic played into -- I know you mentioned this significant new opportunity you have for the company that makes cutlery, can you explain how that acted you getting that contract?"
6,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,6,Vineet R. Dalal,VP & Director of Global Market Development - Natur-Tec,EXECUTIVES,"So this is a large brand. They sell a lot of cutlery, single-use disposable cutlery in the U.S. market. They have been working with polylactic acid or PLA, which is one of the raw materials for over 5 years and they didn't have any success. They came to us. And we actually had a compound or a resin solution that actually would work in this situation. So we worked closely with one our conversion partners in Asia and developed a solution that met the rigorous performance requirements for this brand. And it's the unique understanding of the chemistry as well as the processing that allowed us to create a solution that met the performance tolerances for this specific brand."
7,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,7,Timothy Clarkson,"Van Clemens & Co., Inc.",ANALYSTS,I heard that the competition's products would get clogged in the machines?
8,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,8,Vineet R. Dalal,VP & Director of Global Market Development - Natur-Tec,EXECUTIVES,"Yes. Well, the competition's products, they would get warped or they wouldn't perform as well. They didn't have the heat resistance or the strength required for the application."
9,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,9,Timothy Clarkson,"Van Clemens & Co., Inc.",ANALYSTS,Right. Okay. Can you explain this -- the concept of having a close system in a cafeteria or fast food? And how that would work to divert commonly trashed organic waste into a compostable system?
10,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,10,Vineet R. Dalal,VP & Director of Global Market Development - Natur-Tec,EXECUTIVES,"So if you look at municipal solid waste streams pretty much in any city or state, about 50%, 55% of the municipal solid waste stream is what is called organic waste. There's food waste, yard waste, compostable paper. And typically, a lot of these municipalities and states have passed regulations, which prohibit the dumping of this organic waste into landfills. These have to be collected separately and sent to industrial composting facilities. And the reason for that is this organic waste actually in a landfill would generate methane and methane is 25x more dangerous as a greenhouse gas as compared to CO2. So what our compostable products do is they assist in the collection of this organic waste. And if you look at universities or school districts or large office campuses, they have cafeterias on site, and they will use our compostable cutlery. They'll use our compostable bags. They'll collect the food waste as well as the back-of-the-kitchen vegetable peels and other waste, and they'll divert all of that organic waste away from landfills to composting. And so that's what is called zero-waste systems, closed-loop systems, and that's where our compostable products really come in and help enable the implementation of these closed-loop initiatives."
11,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,11,Timothy Clarkson,"Van Clemens & Co., Inc.",ANALYSTS,"And would that work in fast food places, too?"
