,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,0,Operator,,,[Operator Instructions] First question comes from Rodrigo Echagaray with Scotiabank.
1,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,1,Rodrigo Echagaray,"Scotiabank Global Banking and Markets, Research Division",ANALYSTS,"Congrats, Michael, on your new role. I would say, on my end, I'd like to perhaps hear your thoughts on what will it take for you to revisit store openings? And I guess, more specifically, is this related more to the temporary disruptions on COVID-19? Or is it more related to structural concerns with regards to the region where you operate in terms of the macro short to mid-term?"
2,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,2,Rodrigo Echagaray,"Scotiabank Global Banking and Markets, Research Division",ANALYSTS,And I guess the second question would be on the e-commerce front. What kind of growths are you seeing in the past few days? Any color that you can share with us would be great.
3,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,3,Sherry S. Bahrambeygui,CEO & Director,EXECUTIVES,"Rodrigo, so if I understand your first question was basically our decision to suspend some of the store openings or the club openings, and you wanted a little color about -- around that, correct?"
4,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,4,Rodrigo Echagaray,"Scotiabank Global Banking and Markets, Research Division",ANALYSTS,"Yes, I mean I guess, how are you thinking about that? I mean I guess I'm trying to get a sense on -- are we perhaps being obviously responsible and cautious for obvious reasons. But once disruptions cease and everything goes back to ""normal"", then are we looking at those store openings being back on the pipeline quickly? Or is it something that it will take a few months until you feel comfortable putting those back in the pipeline?"
5,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,5,Sherry S. Bahrambeygui,CEO & Director,EXECUTIVES,"Well, let me put it to you this way. Before the pandemic, we were completely on track for those openings. So it wasn't anything structural or in terms of the market themselves that led us to decide not to do it. It was the pandemic. And then of course, the resulting impact of the pandemic can and may have on these markets going forward, which is really the part that is the big unknown for all of us at this point."
6,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,6,Sherry S. Bahrambeygui,CEO & Director,EXECUTIVES,"So with that kind of a variable at play, the best answer I can give you is that we're just monitoring it."
7,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,7,Sherry S. Bahrambeygui,CEO & Director,EXECUTIVES,"We're trying to get the best information we can and assess what the impact on our markets are, and then at the appropriate time we will move forward. So as of now, it seems that the most prudent thing to do in the face of this kind of unexpected event was to suspend that and to preserve capital and focus on delivering our best performance for our members with the clubs that we have in the markets where we exist."
8,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,8,Rodrigo Echagaray,"Scotiabank Global Banking and Markets, Research Division",ANALYSTS,Got it.
9,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,9,Sherry S. Bahrambeygui,CEO & Director,EXECUTIVES,"Your second question related to e-commerce growth. E-commerce, it's hard to quantify. Again, this is all happening so quickly. I can tell you anecdotally that the response we're getting, we track social media now and we're much more connected to our members digitally. We're seeing the response and the reaction to having more online presence, the fact that our members can go now online and see our products, order them, pay for them, at least in our first location so far. And that's all been extremely favorable."
10,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,10,Sherry S. Bahrambeygui,CEO & Director,EXECUTIVES,"Now it's about building up quickly, ramping up the operational side to be able to support the demand. So I can't quantify for you what the demand is, but you can sort of assume that when people don't want to leave their home or if they do leave their home, they don't want to spend a lot of time being exposed to other people who might be carrying the virus. There's a real demand for e-commerce, and there's a real demand for all of the types of shopping that you can do that minimizes physical interaction with other people. And that's what we're focused on, and that's what we've been expediting and making great progress on in a very short period of time."
11,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,11,Rodrigo Echagaray,"Scotiabank Global Banking and Markets, Research Division",ANALYSTS,"And so I guess, can you maybe share if all the stores or an x percentage of the stores have now the ability to -- for customers to shop online and maybe do click and collect, how many stores are we looking at that are capable of doing this?"
12,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,12,Sherry S. Bahrambeygui,CEO & Director,EXECUTIVES,"Well, okay, if you look at the capabilities, the first step is to make sure that all the inventory that's available in the clubs is visible online. So having the online catalog that shows a description, the price, the -- whether or not the product is available, that now exists in all of our countries. So that's a development that's happened since this pandemic was announced."
13,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,13,Sherry S. Bahrambeygui,CEO & Director,EXECUTIVES,"Then you add on that the ability to -- once you have that information, it opens the doors to the alternative ways of shopping. One is the ability to e-mail or through phone conversations, contact a PriceSmart employee and be able to get an order or order something to be picked up or delivered. That's what we're calling assisted shopping. That's happening throughout a number of our clubs at this time."
14,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,14,Sherry S. Bahrambeygui,CEO & Director,EXECUTIVES,"The most advanced right now is the click and collect, which is -- I'm sorry, the Click and Go, which is in -- we launched it in Costa Rica, in our Santa Ana club, and that's been going extremely well. And we have a very aggressive rollout plan to all of our other markets in a matter of weeks. So we started with one, make sure we got the kinks out and we're doing it right and set up the protocol so that we can efficiently roll this out throughout the rest of the company."
15,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,15,Rodrigo Echagaray,"Scotiabank Global Banking and Markets, Research Division",ANALYSTS,"That sounds like you guys have really stepped it up in the last few weeks, which makes a lot of sense. And on the delivery, if I can just maybe double-click on that for a second. I think you're..."
16,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,16,Sherry S. Bahrambeygui,CEO & Director,EXECUTIVES,"Okay. You're -- just so you know officially you're on question number four, but it's okay, go ahead."
