,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Pure Cycle Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,0,Operator,,,[Operator Instructions] Our first question comes from [ Elliot Knight ] of [ Knight Advisors ].
1,"Pure Cycle Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,1,,,,You haven't said anything on the call about the commercial. You've got 160 acres that you highlight there. Could you tell us what your plans are there and what the time table -- what timetable do you anticipate?
2,"Pure Cycle Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,2,Mark W. Harding,"President, CEO & Director",EXECUTIVES,"Great question. So while I'm very excited about the residential component of that, and that's kind of where a lot of my attention has been occupied just solidifying those contracts with the builders. You're right, we have a very large commercial component to this property. And commercial usually lags on our commercial piece but not really to the point where we have found the right opportunity yet. A lot of the interest, I would say, 70% of the calls and the serious calls on it have been people that want to put it under contract and then they want to market to somebody who's actually going to develop. And we have the flexibility to be able to go from our position to a direct user rather than having an intermediary in there, not that we're going to be building it or not that we think that we have for -- significant value independent of somebody that would say, I want to buy 5 acres and then I want to bring a deal to Walmart or to Kroger. Certainly, those are the opportunities to do that. And if they have that type of structure, that's where we are interested."
3,"Pure Cycle Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,3,Mark W. Harding,"President, CEO & Director",EXECUTIVES,"We look at commercial where it has opportunities for both retail and commercial. So you'll have a lot of employment base. It'll have a lot of product offerings where you can get -- you'll have the typical Walmarts, Targets, big-box stores, Home Depots, the fast casuals, on the restaurant side, sort of a mixed use of really all different types of retail and commercial uses out there. And so we're looking at kind of the right model. And each time we kind of configure our land plan, we're looking at some of the demographics that we have on that and what those demographics can bring to the type of retail or commercial player that's there. But I would say that still -- if I scale this on saying, on a 1 to 10, where I've got people building, 10 would be, I've got people building commercial installations out there and 1 being somebody made a call to us on it. I'd say we're at a 3, 4 range on that. So I think we're still pretty early on that. I would expect that to pick up probably in the next 18 months as we get closer to the 500 homes that are under -- that are occupied, and we get a lot more traffic out at Sky Ranch where they can kind of monitor rooftops and fences counts out there for getting a lifetime or getting a fitness center out there or getting a would so that we are participating more in the end value of that, not necessarily building the value on it, but participating more on the end value by just being patient with it."
4,"Pure Cycle Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,4,Mark W. Harding,"President, CEO & Director",EXECUTIVES,"So we're there now. How far do they have to drive to a supermarket, to a Home Depot, to a theater?"
5,"Pure Cycle Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,5,Mark W. Harding,"President, CEO & Director",EXECUTIVES,"So it will be -- it's almost triangulated, and it's almost about 10 miles in 3 different directions. There'll be 10 miles to the west, or I'll call it, 8 miles to the west, 10 miles to the south and 11 miles to the east to find those types of installations. So we're very well located on that. And really, there's not much opportunity on land other than ours because they don't have the interchange that would give you that accessibility and that kind of the transportation network to the site itself."
6,"Pure Cycle Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,6,Unknown Analyst,,ANALYSTS,Which makes our commercial all the more attractive.
7,"Pure Cycle Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,7,Mark W. Harding,"President, CEO & Director",EXECUTIVES,"It does. And it has several things. I mean, one, you do benefit a lot in the value of commercial real estate. And we also benefit from the value of a commercial water user out of that. So we see value not only in the land. We see value in taps. We see value in selling water. But then there's a tremendous value here in Colorado for reimbursables. And I know I've talked about that in the past. But when you take a look at how Colorado is incentivized, our commercial real estate generates 4x the equivalent AV that a residential AV has. And so it does allow us to really capitalize on our full reimbursables. And we did do a bond offering. I talked about that in our last call, which really encompassed about 35% of the reimbursables that we accrued for the first phase, but that was valuing all of that residential. So when you look at it, we'll have -- we should have surplus revenue when you add in the commercial component. So that will become a very important component for us to help realize and help monetize some of those accrued reimbursables."
8,"Pure Cycle Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,8,Operator,,,[Operator Instructions] Our next question comes from Bill Miller with J.M. Hartwell.
9,"Pure Cycle Corporation, Q2 2020 Earnings Call, Apr 07, 2020",QA,9,William Miller;JM Hartwell LP;Principal/Portfolio Manager,,ANALYSTS,"Things sounds they're going really well. If you looked out 3 years, let's say, I want to know how -- what percentage of your revenue at that time will be recurring. And not the tap sales or land sales or whatever. But what percentage will be recurring at that point?"
