,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",QA,0,Operator,,,[Operator Instructions] And we have our first question from John McNulty with BMO Capital.
1,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",QA,1,John Patrick McNulty,BMO Capital Markets Equity Research,ANALYSTS,"So I guess the first one would just be on the revenue outlook. So the commentary around April and May, looking down 15% to 20%. Look, it's a tough market to try to forecast now. But like looking at some of Rusty's commentary on each of the divisions, it doesn't sound like it's kind of trending quite as bad as maybe that guidance would necessarily indicate. So I guess, where are the puts and takes there? And I guess when you think about the 4 segments, where you see kind of the biggest pressures when you're looking at that 15% to 20% down versus maybe where there may be some bright spots? How should we be thinking about that?"
2,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",QA,2,Frank C. Sullivan,"Chairman, President & CEO",EXECUTIVES,"Sure. So first of all, it doesn't behoove anybody to do forecasting with an optimistic outlook. And so I think our assumptions of April and May being down 15% to 20% had been done appropriately with a negative conservative cast. But it's literally hard to tell from day-to-day. We will have spikes in some of our Construction Products businesses over a couple day period because of order flow that looks really good, and then you'll see some slowdowns. The things that are pretty certain will be the negative impact of multi-week shutdowns. Most of this is outside of the United States, probably a little less than half of our manufacturing facilities in Europe are closed."
3,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",QA,3,Frank C. Sullivan,"Chairman, President & CEO",EXECUTIVES,"And I won't get into all the details, but it's an interesting mix. We had a plant in Norway closed that's now reopened. Interestingly, our primary plant in Italy is now reopened. But we have plants in the U.K. and various parts of the continent that are closed by government mandate for a period of weeks. We are also closed in our 2 major plants in India and almost every manufacturing facility in Latin and South America and in South Africa. There's a few other locations, but they're so small as to be inconsequential."
4,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",QA,4,Frank C. Sullivan,"Chairman, President & CEO",EXECUTIVES,"As Rusty said, when you add that all up on an annualized basis, it's about 6% of our revenue. So it's not big. And the impact of reopening will determine whether we're at the bottom end of that range and the top end of that range. I think the good news for us is we're not yet seeing the underlying demand disruption that exists in some industries. Obviously, the hospitality industry has challenges. But even the auto assembly industry has got some challenges now that -- around the demand side that will be which is oil and gas and across our Performance Coatings Group, that's a little more than $200 million of annualized revenue. And so our expectation is in the coming quarters and year, that's an area that will be under pressure. Hopefully, that's responsive to your question."
5,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",QA,5,John Patrick McNulty,BMO Capital Markets Equity Research,ANALYSTS,"Yes. No, that's definitely helpful. And then I guess maybe shifting gears a little bit to the MAP to Growth cost-cutting programs. I guess, can you give us some clarity? Look, you had Wave 1 that was -- you were going to get the full year benefit this year kind of coming in. Wave 2, you were going to get a decent chunk, and then there was going to be Wave 3 for next year as it would roll. And I guess can you give us an update as to where you are in those buckets? And what things are kind of already in the bag? And what percent may be actually kind of pushed off at this point? Is there a way to think about that?"
6,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",QA,6,Frank C. Sullivan,"Chairman, President & CEO",EXECUTIVES,"Sure. And so I can tell you, from my perspective, and I don't mean this to be tried. Obviously, this coronavirus pandemic is horribly impactful to everybody. But as it relates to MAP to Growth, there's a plus and a minus. The minus is, as you can see in this quarter and subsequent quarters before this, the things that we have planned, the things that we are executing are working. We had talked about working capital improvements and then quickly realized that they would come later in the cycle. You're seeing those now. And so it's a little bit disappointing that a MAP to Growth program that in its execution and positive impact is being disrupted."
7,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",QA,7,Frank C. Sullivan,"Chairman, President & CEO",EXECUTIVES,"On the other hand, there are a number of instances where I think the timing of certain things were lucky, and this is one of those. Our cash conversion cycle is stronger than it's ever been. And we have effected close to 2/3 of what we wanted to do in MAP to Growth across every -- certainly across manufacturing and the procurement process by centralizing our purchasing globally. Probably less than 2/3 in the G&A area because the last bigger piece of that will come once the ERP implementations are completed. So the areas that are most disrupted is getting the continuous improvement disciplines into our medium and smaller plants. And also completing the ERP implementations that we had set to complete over the next 12 to 15 months. And those will be put off because they require, in some instances, a physical presence. But the gains that we have made have been solidified and will continue to benefit us. And it's been a really good program that was accelerating."
8,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",QA,8,Frank C. Sullivan,"Chairman, President & CEO",EXECUTIVES,"Rusty provided details of March. March is a repeat of what we've been showing quarter after quarter. But obviously, that will be -- it's our anticipation that that will be meaningfully disrupted in April and May."
9,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",QA,9,Frank C. Sullivan,"Chairman, President & CEO",EXECUTIVES,"The last comment that I will make is, if you believe what you read and you believe what you see on the ground, it does appear as if April and May will be the most negatively impacted period, 60-day period, as it relates to government-mandated shutdown and business disruptions. And it will be interesting to see as we get into the summer months, both globally and then in the United States, state by state, how the reopening of the economy happens, both in terms of sectors and speed."
