,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,0,Operator,,,[Operator Instructions] And we do have a question. It comes from the line of Marc Silk.
1,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,1,Marc Silk,Silk Investment Advisers,ANALYSTS,"Mr. Richardson, you've mentioned cash management, the capital expenditures, cash, a few times. I've seen your cash go from $60 million a few years ago down to $43.9 million. I brought this up before, and I think now with what's going on in the world, I think it makes sense that -- I think your salary is excessive. I think the right thing to do, even if you cut your salary in half, it's still a very healthy salary. And I think you got to do the right thing and show an example that you're sacrificing just like everybody else in the company."
2,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,2,Marc Silk,Silk Investment Advisers,ANALYSTS,"So I'd like to hear that comment because the last time we talked about this, you said you haven't paid yourself in a long time, but sounds to me like the last few years between that and dividends, you've been doing very well. It's very hard for me to add to my position when you're using this as a piggy bank. So I would like you to comment on that because I think other shareholders feel the same way. So thank you for taking my call, and good luck."
3,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,3,Marc Silk,Silk Investment Advisers,ANALYSTS,"Thanks, Marc. Well, we certainly appreciate your opinion. Now what we have done during this period of time, and we're doing it again is the incentives for the executive team have been cut dramatically, and that's continued. So even though as a total gross number, it looks to be quite large to you, I understand it's far less than what we've been paid in the past. So we'll take your comment under consideration."
4,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,4,Marc Silk,Silk Investment Advisers,ANALYSTS,"And on the buyback, you're going to hold off for now, correct? Because I think having cash is very important."
5,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,5,Edward J. Richardson,"CEO, COO, President & Chairman",EXECUTIVES,That is correct. We are not going to buy any more stock back at this juncture.
6,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,6,Operator,,,Your next question comes from the line of Harry Sauers.
7,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,7,Harry Sauers;Sauers Value Partners;Analyst,,ANALYSTS,"Well, first off, congratulations on a quarterly profit. I was a bit concerned for some time there, and that brings me a little bit of hope as a shareholder here as well as your continued commitment to the quarterly dividend. As you discussed with Marc, I mean, your stock is trading at these ridiculously depressed levels, but I understand that, of course, having cash is important. How do you expect that cash is going to be used in light of this situation, say, if it were to continue on for another year?"
8,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,8,Edward J. Richardson,"CEO, COO, President & Chairman",EXECUTIVES,"Well, I don't think any of us really have an idea of what's going to happen with the coronavirus issue. And at this juncture, we want to take sort of a wait and see and be prepared. I think as we do better with the tube, the CT Tube manufacturing, our under absorption continues to go down and the cost, frankly, of the tube goes down, so the margins will go up. And I believe in the near term, if we get back to normal, that we'll go cash flow neutral, and that would be a wonderful situation to have. But at the moment, we're going to take a wait-and-see attitude."
9,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,9,Harry Sauers;Sauers Value Partners;Analyst,,ANALYSTS,"Definitely, as a shareholder, I agree with you. That would be a wonderful situation to see. I pulled up some statistics this morning that suggested that the average CEO of an electronics manufacturing company earns a bit over $200,000 in salary. This is from the Bureau of Labor statistics. What makes you, Mr. Richardson, worth nearly 4x that, plus performance bonuses?"
10,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,10,Edward J. Richardson,"CEO, COO, President & Chairman",EXECUTIVES,"Well, again, the amount of salary that I've taken and -- has been pretty much common now since the company has gone public years ago. As I mentioned, currently, we're taking cash incentive reductions, so I appreciate your opinion on it. It's been a fact of life with the company, and I don't see it changing in the future, even."
11,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,11,Harry Sauers;Sauers Value Partners;Analyst,,ANALYSTS,"Well, I didn't offer an opinion there. I asked what makes you worth it."
12,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,12,Edward J. Richardson,"CEO, COO, President & Chairman",EXECUTIVES,"I guess, 50 years' experience in the business, which doesn't exist anywhere else in the tube business."
13,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,13,Harry Sauers;Sauers Value Partners;Analyst,,ANALYSTS,"Interesting. So regarding your Canvys business segment, what does the operating profit or loss look like?"
14,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,14,Edward J. Richardson,"CEO, COO, President & Chairman",EXECUTIVES,"Jens, do you want to address that?"
15,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,15,Jens Ruppert,Executive VP & GM of Canvys,EXECUTIVES,"Yes. Hello, this is Jens here. I mean I think we shared the numbers in the -- during the call, right? So we are making an operating contribution, and we are growing the business year-over-year since several years now. So I think it's a very positive business development right now."
16,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,16,Harry Sauers;Sauers Value Partners;Analyst,,ANALYSTS,"I'm having a bit of trouble here seeing the synergy of Canvys with your other business lines of PMT and healthcare, I guess, aside from the integration of healthcare displays. And to be quite frank with you, the canvys.com website, it looks like it was made in 2003 and not updated since. Don't you think that a larger business with better business synergies and more ability to inject cash into growing Canvys might be a better fit?"
17,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,17,Jens Ruppert,Executive VP & GM of Canvys,EXECUTIVES,"So I'll leave this up to Ed to answer, but thanks for making me aware of the website. We are actually working on our website right now and refreshing it and making it nicer and appearing more like the healthcare and the rest of the company. So I think many years back before I was hired actually -- sorry?"
18,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",QA,18,Harry Sauers;Sauers Value Partners;Analyst,,ANALYSTS,"I said that's a relief. Thank you, I'm glad to hear that."
