,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,0,Operator,,,[Operator Instructions] Our first question comes from the line of Blayne Curtis with Barclays.
1,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,1,Blayne Peter Curtis,"Barclays Bank PLC, Research Division",ANALYSTS,"Obviously, the backdrop here, I think most companies are lowering numbers, you had some good results. I'm curious, kind of a couple of things on that front. One, if you can just talk about where you saw shortages, if there's any quantification on kind of how much that impact was. And then I'm kind of just curious as you're looking forward here, you kind of have 2 opposing factors. Seems like you probably would benefit from some work from home, which could be a near-term boost. But then obviously, you have a big consumer business in Brazil. And I am no expert on COVID exposures in Brazil, but I think most people assume that's going to get worse. So I was just kind of curious how you're handicapping that?"
2,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,2,Ajay B. Shah,"Chairman, CEO & President",EXECUTIVES,"As you know, Blayne, Jack and I are in different places. So we will try to give you a coordinated response. I will start, and Jack can fill in. To come back to your question about -- let me start at the end with respect to Brazil. So Brazil has, by the way, many of the same restrictions in place today as we do in most of the United States. So in other words, we have stay-at-home restrictions as well as retail and travel are significantly limited. And so effectively, what you have is most of our staff are working from home, except for manufacturing, which is not possible to do from home. We are seeing some of our customers have slowdowns and shutdowns for temporary, maybe because they had a case of positive of COVID. And so it is an uneven environment and less predictable. But as you pointed out, some of the benefits we are seeing are from the -- particularly the PC and the server market, PC laptop server, not as much in the mobile phone market."
3,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,3,Ajay B. Shah,"Chairman, CEO & President",EXECUTIVES,"The mobile phone market, at least for now, we can see production levels are down, and that was, to some degree, driven by component shortages. But now I think we are going to see a different effect, which is factories are also slowing down because of shutdowns and some temporary situations at certain customers, not all customers. So it is a fluid situation. But we've been obviously looking at our backlog and what we've shipped already. And as a result, we're pretty comfortable with where we are in terms of our Q3 estimates. And obviously, we have backlog by this stage for much of what we're talking about. Barring some significant incidents, which causes us to shut down operations or something like that, we're pretty confident in our estimates."
4,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,4,Ajay B. Shah,"Chairman, CEO & President",EXECUTIVES,"Now to come back to the beginning of your question, which is shortages from China, which was a little earlier in the quarter, we had shortages and they rippled through all the way to the supply chain. Mostly, what we buy in China is our circuit boards and passives. But Jack, you might care to elaborate further on that."
5,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,5,Jack A. Pacheco,"Executive VP, COO & CFO",EXECUTIVES,"Sure. Real quick, Blayne, to also -- some of our customers had a component shortage, if you're going that way with the question. Seems like even in Brazil, when Ajay mentioned that we didn't ship some mobile memory because of component shortages, it was our customers who couldn't get parts, not us. So the phone guys couldn't get enough parts to build phones so they shut down for a little bit during the quarter. As far as us, we didn't really have an issue of getting our parts, but we had customers who couldn't get some of their parts out of China. And then we had the Chinese contract manufacturers shut down for 5 weeks or so in the quarter. So yes, there was a minimal impact to us in the quarter, but it wasn't anything dramatic in our Q2."
6,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,6,Jack A. Pacheco,"Executive VP, COO & CFO",EXECUTIVES,"And just one last one, if you could just -- the gross margin improvement into May, what's driving that?"
7,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,7,Jack A. Pacheco,"Executive VP, COO & CFO",EXECUTIVES,"Sure. I mean a lot of it is that Specialty Compute, which is the highest gross margin segment of the business, is going to -- projected to have a better quarter in Q3. Remember, in Q2, we talked about the governments that have got pushed. So that got pushed into Q3. And so the performance there will improve the margin somewhat in the quarter."
8,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,8,Operator,,,Our next question comes from Raji Gill with Needham & Company.
9,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,9,Rajvindra S. Gill,"Needham & Company, LLC, Research Division",ANALYSTS,"A question on the memory market. My understanding is that the lead times have kind of stretched out for memory and both for DRAM and NAND, and we're starting to see increased pricing in Flash and DRAM. Wondering if you could kind of comment on your thoughts on that dynamic that you're seeing in the market and how that's kind of bleeding into your business?"
10,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,10,Jack A. Pacheco,"Executive VP, COO & CFO",EXECUTIVES,"Sure. I could start and maybe Ajay can come in and finish a little bit. Yes, we're seeing -- we are definitely seeing DRAM lead time stretch out. We've seen those get out to 12, 15 weeks. We're seeing Flash, still longer, especially in caps and resistors. So we're kind of back to a situation now where customers are placing orders earlier to get their parts, which is helpful to us. And Ajay mentioned earlier we have a backlog for most of our business during the quarter. And so we're getting more backlog again from customers as they have to order farther out to make sure that they get their parts. So far, it's not hurting us from a revenue or margin standpoint. It gives a little bit better visibility."
11,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,11,Rajvindra S. Gill,"Needham & Company, LLC, Research Division",ANALYSTS,"Okay. Got it. And you talked about some of the end markets, oil and gas being weaker, offset by network storage, telecom. You kind of lumped PC and mobile together at like 34%. It seems to me that there could be some issues in mobile given the production problems. Wondering if you could kind of break out the and storage. I'm just trying to see what the -- to pinpoint the exposure."
12,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,12,Jack A. Pacheco,"Executive VP, COO & CFO",EXECUTIVES,"Sure. So most of the mobile and PC, all -- pretty much all of that's in Brazil. The only place we really play in the consumer markets are in Brazil. So that's really all Brazil exposure. So it's not a worldwide kind of phenomenon there. And so there, you're probably still looking at -- 2/3 of that is probably mobile, 1/3 of that would be PCs."
13,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,13,Rajvindra S. Gill,"Needham & Company, LLC, Research Division",ANALYSTS,Okay. And in terms of just the weakening the real. So you talked about putting FX contracts to try to minimize your AP payments. But you have not seen the impact yet on actual end demand. So I'm just wondering what would -- when would you see that? And would it be just obviously in just lower sell- through for these phones?
14,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,14,Ajay B. Shah,"Chairman, CEO & President",EXECUTIVES,"Yes. I mean we should see it in our -- we should see it from our customers, right? We would start getting lower forecast from the cell phone guys in Brazil, say, the Lenovo and LG that their 6 months forecast for us will start to decrease if their sell-through was going down. And so far, we haven't seen that yet in Brazil."
15,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,15,Ajay B. Shah,"Chairman, CEO & President",EXECUTIVES,"As you might imagine, Raji, this is a point that we're particularly focused on because we can see the effects of a 20% change in the exchange rate on the end price of the product. And to top it all off, you have significant slowdowns in retail, right? And there are quite a few phones sold through retail. So meanwhile, online is, even in Brazil, growing much faster. And so if we sound like we're not able to give you an extremely clear answer, it's because we are not in that we -- the forecasts we're getting, as recently as this week, are continuing to show pretty -- not showing any significant drop-off. I mean there's changes, but not significant. What we are seeing are the effects of factories shutting down for a week, 2 weeks because of issues with infections."
16,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,16,Operator,,,Our next question comes from Sidney Ho with Deutsche Bank.
17,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,17,Shek Ming Ho,"Deutsche Bank AG, Research Division",ANALYSTS,"A couple of them, I -- for the Specialty Computing business, I wonder if you can double-click on that and give us some color what portion of that business you consider as stable and what is more like GDP-driven that may get impacted in the macro environment we're in, particularly interested in your view on some of the government projects. And kind of related to that, Ajay, you talked about increasing -- you're seeing an increasing potential from the 3 acquisitions. Maybe can you get into a little more color what those potential could be."
18,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,18,Ajay B. Shah,"Chairman, CEO & President",EXECUTIVES,"Sure, Sidney, thank you. I'll start, and maybe Jack can add to it. The -- starting with the sectors, we have a fair amount of business, as you noted, with government and government labs and different government agencies. And we don't see any drop-off in activity there. If anything, the spending has increased, as you've noted in the press, I'm sure. We do have a fair amount of business with financial services, with -- mostly from an analytics point of view with medical, particularly analytics and trials and that business seems all right. We have a fair amount of business with social media, and that business seems pretty well all right. We have some business in that entire segment related to telecom. And so far, that's good. We have some business related to industrial, and frankly, it's a small segment, but we could see a little bit of push out in the industrial segment. And as you -- as I think I noted in my comments, we have some business related to oil and gas. And that oil and gas business, frankly, it's kind of -- I'm speculating when I say we expect it to get weaker because we have not seen it get weaker yet. But maybe that's because they're all working from home and haven't yet got to the point where they've decided to relook at their CapEx. So I'm speculating. I don't really know. I'm guessing that one would expect the oil and gas-related large installations to be weaker going forward. Much as our business today, it doesn't seem to be showing that."
19,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,19,Ajay B. Shah,"Chairman, CEO & President",EXECUTIVES,"And finally, we have, in our wireless computing area, some consumer-related exposure, which is actually doing extremely strongly. And then we have some enterprise related, which we are not quite sure how it's going to pan out. But when we combine all that and take into account the seasonality of that business, at least in our third quarter and from what we can see going forward, we have a pretty strong position and not a lot of weak ones."
