,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,0,Operator,,,"[Operator Instructions] At this time, I will -- as we wait and poll for questions, go through some of the early written questions that are -- have been submitted. Actually, we are going to take the questions first from Matt Hewitt with Craig-Hallum. [Operator Instructions]"
1,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,1,Matthew Gregory Hewitt,"Craig-Hallum Capital Group LLC, Research Division",ANALYSTS,"And thank you for providing some details on the coronavirus. Maybe just to dig in on that a little bit more and I realize that this is an ever-evolving situation. But as you're talking to your clients and you're seeing news that some of them are maybe pushing out some of their trial starts or continuations of trials. What is the feedback that you're getting from them? Are they waiting for 30 days and then they're going to get back to you? Are they saying, you know what, we're just going to push the trial start date from maybe instead of May 1, we're going to push it to June 1. Just any incremental color on what you're hearing from the clients would be helpful."
2,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,2,Shawn M. O'Connor,Chief Executive Officer,EXECUTIVES,"Yes, Matt, I appreciate the question. And obviously, everyone in most all regards is looking for that date certain that the trends turns downward that certainty or visibility to return to normalcy will take place. And unfortunately, no one has that crystal ball. And so discussions with clients, they're influx. They're evaluating, they're reallocating resources. You see the focus on COVID-related development opportunities that are being pursued, there's a lot of movement in that direction. Existing plans where other therapeutic areas and developments are being held to, but being cautious right now, they are not pointing to -- we're going to defer this from April 1 start to June 1 start, is we're going to defer it from our plans at April 1 start without a date identified going forward."
3,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,3,Shawn M. O'Connor,Chief Executive Officer,EXECUTIVES,"I think we're all operating in an environment in which we'd be able to plan better if we knew when the curve bends downward and that uncertainty just keeps us all in a wait-and-see mode. And I think that's the characteristic of the term that we get from clients. It's a little bit wait and see how things evolve here over the coming days, weeks and hopefully not too many months."
4,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,4,Matthew Gregory Hewitt,"Craig-Hallum Capital Group LLC, Research Division",ANALYSTS,"Understood. And then regarding the Lixoft acquisition, congratulations, looks like a great fit, and you even touched on some of the potentially cross-selling opportunities. How quickly, especially given the current environment, how quickly do you anticipate being able to integrate that business and see some of the benefits from the cross-selling?"
5,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,5,Shawn M. O'Connor,Chief Executive Officer,EXECUTIVES,"I mean we're getting -- certainly, these things do take some time, but we've been planning in anticipation of the announcement that we've made last week. And so that number of efforts, plans, engagement points between the new organization and are starting to take hold in the coming months, I think the plans, both in terms of sales and marketing as well as product development will begin to take shape. I think that there are areas where there is a population of consulting opportunities that are out there, all subject to the same COVID issues that we've addressed already here."
6,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,6,Shawn M. O'Connor,Chief Executive Officer,EXECUTIVES,"But I think in that regard, there's a flow of business that was waiting for someone to catch it. And now with our consulting resources, we should be able to pick up the ball there relatively quickly. So I think things will move very quickly in this regard. It's a product space that isn't -- is adjacent to us, familiar to us. Our clients are the same. And so our ability to consolidate sales and marketing efforts should go very smooth and very quickly."
7,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,7,Matthew Gregory Hewitt,"Craig-Hallum Capital Group LLC, Research Division",ANALYSTS,"Okay. And then maybe one last one for me and I'll hop back in the queue. Regarding the new regulatory strategies team, maybe a little more color there as far as how should we be thinking about the size of those contracts, the duration, how -- what is that pipeline looking like? I realize it's early days, but is there a pipeline that's building? And when do you anticipate signing the first contract?"
8,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,8,Shawn M. O'Connor,Chief Executive Officer,EXECUTIVES,"Sure. It's exciting. Sandra has been on board maybe a month now. And we've reached out into the marketplace and we've got, a, we get immediate positive response. She's well-known, well-regarded in the pharma community and got a lot of accolades back from the marketplace in terms of great to hear that she's joined the organization, a lot of excitement around that."
9,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,9,Shawn M. O'Connor,Chief Executive Officer,EXECUTIVES,"Yes, it's -- very quickly, it generated a number of leads that we are managing through. Right now, the types of projects and I guess I'd describe sort of 2 scenarios: one, opportunities that are regulatory advisory projects in and of themselves, meaning that's the point of the project and the service. And then secondly, in the breadth of the consulting offerings, the projects that we do, including in those projects, some allotment of a time. And use of Sandra's advice in effecting other projects, our mainstream projects, if you will, to get that regulatory advice and color and expertise that Sandra brings to the table. So she will fit into or drive the stand-alone new projects as well as contribute and add to the flow of existing consulting projects that we perform."
10,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,10,Shawn M. O'Connor,Chief Executive Officer,EXECUTIVES,"Thank you. At this time, we will walk through some of the written questions. The first question has come from Howard Halpern. You stated the acquisition of Lixoft will add approximately $3.5 million to the revenues. Given the continued lockdown in Europe, is that still attainable? And how does the margin profile? And over time, what is the plan to integrate it into the general consulting services?"
11,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",QA,11,Shawn M. O'Connor,Chief Executive Officer,EXECUTIVES,"Okay. Let me get to the first point in terms of revenue expectations, what we disclosed was that they closed the calendar year 2019 with $3.4 million in revenue. That means that they enter the calendar year traditionally enjoy that the vast majority, 90-plus percent of the $3.4 million should renew and recur into the calendar year '20 with our fiscal year of August year-end, we get in terms of mismatches in terms of the time frame so I understand, but the point is, that their base business, which is recurring revenue is at $3.5 million level. And so expectations are pretty high that we should be able to continue that into our fiscal year '21."
