,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,0,Operator,,,[Operator Instructions] Our first question or comment comes from the line of Eric Coldwell from Baird.
1,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,1,Eric White Coldwell,"Robert W. Baird & Co. Incorporated, Research Division",ANALYSTS,"During a crisis or a downturn, it's historically not been unusual for pre-commercial biotechs to tap the break, sometimes slam on the brakes as they preserve capital. I'm just curious, in the slides you show you made client concentration, which is helpful, but would you be able to parse out that client diversity a bit more maybe out of by number of accounts or specifically what portion of that business is actually pre- commercial biotechs?"
2,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,2,Alistair Macdonald,CEO & Director,EXECUTIVES,"Yes. Eric, it's Alistair. I hope you're doing well. I think in the accompanying slides, there's -- on Page 7, there's a breakout on the left-hand side that looks a little bit at that pre-revenue biotech exposure for clinical, which is under 10%. And then on the commercial side, we have some pre-commercial biotechs that we do consulting for medcomms and market access strategy, that kind of thing. So it's quite low. And I think that as we've evolved as an organization over the last couple of years, we've moved away from this exposure to that pre-revenue biotechs to a much more established biotechs and the large pharma, which helps in a situation like this to have that balanced portfolio of customers."
3,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,3,Eric White Coldwell,"Robert W. Baird & Co. Incorporated, Research Division",ANALYSTS,"Do you -- Alistair, do you share my concerns or views that perhaps that client base in this environment could be a bit riskier than large pharma? I mean, I've heard of both arguments during our channel checks in the last couple of weeks, but..."
4,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,4,Alistair Macdonald,CEO & Director,EXECUTIVES,"I think you can look at it couple of ways, right? So they're the people whose liquidity is going to be most critical. But they're also the section of customers, if you like, the group of customers where time is their enemy. So any delay to trials, any elongation of the trials, they have a certain amount of capital on the balance sheet that they're deploying into the execution of a trial, these delays don't help them in if this goes through Q2, Q3, creates 6-month additional execution time and they're currently running trials, they've got to find the capital to keep going for another 6 months. So I think that will cause some headwinds there. But what we've seen is, we're very cautious when we take on new customers in that sector to look at their liquidity and their ability to fund the trials all the way through. And I think we feel comfortable about the set that we work with, that we connect with are well capitalized, managing their work well. And we've been able to connect with them, have meaningful conversations with them about how we're trying to keep the trials running either through remote activity or pushing more recruitment into unaffected areas at this time. So yes, I think this -- you can look at that both ways. They are the people who might not place a trial at the moment because of liquidity issues and clarity on how long it's going to last. But again, these are the organizations where time is not their friend, and they've got that push to get back on with it as quickly as they can or continue going as much as they can."
5,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,5,Eric White Coldwell,"Robert W. Baird & Co. Incorporated, Research Division",ANALYSTS,"That's really helpful. If I could get one more quick one in to Jason. Jason, I realize in respect that you withdrew your guidance, but some companies have been able to offer either a framework or perhaps guardrails around the second quarter. Just to help narrow the range of estimates on The Street, perhaps provide some level setting for expectations without pressing you too hard on this, is there any chance we could get you to do the same?"
6,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,6,Jason M. Meggs,Chief Financial Officer,EXECUTIVES,"Yes. Yes. We're not going to provide the formal guidance as we mentioned there, but can talk a little bit about how we see the sequencing in our internal models. As mentioned in the prepared remarks, the second quarter is where we see the most significant revenue impact. That's also where we will have the highest sort of dollar value of savings. But it's just not -- the savings are taking a little bit of time to get moving here as we responded to the pandemic, so that -- the margin impact for the second quarter will also be the largest impact. And then as we come into quarter 3, the revenue starts to come back, and the savings are fully bedded in, including some of the permanent savings, we anticipate seeing margins tick up and be broadly in line with what we've seen in prior year quarter 3s. And then quarter 4 is always, every year, our largest margin quarter, and we don't expect there to be any different this year from that perspective. So -- and that's where we'll see the highest margin percentage."
7,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,7,Jason M. Meggs,Chief Financial Officer,EXECUTIVES,Our next question or comment comes from the line of David Windley from Jefferies.
8,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,8,David Howard Windley,"Jefferies LLC, Research Division",ANALYSTS,"Hope everybody is well. One of the things that I think stands out the most to me in some of your statistics here is your quantification of inaccessible sites, and that's a number that is quite a bit lower than your peers. So I wanted to understand more color around that, both in terms of kind of how you're defining access? And then are you using -- do you think you're using sites that are materially different than your peers? I'll stop there."
9,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,9,Alistair Macdonald,CEO & Director,EXECUTIVES,"Okay. Dave, good to hear from you. I think there's a few elements at play here. So we moved very quickly early in the whole kind of pandemic starting to move out of China and Asia. We moved very quickly. And I think Paul and his team did a tremendous job of starting to switch to remote monitoring, the fact that we have the capabilities and the technology to do it, the speed that we did it with and also the relationships we have with site. We've banded on about sites being a big part of our model and the relationships with sites for a long time. And I think that helps because we have that relationship. We have a good strong relationship with them. And I also think it's the therapies. So you've referenced the type of sites."
10,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,10,Alistair Macdonald,CEO & Director,EXECUTIVES,"I think it's driven by the therapies that we're working. So when we look at kind of the percentages of the essential treatments we work in, and what I mean by that, oncology, rare disease, orphan, the really complex CNS and gen med spaces, inflammation, immunology, et cetera, we have a really big load, really big kind of trial load in those really complicated spaces. And we're seeing those trial sites stay engaged, stay monitoring their patients very closely. Our ability to plug into the electronic health records because we did it early and maybe got ahead of the pack a little bit when we did that because of that early move. I think all those things combined help us stay in context, keep the sites engaged and keep them moving forward. I'll flip you over to Paul for some of the definitions around what we consider accessibility. The 10% is just where we can't get anything out of the site. I will tell you that. But let me pass you over to Paul, and Paul will give you a bit more detail on that site engagement from. So Paul?"
