,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"The Greenbrier Companies, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,0,Operator,,,[Operator Instructions] First question comes from Justin Long.
1,"The Greenbrier Companies, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,1,Justin Trennon Long,"Stephens Inc., Research Division",ANALYSTS,"Maybe to start just bigger picture on the industry and what you're anticipating from a railcar production standpoint, FTR has recently lowered their forecast for 2020 and 2021 to that kind of low to mid-20,000 unit range. I'm curious. As you think about kind of cutting back your capacity and some of the things you discussed in the prepared remarks, is that the type of build rate from an industry perspective that you're planning on? Or do you anticipate any upside or downside to that? And then also if you could just talk about cancellation risk in the backlog or deferral risk in the backlog. Curious if you've seen any of that play out in the last month or so."
2,"The Greenbrier Companies, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,2,Lorie L. Tekorius,President & COO,EXECUTIVES,"Sure. So I'll start out, and I'm sure that Bill will supplement. From an industry outlook perspective, FTR certainly has gone through several iterations of dropping expected deliveries in 2020 and 2021. Right now, with everything that's going on, I think it is really hard to say specifically what deliveries might look like the next couple of years. I think it certainly is reasonable that the numbers that they're projecting might be the numbers as you look across the years."
3,"The Greenbrier Companies, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,3,Lorie L. Tekorius,President & COO,EXECUTIVES,"Absolutely, there is upside. We've seen that historically in our markets where we can be predicting that the sky is falling, and then the next thing, something wonderful happens. That's one of the things that we believe our management team and our manufacturing group, in particular, is very good at is being responsive to when opportunities present themselves."
4,"The Greenbrier Companies, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,4,Lorie L. Tekorius,President & COO,EXECUTIVES,"Our commercial team is very focused on working closely with our customers and remaining flexible so that we can take advantage of those opportunities. So that's why you see us slowing production as opposed to stopping it all together. If we can continue it at a fairly slow rate, we think that gives us optionality."
5,"The Greenbrier Companies, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,5,Lorie L. Tekorius,President & COO,EXECUTIVES,"And then turning to your second question about risk in the backlog, we -- as we've poured through the backlog and looking at the different car types that we're building, and it is a broad variety of car types, at this point in time, we don't have anything that we're overly concerned about. But then again, how can you work in this point in time and not be overly concerned about something."
6,"The Greenbrier Companies, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,6,Lorie L. Tekorius,President & COO,EXECUTIVES,"I think we have a good history of working closely with our customers if there is an issue that they raise or a concern that we may need to modify car types or look at delivery timing. But again, at this point in time, we're feeling like our backlog is a very solid position and a good indicator of future activity."
7,"The Greenbrier Companies, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,7,William A. Furman,Chairman & CEO,EXECUTIVES,"The only thing I would add, and thank you for your question, is that, obviously, we've had a number of things occur. Lorie mentioned a few. But the oil market volatility is of concern, not only for the petrochemical and oil by rail business but -- and while Greenbrier doesn't have a strong sand concentration, many of our investors, institutional investors, only managed cars due. So we're very focused on that. But we're not seeing cancellations in the sense that you mean it. They're -- obviously, the qualitative aspects of the portfolio is another thing. But I think the kind of nimbleness our commercial team showed in this deal that was done to work with a customer to not only improve our backlog but improve our profitability and drive immediate cash flow is something that we'll try to do more of in the future. And we have great customers. We think things are going to -- on the back -- backlog is the strongest thing we've got plus the fact we can operate our factories under the essential service rules."
8,"The Greenbrier Companies, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,8,Justin Trennon Long,"Stephens Inc., Research Division",ANALYSTS,"Okay. That's really helpful. And then second question I had was on SG&A. I get the suspension of guidance totally understandable in this type of environment. But when you look at the things you can control and you think about some of the headcount reductions that you've seen, is there any clarity you can give us on what you're expecting for SG&A this year? What's getting baked into the comment that you may build that you expect to remain profitable?"
9,"The Greenbrier Companies, Inc., Q2 2020 Earnings Call, Apr 07, 2020",QA,9,Lorie L. Tekorius,President & COO,EXECUTIVES,"Lorie, you should address that. I think we want to be cautious about throwing numbers out there. As I said, we expect to be profitable. Manufacturing operations are particularly resilient. We do expect to have G&A instructions in all categories -- G&A reductions, I mean. It's not just going to be factory people. We already have had -- and I don't think -- I don't know what you would like to say about it, Lorie."
