,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"The Simply Good Foods Company, Q2 2020 Earnings Call, Apr 06, 2020",QA,0,Operator,,,[Operator Instructions] Our first question comes from Chris Growe with Stifel.
1,"The Simply Good Foods Company, Q2 2020 Earnings Call, Apr 06, 2020",QA,1,Christopher Robert Growe,"Stifel, Nicolaus & Company, Incorporated, Research Division",ANALYSTS,"Glad to hear you guys are healthy and hope it stays that way. I just thought I would ask you, first of all, as we think about this very loyal consumer base you have, just want to get a sense from you, Joe, if you can speak to it, I know it's very early, but how those kind of -- those consumers react in this environment."
2,"The Simply Good Foods Company, Q2 2020 Earnings Call, Apr 06, 2020",QA,2,Christopher Robert Growe,"Stifel, Nicolaus & Company, Incorporated, Research Division",ANALYSTS,"And then I'm just curious how you get a sense of that. Is it through e-commerce trends? Sounds like those were strong through March. I'd say that's probably ticking up a bit. You've seen more activities through your website. Is there panel data? Just to get a sense of how these consumers are reacting now, if you have any sense of that and then how you're going to track that."
3,"The Simply Good Foods Company, Q2 2020 Earnings Call, Apr 06, 2020",QA,3,Joseph E. Scalzo,"CEO, President & Director",EXECUTIVES,"Yes, Chris, good question. Again, very early, early stages of this. And I think right now, the big driver of this has been shopping behavior influence more than it's consumption behavior influence. So we have a pretty good view of what's going on from a shopping standpoint."
4,"The Simply Good Foods Company, Q2 2020 Earnings Call, Apr 06, 2020",QA,4,Joseph E. Scalzo,"CEO, President & Director",EXECUTIVES,"And as we said in our prepared comments, that March was really volatile. Through the early portion of March up to the weekend of the 20, 21st, we saw a significant spike in foot traffic and a significant uptick in our business in both our business as well as the category. The weekend of the 20th and 21st appear to be an inflection point in people's shopping behaviors, a dramatic falloff, double-digit falloff that has remained through -- that remained through the end of the month, and people's shopping patterns and going into stores."
5,"The Simply Good Foods Company, Q2 2020 Earnings Call, Apr 06, 2020",QA,5,Joseph E. Scalzo,"CEO, President & Director",EXECUTIVES,"We saw significant channel shifting. So e-commerce, online, pickup and delivery all accelerated. And then brick-and-mortar saw a significant falloff that's kind of remained until now. So most of it right now, I'd say, Chris, is shopping behavior driven more than it's consumption driven. And right now, we don't have a really good read on how the confinement is influencing how people consume the product."
6,"The Simply Good Foods Company, Q2 2020 Earnings Call, Apr 06, 2020",QA,6,Joseph E. Scalzo,"CEO, President & Director",EXECUTIVES,"I can give you my anecdotal experience. It's your home, the pantry is pretty close and I'm snacking more frequently. So I think from a snacking behavior, our category will do well once we get over some of the shopping behavior issues. I think obviously, the on-the-go aspect of this category is going to be a negative drag for us, offset somewhat by the snacking behavior increases."
7,"The Simply Good Foods Company, Q2 2020 Earnings Call, Apr 06, 2020",QA,7,Joseph E. Scalzo,"CEO, President & Director",EXECUTIVES,But really early innings at this point. We don't know a whole lot about consumption behavior. And our view of how we are thinking about guidance had much to do with uncertainty around shopping behavior and the decisions people are making when they go in the store.
8,"The Simply Good Foods Company, Q2 2020 Earnings Call, Apr 06, 2020",QA,8,Christopher Robert Growe,"Stifel, Nicolaus & Company, Incorporated, Research Division",ANALYSTS,"And presumably, in any given period, there are volatile weeks and it's obviously very unique, no question. I've heard anecdotally as well, you've seen a pickup in sales in early April here, SNAP benefits. And again, there's another reload, if you will, of pantry loading. So has that picked up a bit? Have you seen that of late in most recent days and the week or any sense of that yet?"
9,"The Simply Good Foods Company, Q2 2020 Earnings Call, Apr 06, 2020",QA,9,Joseph E. Scalzo,"CEO, President & Director",EXECUTIVES,"Yes. Last few days have been much better than the previous 2 weeks, yes."
10,"The Simply Good Foods Company, Q2 2020 Earnings Call, Apr 06, 2020",QA,10,Christopher Robert Growe,"Stifel, Nicolaus & Company, Incorporated, Research Division",ANALYSTS,"Okay. That's what I assume. It's going to be jumping around, yes."
