,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"WD-40 Company, Q2 2020 Earnings Call, Apr 09, 2020",QA,0,Operator,,,[Operator Instructions] Your first question comes from Linda Bolton-Weiser with D.A. Davidson.
1,"WD-40 Company, Q2 2020 Earnings Call, Apr 09, 2020",QA,1,Linda Ann Bolton-Weiser,"D.A. Davidson & Co., Research Division",ANALYSTS,"So I guess I was most struck by Steve's comment that March was similar to previous March results. So I guess you're kind of saying that sales were flattish, not significantly down. I find that hard to believe, given that we've had a suspension of almost all nonessential manufacturing in the United States, in other countries. So can you just kind of give us a little more color? And also, we've had a lot of investors ask us about a breakdown of your demand by end market. So like how much is automotive, how much would be high tech, manufacturing, different end-market demand. Do you think you could give a little color on all of that?"
2,"WD-40 Company, Q2 2020 Earnings Call, Apr 09, 2020",QA,2,Linda Ann Bolton-Weiser,"D.A. Davidson & Co., Research Division",ANALYSTS,"Thanks, Linda. We were pleased with being able to hold up in March. And I guess it does really reflect on our multiple trade channel, multiple country business strategy. As far as trade channels are concerned, I'll ask Steve just to give a high-level view of the key channels that we operate in."
3,"WD-40 Company, Q2 2020 Earnings Call, Apr 09, 2020",QA,3,Steven A. Brass,President & COO,EXECUTIVES,"Sure. Thanks, Garry. So as Garry said, I mean, one of the big advantages of WD-40 Company is that we are diversified both by trade channel and by geographies. So no one trade channel, customer or geography is -- we're not overly reliant. The biggest markets we operate in, our automotive, DIY hardware, e-commerce, as we mentioned on the call, is a fast-growing channel, both in terms of percentage growth and also dollar volume, so -- and an industry as well being the -- one of the big 4. And -- but the beauty is the diversification. And so no one of those trade channels has an overbearing weight on the overall revenues."
4,"WD-40 Company, Q2 2020 Earnings Call, Apr 09, 2020",QA,4,Linda Ann Bolton-Weiser,"D.A. Davidson & Co., Research Division",ANALYSTS,So do you expect -- I mean are you seeing anything in your end markets that indicate that because the decline in China was quite significant. So is it just the rest of the world is slower in seeing the impact in regarding COVID-19 in China?
5,"WD-40 Company, Q2 2020 Earnings Call, Apr 09, 2020",QA,5,Garry O. Ridge,Chairman & CEO,EXECUTIVES,"I can give you some color on that, Linda. The down -- what happened in China was due to a planned shipments that we had that were to go out to our customers straight after Chinese New Year. We had a substantial order book in place. And as is customary, China kind of waits till after Chinese New Year to renew themselves and to take on that inventory. And so if the COVID hadn't happened, we would have shipped those orders. So it wasn't an end user a demand issue, it was our inability to ship that caused the sudden downturn in China."
6,"WD-40 Company, Q2 2020 Earnings Call, Apr 09, 2020",QA,6,Garry O. Ridge,Chairman & CEO,EXECUTIVES,"China started the shutdown around January 17 and was outright through till well into February, and we didn't -- we weren't able to ship what we had. We are starting to ship those orders now. So that's why there's a difference between China. If you think about in the world right now, most of the dominant trade channels that we operate in are functioning, hardware, home improvement, grocery, club, mass merchant, those trade channels are operating, albeit at a different level. So people are buying. I drove past my local home improvement store this morning and the parking lot was 75% full. People are going there to buy a product, probably WD-40 as well. So there were 2 different things that went on between China and what's happening in the U.S."
7,"WD-40 Company, Q2 2020 Earnings Call, Apr 09, 2020",QA,7,Linda Ann Bolton-Weiser,"D.A. Davidson & Co., Research Division",ANALYSTS,Okay. That's a good explanation. So can you talk about just your innovation that you were planning to launch? I think it was you were talking about June or July? Are you going to delay that or are you still going to launch your major innovation?
8,"WD-40 Company, Q2 2020 Earnings Call, Apr 09, 2020",QA,8,Garry O. Ridge,Chairman & CEO,EXECUTIVES,"We are still going ahead. You're referring to Smart Straw 2 or Smart Straw next generation. The first market to launch that will be Canada in June. And we're also moving ahead with the continued conversion of our Specialist product range into the new blue and yellow, red top trade dress from our brand architecture. And we will continue to work on the rollout of Smart Straw next generation around the world. It will probably take us 18 months in total to get it out there as it was in the past, but no, we're full steam ahead."
9,"WD-40 Company, Q2 2020 Earnings Call, Apr 09, 2020",QA,9,Linda Ann Bolton-Weiser,"D.A. Davidson & Co., Research Division",ANALYSTS,"Okay. And then just finally, in terms of the gross margin, I guess relative to at least my estimate, it was kind of disappointing in the quarter. And you mentioned, I think mix issue was quite a big issue. It seems like in many quarters, mix seems to be an issue. And I'm just wondering, is the idea that you're continuing to shift people toward the Smart Straw and Specialist, which is a higher-margin product. Is that still occurring? And then if so, what are these -- I don't know, it seems like almost like a recurring issue with mix that impacts your gross margin?"
10,"WD-40 Company, Q2 2020 Earnings Call, Apr 09, 2020",QA,10,Linda Ann Bolton-Weiser,"D.A. Davidson & Co., Research Division",ANALYSTS,"Okay. I'll touch some of it -- and I'll give it to Jay, if I can. The mix issue in this quarter was the shortfall of sales in China. We have a higher gross margin in China. And because our sales fell into the gutter there completely, that was the issue. Jay, I'll pass on to you for the rest."
