,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,0,Operator,,,[Operator Instructions] And your first question will come from the line of Brian Peterson with Raymond James.
1,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,1,Alexander James Sklar,"Raymond James & Associates, Inc., Research Division",ANALYSTS,"This is Alex Sklar on for Brian. Marty, first one for you. This is in your prepared remarks, but can you just talk more about the resiliency of Workiva's platform and a work-from-anywhere environment? And with that, I think you talked about demand potentially picking up. Are you already seeing that in the current environment, catalyzing greater number of conversations or leads? And then I had a follow-up for Stuart."
2,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,2,Operator,,,Yes.
3,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,3,J. Stuart Miller,Executive VP & CFO,EXECUTIVES,"Your phone is muted, Marty."
4,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,4,Alexander James Sklar,"Raymond James & Associates, Inc., Research Division",ANALYSTS,Maybe I'll pass one for Stuart here while...
5,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,5,Alexander James Sklar,"Raymond James & Associates, Inc., Research Division",ANALYSTS,"Yes, sorry, Marty's phone was muted."
6,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,6,J. Stuart Miller,Executive VP & CFO,EXECUTIVES,"Yes, okay."
7,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,7,J. Stuart Miller,Executive VP & CFO,EXECUTIVES,Go ahead.
8,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,8,Alexander James Sklar,"Raymond James & Associates, Inc., Research Division",ANALYSTS,"All right. Well, I guess, just talk about the visibility on the backlog. The RPO growth this quarter, especially in light of the commentary you gave on the March late stage pipeline. Is there any reason from a Workiva standpoint that you wouldn't be able to implement or go live on any portion of that next 12-month balance? Understanding customers may ultimately push timing, but just curious on your own ability to meet all that backlog."
9,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,9,Alexander James Sklar,"Raymond James & Associates, Inc., Research Division",ANALYSTS,"No, I don't think there's any restriction from our perspective on that. Most of the onboarding we do or virtually all the onboarding we do is remote anyway. Did you hear me, sorry?"
10,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,10,Alexander James Sklar,"Raymond James & Associates, Inc., Research Division",ANALYSTS,"Yes, yes. And then did we lose Marty on the first question?"
11,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,11,J. Stuart Miller,Executive VP & CFO,EXECUTIVES,Yes. I think he's trying to dial back in.
12,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,12,J. Stuart Miller,Executive VP & CFO,EXECUTIVES,I'm sorry. Say that again?
13,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,13,Alexander James Sklar,"Raymond James & Associates, Inc., Research Division",ANALYSTS,"Okay. Well, maybe another one for you then, Stuart. On the backlog growth, it accelerated some even with the..."
14,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,14,Alexander James Sklar,"Raymond James & Associates, Inc., Research Division",ANALYSTS,"Even with the commentary -- yes, the backlog growth accelerated on the full RPO, not just the next 12 months one, which is impressive, I think, given you're comping SBL last year. I just was curious if you'd call out any of your kind of 4 to 5 growth opportunities as having an outsized contribution?"
15,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,15,J. Stuart Miller,Executive VP & CFO,EXECUTIVES,"Yes. I would say -- just to remind you on the RPO side, some of the growth there is due to our signing 3- year deals with 1 year to pay, and so that's picking up the -- that's accelerating on the RPO side. But we did show good deal size growth in Q1."
16,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,16,Operator,,,Next question is from the line of Rob Oliver with Baird.
17,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,17,Matthew Steven Lemenager,"Robert W. Baird & Co. Incorporated, Research Division",ANALYSTS,"It's Matt Lemenager on for Rob. So the question was in the 30 -- I guess it would be the 32 deals that got pushed or, I guess, returned to the pipeline, was there any recurring message or theme there? I realize it was COVID-driven, but it wasn't people -- the discretionary spend for maybe around CFO suite or accounting suite being kind of pushed to the back burner as kind of near-term, other IT trends took priority. Or just kind of looking -- is there any theme or message that happened in those 32 deals that got pushed?"
18,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,18,J. Stuart Miller,Executive VP & CFO,EXECUTIVES,"Let me see if Marty is not -- still on, so I guess I'll place..."
19,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,19,Martin J. Vanderploeg,"President, CEO & Director",EXECUTIVES,Can you guys -- can anyone hear me now?
20,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,20,J. Stuart Miller,Executive VP & CFO,EXECUTIVES,"Yes, we can now, Marty. You want to take that one?"
21,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,21,Martin J. Vanderploeg,"President, CEO & Director",EXECUTIVES,"Yes. It was on the right line. They didn't have me connected, I'm sorry, because I could hear everything, and same number. Anyway, I apologize everybody."
22,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,22,Martin J. Vanderploeg,"President, CEO & Director",EXECUTIVES,"Back to the resiliency question, the -- in 2008, when we started the company, we were very much focused on cloud in the very early days, and we said we were always going to make a 100% web tool, web- and a cloud-based tool. And we've heard tremendous number of positive things from our customers doing this as they all move to work from home. I think some of them had already been doing it, but everyone was able to achieve what they needed to in terms of activities that they were actually doing in our product."
23,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,23,Martin J. Vanderploeg,"President, CEO & Director",EXECUTIVES,"In terms of seeing lead, it's too early to say. We really -- I can't say for sure, but we have seen some upticks in definitely inquiries when a lot of our competitors have software that's on-prem. So it's early days, but again, I really believe that this will help us in the long run."
24,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,24,Martin J. Vanderploeg,"President, CEO & Director",EXECUTIVES,"Marty, you want to comment on the Matt's specific question about the 32 logo -- the 32 deals that went back into the pipeline? Did you do you see any theme there on why they went back, why they were postponed?"
25,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",QA,25,Martin J. Vanderploeg,"President, CEO & Director",EXECUTIVES,"Well, I would say this. The end of March, everybody was in a state of shock, and everyone was trying to understand how it was going to affect their cash flow. There were 2 categories to those from my perspective. One was industries that saw an immediate drop in cash flow like airlines or even credit card companies, things like that, obviously, hospitality, those were put on hold indefinitely, and we have several of those occur."
