,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",Presentation,0,Operator,,,"Good day, and welcome to the 1-800-FLOWERS.COM, Inc. Q3 2020 Results Conference Call. [Operator Instructions]"
1,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",Presentation,1,Operator,,,"Please note, this event is being recorded. I would now like to turn the conference over to Joseph Pititto, Senior Vice President of Investor Relations. Please go ahead."
2,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",Presentation,2,Joseph D. Pititto,Senior Vice President of Investor Relations & Corporate Communications,EXECUTIVES,"Thanks, Sarah. Good morning, and thank you for joining us today to discuss 1-800-FLOWERS.COM, Inc's. financial results for our fiscal 2020 3rd quarter. For those of you who have not received a copy of our press release issued earlier this morning, the release can be accessed at the Investor Relations section of our corporate website at 1800flowersinc.com. Our call today will begin with brief formal remarks, and then we will open the call to your questions. Presenting today will be Chris McCann, CEO; and Bill Shea, CFO."
3,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",Presentation,3,Joseph D. Pititto,Senior Vice President of Investor Relations & Corporate Communications,EXECUTIVES,"Before we begin, I need to remind everyone that some of the statements that we will make today may be forward-looking within the meaning of the Private Securities Litigation Reform Act of 1995. These statements involve risks and uncertainties that could cause actual results to differ materially from those expressed or implied in the applicable statements. For a detailed description of these risks and uncertainties, please refer to our press release issued this morning as well as our SEC filings, including the company's annual report on Form 10-K and quarterly reports on Form 10-Q."
4,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",Presentation,4,Joseph D. Pititto,Senior Vice President of Investor Relations & Corporate Communications,EXECUTIVES,"In addition, this morning, we will discuss certain supplemental financial measures that were not prepared in accordance with generally accepted accounting principles. Reconciliations of these non-GAAP financial measures to the most directly comparable GAAP measures can be found in the tables accompanying the company's press release issued this morning. The company expressly disclaims any intent or obligation to update any of the forward-looking statements made in today's call, any recordings of today's call, the press release issued earlier today or in any of its SEC filings, except as may be otherwise stated by the company."
5,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",Presentation,5,Joseph D. Pititto,Senior Vice President of Investor Relations & Corporate Communications,EXECUTIVES,I'll now turn the call over to Chris McCann.
6,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",Presentation,6,Christopher G. McCann,"CEO, President & Director",EXECUTIVES,"Good morning, everyone. Thank you all for joining us this morning. I'd like to begin, certainly, by of this COVID-19 crisis. I'm sure that many of us on today's call know someone or even have family or friends who have suffered during this pandemic. And our hearts go out to them, especially to those who have lost loved ones. I'd also like to recognize all those people working on the front lines of this crisis. They are truly, truly our heroes."
7,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",Presentation,7,Christopher G. McCann,"CEO, President & Director",EXECUTIVES,"As you'll hear in our remarks today, we had a strong third quarter. Even with the challenges we face as the COVID crisis set in that impacted the last few weeks of the period. I'm proud of the way our team moved quickly to respond to these challenges from moving rapidly and enhancing the health and safety of our associates to managing our supply chain. As we enter the fiscal fourth quarter, what we have seen here is a very strong e-commerce demand, especially in our Gourmet Food brands. This demand acceleration has continued through the month of April, and you'll hear more about this later in the call this morning."
8,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",Presentation,8,Christopher G. McCann,"CEO, President & Director",EXECUTIVES,"In terms of the fiscal third quarter, our solid results for the period reflect a continuation of the momentum that we've seen throughout the year. The double-digit consolidated revenue growth we achieved was driven by increases across all 3 of our business segments. In our Gourmet Food and Gift Baskets segment, a strong 27% growth reflected continuing positive trends in everyday gifting occasions and increased self-consumption as well as contributions from Shari's Berries, which continues to perform ahead of expectations."
9,"1-800-FLOWERS.COM, Inc., Q3 2020 Earnings Call, Apr 30, 2020",Presentation,9,Christopher G. McCann,"CEO, President & Director",EXECUTIVES,"Importantly, we saw our customer demand grow throughout the quarter and accelerate into our current fiscal fourth quarter in Harry & David, Cheryl's Cookies, The Popcorn Factory, 1-800-Baskets, Wolferman's Bakery, Stockyards, and Simply Chocolate, as customers have increasingly turned to our extensive and highly relevant product offerings to help them stay connected and express their feelings during this difficult time."
