,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,0,Operator,,,"Good day, ladies and gentlemen, and welcome to 2U Incorporated 2020 First Quarter Earnings Call. [Operator Instructions] I would now like to turn the call over to Mr. Ed Goodwin, Senior Vice President, Investor Relations. Sir, the floor is yours."
1,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,1,Ed Goodwin,Vice President of Investor Relations,EXECUTIVES,"Thank you, operator. Good afternoon, everyone, and welcome to 2U's First Quarter 2020 Earnings Conference Call. On the call, we have Chip Paucek, our CEO; and Paul Lalljie, our CFO. Following Chip and Paul's prepared remarks, we will take questions. This call is being simultaneously webcast on our website where you can find our press release which was issued after the close of the market as well as our earnings presentation. The webcast replay of this call will be available for the next 90 days on our company website under the Investor Relations link. Statements made on this call include forward-looking statements regarding our financial and operating results, the impact of the COVID-19 pandemic, new educational offerings, student and university demand and other matters. These statements are subject to risks, uncertainties and assumptions. Any forward-looking statements made on this call reflect our analysis of today -- as of today, and we have no plans or duty to update them. Please refer to the earnings press release and the risk factors described in the documents we filed with the Securities and Exchange Commission, including our annual report on Form 10-K for the year ended December 31, 2019, and our most recent quarterly report on Form 10-Q for information on risks, uncertainties and assumptions that may cause actual results to differ materially from those set forth in such statements. In addition, during today's call, we will discuss non-GAAP financial measures, which we believe are useful as supplemental measures of 2U's performance. These non-GAAP measures should be considered in addition to and not as a substitute for or in isolation from GAAP results. You can find additional disclosures regarding these non- GAAP measures, including reconciliations with comparable GAAP results in our earnings press release and on the Investor Relations page of our website. With that, let me hand it over to Chip."
2,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,2,Christopher J. Paucek,"Co-Founder, CEO & Director",EXECUTIVES,"Thanks, Ed. I hope everyone's been safe, healthy and holding up as well as possible during these unprecedented times. It's clearly challenging for all companies to deal with the COVID-19 pandemic and 2U is no exception. With that said, we're in the midst of witnessing a paradigm-shifting moment for online education, from which I believe 2U will emerge substantially stronger."
3,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,3,Christopher J. Paucek,"Co-Founder, CEO & Director",EXECUTIVES,"In some ways, right now, we're at the epicenter of what higher education is dealing with. The last 4 weeks have been intense for the business. As COVID-19 was beginning here in the U.S., 2U had to decide whether to hold our Investor Day. We did it virtually and it went well. As the pandemic continued to unfold, we successfully completed a convertible debt offering. In the context of conducting an offering in this rapidly evolving and unpredictable environment, we provided strong preliminary first quarter results and withdrew guidance. Paul and his team has done a great job of adding liquidity to the balance sheet in a tricky capital markets environment, while providing a more robust capital structure and enhancing our financial flexibility. That's a big win for all of our stakeholders."
4,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,4,Christopher J. Paucek,"Co-Founder, CEO & Director",EXECUTIVES,"Before going into more detail on our results and our business outlook, I want to reiterate our strategy and priorities. Even with significant disruptions across the globe, our strategy is unchanged. We partner with top-tier universities to build, deliver and support world-class digital education offerings that drive strong student outcomes. In light of the pandemic, our financial priorities are unwavering. We're focused on driving our market-leading position, accelerating the growth of the company and driving towards free cash flow and profitability."
5,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,5,Christopher J. Paucek,"Co-Founder, CEO & Director",EXECUTIVES,"On the rest of today's call, I'll address how our business performed in the first quarter. And I'll provide an overview of the trends we're beginning to see in our business that we expect to continue, followed with detail on some of the solutions we're offering to universities in response to the COVID-19 pandemic. I'll then turn it over to Paul, who will walk you through our results with more detail and commentary."
6,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,6,Christopher J. Paucek,"Co-Founder, CEO & Director",EXECUTIVES,"Starting with our first quarter results, which were quite strong. Revenue grew 44% year-over-year to $175.5 million, driven by performance in the Graduate segment and the addition of Trilogy, which we acquired in May 2019. The Grad segment exceeded our expectations, with revenue growth of 14%, a 2- point acceleration over last quarter. As we described to you at Investor Day, this was again driven by the scaling of programs launched over the last 3 years. On the bottom line, we came in significantly above our expectations for adjusted EBITDA with a loss of $4.3 million for the quarter. This outperformance was driven by cost controls implemented last year as well as lower costs due to our teams working remotely. This quarter, our teams delivered strong top line growth, accelerating organic growth with strong bottom line performance, only to be outdone by unlevered free cash flow usage that is the lowest it's been for 6 quarters."
7,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,7,Christopher J. Paucek,"Co-Founder, CEO & Director",EXECUTIVES,"We performed exceptionally well. Our results for January and February exceeded our expectations. And due to the flexibility and variability of our expense base and the resilience of our business model, we were well situated to adjust as social distancing was enacted."
8,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,8,Christopher J. Paucek,"Co-Founder, CEO & Director",EXECUTIVES,"The impact of the COVID-19 pandemic on higher education and our business has continued to evolve week-by-week, even day-by-day. And we like where we sit today, our business is fully operational. Our programs are online. And each day brings greater clarity through the data we're seeing throughout the entire business. Given most recent movements in the business, our confidence is increasing in the longer term impact. As part of this, I want to present some early conclusions as to what we think this impact might be."
9,"2U, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,9,Christopher J. Paucek,"Co-Founder, CEO & Director",EXECUTIVES,"First, we all witnessed how COVID-19 created an urgent need for every university to move their programs online. This rush to remote learning happened almost overnight. A lot has changed in the last 6 weeks. And today, we know much more based on the daily conversations we've been having with partners across our portfolio. We now believe that this forced transition online will substantially increase the demand from universities for our core product offerings and new solutions. The need to deliver truly high-quality online programs, not just remote live lectures at a time when universities are facing unprecedented financial constraints and challenges, makes our traditional full investment model even more compelling and valuable. We can call this already. We could not say that 3 or 4 weeks ago, but it's now apparent. We expect to announce our next undergraduate program shortly."
