,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,0,Operator,,,"Ladies and gentlemen, thank you for standing by. Welcome to the 3M First Quarter Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded Tuesday, April 28, 2020. I would now like to turn the call over to Bruce Jermeland, Vice President of Investor Relations at 3M."
1,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,1,Bruce Jermeland,Vice President of Investor Relations,EXECUTIVES,"Thank you, and good morning, everyone. Welcome to our first quarter 2020 business review. With me today are Mike Roman, 3M's Chief Executive Officer; and Nick Gangestad, our Chief Financial Officer."
2,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,2,Bruce Jermeland,Vice President of Investor Relations,EXECUTIVES,"Mike and Nick will make some formal comments, and then we'll take your questions. Please note that today's earnings release and slide presentation accompanying this call are posted on our Investor Relations website at 3M.com, under the heading Quarterly Earnings. Please turn to Slide 2."
3,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,3,Bruce Jermeland,Vice President of Investor Relations,EXECUTIVES,"Before we begin, let me remind you of the dates for our upcoming 2020 quarterly earnings conference calls, which will be held on July 28 and October 27. Also, please note, given the uncertainty related to the COVID-19 pandemic, we have not set a date for an investor meeting later this year. Please take a moment to read the forward-looking statement on Slide 3."
4,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,4,Bruce Jermeland,Vice President of Investor Relations,EXECUTIVES,"During today's conference call, we will make certain predictive statements that reflect our current views about 3M's future performance and financial results. These statements are based on certain assumptions and expectations of future events that are subject to risks and uncertainties. Item 1A of our most recent Form 10-K lists some of the most important risk factors that could cause actual results to differ from our predictions."
5,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,5,Bruce Jermeland,Vice President of Investor Relations,EXECUTIVES,"Finally, throughout today's presentation, we will be making references to certain non-GAAP financial measures. Reconciliations of the non-GAAP measures can be found in the attachments to today's press release. Please note, we have provided segment and total company adjusted EBITDA reconciliations for reference in today's press release attachments as part of our non-GAAP measures. Please turn to Slide 4, and I'll hand it off to Mike. Mike?"
6,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,6,Michael F. Roman,"CEO, President & Chairman",EXECUTIVES,"Thank you, Bruce. Good morning, everyone. I hope you and your families are safe, and I thank you for joining us. Let me also take this opportunity to say how much we appreciate and admire everything our share this sentiment with our employees. In this unprecedented time, I could not be more proud of how you have stepped up to help protect those on the front lines of this crisis. I would like to also recognize those 3Mers in our manufacturing and distribution sites, who, in these most challenging circumstances, continue to work around the clock to accelerate production of respirators and other critical supplies. I thank all of our people for your tireless efforts and your incredible work."
7,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,7,Michael F. Roman,"CEO, President & Chairman",EXECUTIVES,"At 3M, we have a unique and critical responsibility in pandemic preparedness and response. Our response throughout COVID-19 has been guided by our purpose as an enterprise and shaped by these 3 principles: first, an uncompromising commitment to the safety of our employees; second, fighting the pandemic with urgency from all angles, including everything we're doing to help protect health care workers and first responders; and third, maintaining business continuity, executing actions to deliver for our customers and shareholders and to lead out of the economic slowdown. Please turn to Slide 5."
8,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,8,Michael F. Roman,"CEO, President & Chairman",EXECUTIVES,"In January, we mobilized 3M's crisis action team to coordinate our response to COVID-19. This team meets daily to ensure we are addressing our highest priorities, which, as I mentioned, starts with protecting the safety and well-being of our people."
9,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,9,Michael F. Roman,"CEO, President & Chairman",EXECUTIVES,"Our learnings from China, which was impacted by the virus first, helped guide our actions worldwide and made a significant difference in our ability to rapidly prepare and respond. We moved quickly to implement remote work where possible across the enterprise. And today, approximately half of our employees are working from home, including myself."
10,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,10,Michael F. Roman,"CEO, President & Chairman",EXECUTIVES,"In our plants and other facilities where remote work isn't feasible, we have instituted robust safety protocols. These include stringent cleaning and medical screening, along with staggering shifts and reorganizing how we work to increase social distancing."
11,"3M Company, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,11,Michael F. Roman,"CEO, President & Chairman",EXECUTIVES,"COVID-19 is impacting all of us, both professionally and personally. But for some, it's much more serious than others. For 3Mers personally affected by the virus, we have implemented pandemic support policies to help protect their pay and benefits and allow them to take care of themselves and their families. The situation is changing daily, sometimes hourly, and we will continue to assess the safety of our people and facilities to ensure their well-being and comply with government directives. Please turn to Slide 6."
