,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",Presentation,0,Operator,,,"Ladies and gentlemen, thank you for standing by. Welcome, and thank you for joining the 4basebio Full Year Results 2019 Conference Call. [Operator Instructions]"
1,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",Presentation,1,Operator,,,"I would now like to turn the conference over to Dr. Heikki Lanckriet, our CEO. Please go ahead."
2,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",Presentation,2,Heikki Lanckriet,"CEO, Chief Scientific Officer & Member of Management Board",EXECUTIVES,"Thank you, and welcome, everyone to annual results conference call. I think you'll agree with me that 2019 had been another significant year in the development of the company. And David and I are keen to update you on the achievement from last year and give you some more insights into our objectives for 2020 and beyond. But before we start, there's a few bits of housekeeping that we have to get through."
3,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",Presentation,3,Heikki Lanckriet,"CEO, Chief Scientific Officer & Member of Management Board",EXECUTIVES,"So firstly, an apology, because due to the problem restrictions in place as a result of the COVID-19 outbreak, we've become very reliant on the strength of our home Internet connection. So I do apologize should there be the crackle and interruption on the line. And finally, we also have to share with you our usual disclaimer, which most of you are probably very familiar with by now. I'll just give you a second to read through that."
4,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",Presentation,4,Heikki Lanckriet,"CEO, Chief Scientific Officer & Member of Management Board",EXECUTIVES,"So today, we'll start off with a good overview and our strategy going forward, after which, I'll hand over to David, who will take you through the financial review and guidance for 2020. And once that's all completed, we'll be taking your questions, should there be any."
5,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",Presentation,5,Heikki Lanckriet,"CEO, Chief Scientific Officer & Member of Management Board",EXECUTIVES,"So first of all, moving on now to Slide 6. The conference call from today is really mainly centered around the performance of the company being Expedeon in 2019. But as you're all aware, we've, of course, sold the majority of our business to Abcam through a transaction that closed on the 1st of January 2020. And whilst, I think, you will all be pleased to see that we've met our guidance in terms of revenue and profit objectives for 2019, to some extent, this has little bearing on the future success of the company. So I'm sure that you're probably more keen to find out about our strategies and objectives going forward. And another factor, we've included a few slides further down to provide a little more complex line, the value creation objectives and the growth opportunities that we've identified and that we are now actively pursuing."
6,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",Presentation,6,Heikki Lanckriet,"CEO, Chief Scientific Officer & Member of Management Board",EXECUTIVES,"So the next slide really is more of an overview slide and a bit of a [indiscernible] slide, so to kind of go back and show you where Expedeon AG was coming from. So Expedeon AG was created through the Buy and Build strategy, a process which we started in July 2016 through the merger of then SYGNIS AG and Expedeon Holdings Limited. Now this merged entity then became the platform for us to build a profitable, high-growth and technology-driven life science stores and reagent company from, and that was achieved through 2 things really: on the one hand, through strong internal development, our products and our technologies and our customer base; but alongside that, through acquisition and then the integration -- subsequent integration of those assets into a comprehensive, vertically integrated entity, which became Expedeon AG."
7,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",Presentation,7,Heikki Lanckriet,"CEO, Chief Scientific Officer & Member of Management Board",EXECUTIVES,"So if on the next slide, we look at the shape of Expedeon AG in 2019. We can see a company that was really focused on supplying life science researches with innovation and technology to advance their workflows. And to do that, the company had really pulled that technology into a range of products and services and offer that to both academia and industry. But more and more as well, we could see that translate into a company becoming very successful at integrating technologies into third-party products and solutions that the kind of OEM business that we used to refer to, and that, I think, has become a very strong growth segment for the company."
8,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",Presentation,8,Heikki Lanckriet,"CEO, Chief Scientific Officer & Member of Management Board",EXECUTIVES,"Now within that market -- within that life sciences research market, the company's expertise and technologies, focused mainly on premium space, highly growth, highly buoyant space and our ability to facilitate multitude of assays and enable multi-mix analysis to our customer base is really the driving force there for our growth prospects."
9,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",Presentation,9,Heikki Lanckriet,"CEO, Chief Scientific Officer & Member of Management Board",EXECUTIVES,"Now geographically, the heart of the company at that time was then based in the U.K. And we came into the U.K. with over half of our staff locally live at that site in Cambridge. And that, of course, is complemented with several operations across the world, as mentioned there to be our San Diego office in the U.S. and our site in Adelaide, Australia, the site in Spain, in Madrid and then the minor operations in Germany and in Asia."
10,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",Presentation,10,Heikki Lanckriet,"CEO, Chief Scientific Officer & Member of Management Board",EXECUTIVES,"Now on the next slide, Slide 9, you can see some of the achievements of 2019. And 2019 has been a year of many, many achievements, right? So on this slide, we've only highlighted a few more notable commercial deals and product launches that we felt were very prominent in terms of driving prospects and revenue growth. But obviously, the disposal of the proteomics and the immunology business in late 2019 to Abcam definitely takes the center stage here. And in the next few slides, I will put a little more context around that transaction and what it means for the organization going forward."
11,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",Presentation,11,Heikki Lanckriet,"CEO, Chief Scientific Officer & Member of Management Board",EXECUTIVES,"So as a reminder, on Slide 10 is an overview of the group's legal structure prior to the Abcam transaction. So you can see there at the top, we have Expedeon AG, which is the listed vehicle on the Frankfurt Exchange. And that entity was the 100% owner of Expedeon Holdings Limited in the U.K. and Expedeon Biosciences GmbH and Expedeon Verwaltungs GmbH in Germany and Expedeon S.L.U. in Spain. Now underneath that, it's been the home and has turned earned a lot of trading entities. In particular, Expedeon Limited, the driving force, as I mentioned, behind the organization in Cambridge and Expedeon, Inc. in the U.S. as well as the trading entities, TGR Biosciences in Australia and Expedeon Asia and Singapore. And you know the Biosciences Limited is still a legal entity, but in all -- honestly, that was [indiscernible] company as that had been fully integrated in Expedeon Limited following its acquisition in May 2017."
12,"4basebio AG, 2019 Earnings Call, Apr 24, 2020",Presentation,12,Heikki Lanckriet,"CEO, Chief Scientific Officer & Member of Management Board",EXECUTIVES,"Now on the next slide, you can see what happened in the last part of the Abcam transaction and which entities were transferred to Abcam and which legal entities we retained. And you'll note that if you look at Expedeon Holdings Limited, whilst the ownership of Expedeon Holdings Limited was transferred to Abcam, Expedeon Inc. that was actually sitting underneath that, have been transferred out of Expedeon Holdings Limited into Expedeon AG. Additionally, you can see another new company appear in there. A new legal entity in the U.K. was created to really facilitate and enable the employment of the full U.K.- based employees that weren't transferring to Abcam, and those employees were basically myself and David, our personal assistants and then a good accountant who is a very valuable to group operations."
