,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,0,Brian Roger Mattingley,,,"Good morning, everybody. Thank you all for taking the time to join us today for 888's 2019 Full Year Results Presentation. I'm Brian Mattingley, Nonexecutive Chairman of 888. I am joined on the line today by the company's CEO, Itai Pazner; and by Aviad Kobrine, 888's CFO. We are sorry not to be able to present to you all in person this morning. But we look forward to seeing you all again soon."
1,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,1,Brian Roger Mattingley,,,"Before I hand over to Itai, who will kick off today's presentation, I just want to share a few brief thoughts on the company's progress in 2019 and briefly touch upon the current coronavirus situation, which I'm sure is at the front of everybody's mind."
2,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,2,Brian Roger Mattingley,,,"During 2019, the group delivered what I believe to be a very resilient set of financial results. We faced higher gaming duties in a number of jurisdiction as well as challenging conditions in some of our global markets. Despite this, we returned the business to double-digit top line growth on a like-for-like basis. In addition, during the year, we welcomed a record number of new customers, more than 1 million, to the 888's global brands. This is a significant achievement for the group and a very important indicator for our prospects."
3,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,3,Brian Roger Mattingley,,,"As announced in our trading update on the 24th of March 2020, the board is monitoring closely the spread of COVID-19, and our priority is the well-being of our global team and our loyal customers. While it remains unclear how this fast-moving situation will evolve over the coming weeks and months and it's incredibly difficult to predict how customers will react throughout this period of unprecedented uncertainty, as a purely online operator, we've diversified brand across product verticals and a strong balance sheet, the Board is confident in 888's ability to manage these challenges."
4,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,4,Brian Roger Mattingley,,,"I'm also pleased to report that the trading trends reported in our update on the 24th of March have continuated throughout today's date. With the spread of COVID-19 resulting in people spending increased time at home and perhaps experiencing heightened levels of stress and anxiety, the Board is in no doubt that 888's commitment to preventing gambling harm related -- harm is even more important than ever. We are proactively communicating with our customers to provide information on safer gaming, and where necessary, offer support. In addition, we have introduced new alerts to our unique safe gambling software system, the Observer, to ensure any areas of concern are immediately flagged to our highly trained customer care team."
5,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,5,Brian Roger Mattingley,,,"We know that this is a testing time for our colleagues and customers around the world. However, we have an outstanding team and an adaptable, resilient and vigilant culture. We have the infrastructure and mindset to continue to progress our plans despite having to adapt the way we work in the short term."
6,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,6,Brian Roger Mattingley,,,"On behalf of the Board, I would like to take this opportunity to thank our global teams for their amazing resilience during this challenging time."
7,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,7,Brian Roger Mattingley,,,"And on that, I would like to now pass you over to Itai."
8,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,8,Itai Pazner,CEO & Director,EXECUTIVES,"Okay. Good morning, everyone, and thank you very much, Brian. So this is the first time we're reporting over our annual results over a conference call, and I can say this about many things that are happening in our organization these days that is work under a new -- in a new reality and adapting very fast in this reality. But conscious of our time today and the conference call format, we'll try to keep the presentation shorter than usual and, obviously, allow questions at the end."
9,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,9,Itai Pazner,CEO & Director,EXECUTIVES,"So I'll start with a quick operating update under COVID-19 on Slide #4. So the operation has been working under COVID-19 and how -- I wanted to share how we're dealing with this new reality. We've been preparing ourselves operationally in the last several weeks to move the organization into a remote working mode according to local guidelines, and in some countries, even ahead of local government's requirements as our employees' health and personal safety are at our top priority."
10,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,10,Itai Pazner,CEO & Director,EXECUTIVES,"We have now shifted to almost 100% of the organization, working through remote access or work from home mode. And as you can see in this photo, and I'm sure that you're all experienced -- you're experiencing these yourself these days, this is what a big time of our managers and employees' days, working days, are looking like."
11,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,11,Itai Pazner,CEO & Director,EXECUTIVES,"We're trying to continue our project delivery on plan with minimal delays. However, we realize that working capacity is not 100% efficiency. We're putting emphasis on our major projects and doing our best to deliver them without delays."
12,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,12,Itai Pazner,CEO & Director,EXECUTIVES,"I was naturally worried about moving all of our workforce to remote working in such a short period of time. But I have been pleasantly surprised by how smooth the transition was made and by the level of quality of the delivery in these times. I think this is due to the commitment and the spirit of the 888 employees, which is what we call the 8sters' spirit. And just like our employees, many of our customers are now at home, and their health and safety is also extremely important for us. As such, we are placing additional layers of monitoring, communications and actions around responsible gaming to make sure that they are playing within their means and not getting into additional and unnecessary financial stress during these times."
13,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,13,Itai Pazner,CEO & Director,EXECUTIVES,"Next slide, 5. Just to run quick through the highlights of 2019, which we'll obviously speak about in more detail in the presentation. So we had good progress on all of our strategic goals, which led to a double- digit growth on a constant currency basis. We feel that 2019 was a year of back-to-clear growth trend after a couple of years of reshaping our business under the new regulatory framework and requirements. Responsible gaming and compliance are key competitives of our business, and we believe that this is the way forward for a sustainable and responsible business growth model."
14,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,14,Itai Pazner,CEO & Director,EXECUTIVES,"We broke the $1 million FTD record in 2019, with a 22% FTD growth year-on-year, which is the fuel for future revenue growth coming into 2020. We continued our expansion into regulated Europe, successfully launching into Sweden and Portugal, and we are continuing to pursue our strategy of a well-diversified operator in terms of both markets and products that we work with. We continued our investment in product excellence, which underlines the growth of our casino and sports business."
15,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,15,Itai Pazner,CEO & Director,EXECUTIVES,"I'll now hand over to Aviad Kobrine, our CFO, to give a financial overview."
16,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,16,Aviad Kobrine,CFO & Director,EXECUTIVES,"Thank you very much, Itai, and good morning to all of you, wherever you are at."
17,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,17,Aviad Kobrine,CFO & Director,EXECUTIVES,"On Slide 7 and the financial highlights. We're pleased to report a record revenue of 10% at constant currency and 6% reported. This was led by 17% revenue increase in Casino and 19% in Sports, both at constant currency. Marketing ratio remained stable at 29%, but new customers increased 22%, to above 1 million for the first time, therefore, reflecting CPA reduced reflecting efficiencies. Our adjusted EBITDA before IFRS 16 was $86 million, it was impacted mostly by additional $26 million of gaming duties and $6 million of adverse FX movements. We have a strong balance sheet, with net cash at year-end of $27 million, and I can report that last Friday, the net cash position was $42 million."
18,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,18,Aviad Kobrine,CFO & Director,EXECUTIVES,"Despite these unprecedented times, given that we have not sought out government support in our strong balance sheet, the Board has declared a final dividend of $0.03 per share and $0.06 per share for the entire year, in line with our dividend payout policy."
19,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,19,Aviad Kobrine,CFO & Director,EXECUTIVES,"As we reported in our trading update on the 24th of March, we continue to trade profitably and generate cash with healthy current trading, a trend that continues to date. We do see significant decline in customer recruitment and revenue in our sports vertical, but the decline is offset in part by our other gaming verticals. Uncertainty remains high, and we must acknowledge potential risks ahead. The shortfall in first time depositors will have an increasing impact as the current situation persists, with slow recovery when we exit our current predicament."
20,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,20,Aviad Kobrine,CFO & Director,EXECUTIVES,"New advertising restrictions have been imposed in Sweden, in Spain and Portugal and other restrictions in Belgium and Sweden is continuing its steps. Consumer confidence and spending may deteriorate the longer time the current economic freeze continues."
21,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,21,Aviad Kobrine,CFO & Director,EXECUTIVES,"On Slide 8, group revenue. It shows a concise snapshot of our revenue by vertical. Casino, which represents 64% of revenue, continues its growth path followed by Sport, and I will cover Poker and Bingo in a few slides in a few minutes. Our B2B business went structural changes with the migration of Costa Bingo and AAPN from B2B into B2C and the migration of Cashcade, leaving it exposed to the weakness in the U.K. Bingo environment. B2B has started this year well and in line with our expectations."
22,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,22,Aviad Kobrine,CFO & Director,EXECUTIVES,"On Slide 9, group revenue. On this slide, we wanted to demonstrate that in 2019, we generated record revenue of $560 million or $580 million at constant currency. We have a resilient business, which delivered consistent revenue growth over many years, with CAGR of 15% since 2003."
23,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,23,Aviad Kobrine,CFO & Director,EXECUTIVES,"On Slide 10, on the left-hand side, you can see our revenue growth in 2019, and on the right-hand side, the same on a like-for-like basis. As you can see, our larger growth vertical Casino continued to perform well, both normally and on a like-for-like basis, with 26% increase in active and 31% increase in deposits."
24,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,24,Aviad Kobrine,CFO & Director,EXECUTIVES,"On Slide 11, you can see on the right-hand side, our strong customer acquisition trend. Sports, up 19%; Bingo, up 23%; Casino steadies up 43%. Customer recruitment in Poker was not far from the previous year, showing positive signs from the second half where Poker revenue was higher than the comparable period, with further positive trends showing clearly into 2020."
25,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,25,Aviad Kobrine,CFO & Director,EXECUTIVES,"Slide 12, our geographical segmentation. For this slide, I wanted to show that our geographic progress in regulated markets continue. And last year, a record 34% of group revenue was generated in regulated and tax markets. Importantly, revenue from regulated markets increased 22% at constant currency. Revenue from Italy, which now represents 9% of group, following a year of strong growth at 30% despite advertising restriction from the second half of last year. On the other hand, revenue from Germany declined sharply. It's represented 5.6% of revenue last year, ahead of regulatory changes, and there are quite a few heads."
26,"888 Holdings plc, 2019 Earnings Call, Apr 15, 2020",Presentation,26,Aviad Kobrine,CFO & Director,EXECUTIVES,"On Slide 13, Casino. Casino, which is our largest vertical, generated revenue of $359 million, or $371 million in constant currency. This was driven by all this platform, new content, AI-driven personalization engines and effective marketing execution, and Itai will elaborate further in a few minutes. This vertical tripled in size from 2009, delivering a CAGR of 12% per annum."
