,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,A. O. Smith Corporation - ShareholderAnalyst Call,Presentation,0,Operator,,,"Ladies and gentlemen, thank you for standing by, and welcome to the A. O. Smith Corporation Annual Meeting of Stockholders 2020 Conference Call. [Operator Instructions] Please be advised that today's conference is being recorded. I would now like to hand the conference over to your speaker today, Mr. Rajendra. Thank you. Please go ahead, sir."
1,A. O. Smith Corporation - ShareholderAnalyst Call,Presentation,1,Ajita G. Rajendra,Executive Chairman,EXECUTIVES,"Good morning, ladies and gentlemen. It is now 8:00 a.m. Central time and time to begin our meeting. Please note that the polls are open and will remain open until we announce that the polls are closing. I'm Ajita Rajendra, Executive Chairman of A. O. Smith Corporation, and I would like to welcome you to the A. O. Smith Annual Meeting of Stockholders. I will be serving as Chairman of this meeting. I'd like to start our meeting by introducing fellow Board member, Kevin Wheeler, the company's President and Chief Executive Officer; and the other members of our Board of Directors who are all joining us virtually today: Ronald D. Brown, William P. Gruebel, Dr. Ilham Kadri, Paul W. Jones, Bruce M. Smith, Mark D. Smith, Idelle K. Wolf, Gene C. Wulf. We have also invited our independent registered public accounting firm, Ernst & Young LLP, to join us virtually for this meeting. Brian Kennedy and [ Kerry Bodman ] are present and representing Ernst & Young LLP."
2,A. O. Smith Corporation - ShareholderAnalyst Call,Presentation,2,Ajita G. Rajendra,Executive Chairman,EXECUTIVES,"There are 4 items on the agenda requiring stockholder action at this meeting. There are no stockholder proposals for consideration. Jim Stern, Executive Vice President, General Counsel and Secretary, will serve as Secretary of the meeting. You may access a list of our stockholders during the meeting upon request by sending an e-mail to Jim now at jstern@aosmith.com."
3,A. O. Smith Corporation - ShareholderAnalyst Call,Presentation,3,James F. Stern,"Executive VP, General Counsel & Secretary",EXECUTIVES,"Good morning. Please advance to Slide 2. This meeting is held pursuant to the notice mailed on March 6, 2020, to all stockholders of record as of February 18, 2020, who are entitled to vote, and the amended notice changing the location of our meeting to a virtual meeting, which was mailed on April 3, 2020. We have affidavits of mailing of those notices to stockholders. Upon review of the list of stockholders of the corporation and the proxies that are present, virtually and by proxy, stockholders holding a majority of the total shares outstanding and entitled to vote. Notice of the meeting has been duly given and a quorum is present. Therefore, the meeting is lawfully convened. Laura Jamison has been appointed inspector to record, count, confirm the voting at this meeting. Please advance to Slide 3."
4,A. O. Smith Corporation - ShareholderAnalyst Call,Presentation,4,James F. Stern,"Executive VP, General Counsel & Secretary",EXECUTIVES,"Before proceeding with the 4 items on the agenda requiring stockholder action at this meeting, I would like to turn to Kevin Wheeler for his comments on the 2019 results and current operations."
5,A. O. Smith Corporation - ShareholderAnalyst Call,Presentation,5,Kevin J. Wheeler,"President, CEO & Director",EXECUTIVES,"Thank you, Ajita. Before I begin my remarks, I would like to remind you that some of the comments that will be made during this conference call will constitute forward-looking statements. These forward- looking statements are subject to risks that could cause actual results to be materially different. Those risks include, amongst other, matters that were -- we have described on Slide 4."
6,A. O. Smith Corporation - ShareholderAnalyst Call,Presentation,6,Kevin J. Wheeler,"President, CEO & Director",EXECUTIVES,"Please turn to Slide 5. A. O. Smith is 145-year old global manufacturer of innovative residential and commercial water heaters, boilers and water treatment products. Our sales totaled nearly $3 billion in 2019 and we employ a little over 15,000 people worldwide. Our products are manufactured in 23 factories around the globe."
7,A. O. Smith Corporation - ShareholderAnalyst Call,Presentation,7,Kevin J. Wheeler,"President, CEO & Director",EXECUTIVES,"Slide 6, please. We have a strong track record of driving financial performance and significant growth. Over the last decade, sales have grown 8%, and EBITDA and adjusted EPS have grown 15% and 21%, respectively. 2019 results are shown on Slide 7. Sales of nearly $3 billion were 6% lower than in 2018. The decline in 2019 sales was primarily a result of lower China sales, which declined 19% in local currency, largely due to weaker end market demand, elevated channel inventory levels at the beginning of 2019 and a higher mix of mid-price point products. Adjusted earnings in 2019 of $370 million declined 18% from 2018. In 2019, adjusted earnings per share of $2.22 were 15% lower than in 2018. The decline in profits were primarily due to lower performance in China. As weakness in our end markets in China persisted, we implemented several cost reduction actions in 2019 in that region. Compared with 2018, total annualized savings as a result of these actions is estimated to be approximately $45 million in 2020, of which approximately $30 million was realized in 2019."
8,A. O. Smith Corporation - ShareholderAnalyst Call,Presentation,8,Kevin J. Wheeler,"President, CEO & Director",EXECUTIVES,"I'm pleased to review several items regarding our 2019 performance on Slide 8. Sales in our North America segment increased 2%, and operating margin performance in North America grew over 50 basis points compared with 2018. Our North America water heater operations continued to perform well. I'm particularly pleased with our performance despite a 1% decline in residential industry volumes. Productivity within North America water treatment manufacturing and the effectiveness of our direct-to- consumer channel continued to improve. We expanded our North America water treatment platform with the acquisition of Water-Right, and the performance is right on track to our expectations. We announced a 9% increase to our quarterly dividend rate in early October to $0.24 per share, which represents a 5- year CAGR of 24%. And in China, the fourth quarter came in where we expected, with channel inventory climbing by more than a month. Channel inventory ended 2019 within the normal range of 2 to 3 months of sales."
9,A. O. Smith Corporation - ShareholderAnalyst Call,Presentation,9,Kevin J. Wheeler,"President, CEO & Director",EXECUTIVES,"I'd like to provide some -- several comments about our business in light of COVID-19 on Slide 9. We believe we are well prepared to navigate through this pandemic. As an essential business, we are proud to continue supporting our customers with utmost focus on the health and safety of our employees. We will continue to take a prudent and proactive actions to safely operate our business, maintain strong liquidity position during the -- this uncertain period and continue to position A. O. Smith for further success when the pandemic subsides. The high replacement component of our North America water heater and boiler products provide stability. I want to thank our entire A. O. Smith team for their unwavering dedication to our company, customers and communities during this volatile time."
