,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",Presentation,0,Operator,,,"Johan, please begin."
1,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",Presentation,1,Operator,,,"Ladies and gentlemen, welcome to the AAK Q1 reports 2020. Today, I am pleased to present Johan Westman, President and CEO. [Operator Instructions]"
2,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",Presentation,2,Johan Westman,President & CEO,EXECUTIVES,"Thank you. Good day, and welcome to the AAK Quarter 1 2020 Earnings Call. Together with me today, as usual, I have our CFO, Fredrik Nilsson, and we will present the quarter 1 results and maybe more importantly comment on the outlook going forward given the unprecedented time that we are in."
3,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",Presentation,3,Johan Westman,President & CEO,EXECUTIVES,"We will have -- we have an agenda for today, covering a few updates from myself, covering also a coronavirus update specifically for the company as well as some business area information. Fredrik will go through a few things on the financials in the CFO update, and then we'll make a few concluding remarks. And we will leave plenty of time for questions, and I think that will be important in times like this."
4,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",Presentation,4,Johan Westman,President & CEO,EXECUTIVES,"So with that, follow me into Page 3. First, a few highlights. Quarter 1 was another good quarter for AAK. Our good momentum from quarter 4 continued into quarter 1, and the quarter closed nicely in spite of the very volatile situation we had towards the very end of the quarter, specifically end of March."
5,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",Presentation,5,Johan Westman,President & CEO,EXECUTIVES,"We have operating profit per kilo, our margin continues to develop very nicely. And this is really driven by Chocolate & Confectionery Fats, where we have seen a turnaround situation during the end of last year on the back of the efforts we have put into that segment or to that industry."
6,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",Presentation,6,Johan Westman,President & CEO,EXECUTIVES,"We also have a good development continuing in Bakery as well as Plant-based Food, where we did see a doubling of both volumes and our operating profit, although from small volumes, but adding to the top -- or from a smaller base, I should say, and adding to the top."
7,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",Presentation,7,Johan Westman,President & CEO,EXECUTIVES,"Towards the end of the quarter, we did see a sharp drop in demand with regards to the solutions that we have for what we call Foodservice, literally into restaurant, wholesale chains, airline catering, and that is a direct supply as well as an indirect supply. This includes the sectors like fast-food change around -- chains around the world. That segment saw a dramatic drop towards the end of the quarter, as you can imagine, on the back of different countries way of locking down, putting in restrictions and so forth."
8,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",Presentation,8,Johan Westman,President & CEO,EXECUTIVES,"We continue to report also a good development in our financial structure, and we now have a reported tax operating profit, earnings per share grew by 11% and our operating profit or adjusted operating profit was up 7% year-over-year."
9,"AAK AB (publ.), Q1 2020 Earnings Call, Apr 24, 2020",Presentation,9,Johan Westman,President & CEO,EXECUTIVES,"With that, we continuing to Page #4. And now we turn into a more specific update on the coronavirus situation for AAK. First of all, I think we all experience at the moment, from a professional perspective and from a private perspective, how this corona situation is really impacting our day-to-day life as well as our business. Our first priority, and it will remain the first priority in this unprecedented situation, is the health and safety of our employees. This has been managed well throughout the company, and it will continue to be like that."
