,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,0,Operator,,,"Ladies and gentlemen, thank you for standing by, and welcome to the Q1 Report 2020 Conference Call. [Operator Instructions] I must advise you that this conference is being recorded today, Thursday, 23rd of April 2020."
1,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,1,Operator,,,"I would now like to hand the conference over to first speaker today, Mr. Patrik Stenberg. Thank you. Please go ahead."
2,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,2,Patrik Stenberg,Director of Group Investor Relations & Competitive Intelligence and Head of Investor Relations,EXECUTIVES,"Good morning, and very welcome to this early conference call on the Q1 results. Speaking today is our CEO, Mr. Alrik Danielson; our CFO, Niclas Rosenlew, and as usual, we will start with a presentation about 20, 25 minutes. And after that, we will be ready to take your questions."
3,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,3,Patrik Stenberg,Director of Group Investor Relations & Competitive Intelligence and Head of Investor Relations,EXECUTIVES,"On that note, please remember to limit yourself to about 2 questions at a time, otherwise, get back in queue. And we -- might I remember you -- remind you to post your name before the question because we do have some problems with the voice recognition with this conference call this time around. I apologize for that."
4,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,4,Patrik Stenberg,Director of Group Investor Relations & Competitive Intelligence and Head of Investor Relations,EXECUTIVES,"With that introduction, Alrik, please."
5,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,5,Alrik Danielson,"President, CEO & Director",EXECUTIVES,"Thank you very much, Patrik. Good morning, everyone, and welcome to this presentation of our fourth (sic) [ first ] quarter results. We have delivered another very strong set of results despite falling demand connected to the COVID-19 pandemic. Our cash flow generation is strong, and we have continued to invest in innovation, optimize our operations and reduce costs. Sales were impacted across most regions by both government and post closures as well as by lower underlying demand. Net sales fell organically by almost 9% to SEK 20.1 billion. Sales were 10% lower in Asia, 9% lower in Europe, 12% lower in North America, and almost 4% higher in Latin America. Despite this development, the adjusted operating margin for the first quarter was strong at 12.8%, in -- exactly in line with last year with an adjusted operating profit of SEK 2.572 billion. Cash flow was also strong with almost SEK 2 billion."
6,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,6,Alrik Danielson,"President, CEO & Director",EXECUTIVES,"If we turn to the next page. The industrial business continued to deliver good operational performance on lower sales. The adjusted margin was 15.5%, which is in line with last year despite a drop in organic sales of almost 7%. Sales were significantly lower in North America, lower in both Asia and/or Europe."
7,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,7,Alrik Danielson,"President, CEO & Director",EXECUTIVES,"If we turn to next page. The automotive business, which in Europe was significantly impacted by customer closures for the middle of March, delivered an adjusted margin of 5.7% in line with last year's performance, despite a fall in organic sales of over 13%. Sales were significantly lower in Europe, North America and Asia and relatively unchanged in Latin America."
8,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,8,Alrik Danielson,"President, CEO & Director",EXECUTIVES,"If we turn to the next page. We saw a decline in organic sales of 8.6% compared to last year with net sales of SEK 20 billion. Sales in North America were 11.7% lower. Sales to aerospace and to agriculture, food and beverage industries were relatively unchanged, while sales to all other industrial segments were significantly lower."
9,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,9,Alrik Danielson,"President, CEO & Director",EXECUTIVES,"In Europe, organic sales were 8.8% lower than last year. Industrial demand was lower than last year and automotive volumes were significantly lower. Within industrial, sales to railway and to the agricultural, food and beverage industries show growth, while industries of highway, off-highway, heavy industries, aerospace as well as the energy and industrial distribution were declining compared to last year."
10,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,10,Alrik Danielson,"President, CEO & Director",EXECUTIVES,"Organic sales in Asia decreased by 10.4% with lower industrial demand and significantly lower demand for automotive. We saw strong development in the energy industry and in Marine, while most other industries declined compared to last year."
11,"AB SKF (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,11,Alrik Danielson,"President, CEO & Director",EXECUTIVES,"And in Latin America, sales grew organically by 3.5% compared to last year. We saw slightly high industrial volumes and relatively unchanged volumes in automotive."
