,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,0,Claes Eliasson,Senior Vice President of Media Relations & Group Communication,EXECUTIVES,"Ladies and gentlemen, my name is Claes Eliasson, and I wish to welcome you all to this somewhat unusual way for Volvo to present the quarterly report. Normally, we get to meet some of you live, but this time, we will do it purely digital. Some things remain the same, though. We will be listening to a presentation by our President and CEO, Martin Lundstedt, followed by a presentation by our CFO, Jan Ytterberg. When done, we will open up the line for a Q&A session."
1,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,1,Claes Eliasson,Senior Vice President of Media Relations & Group Communication,EXECUTIVES,"So without further ado, Martin, please go ahead."
2,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,2,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director",EXECUTIVES,"Thank you, Claes, for that. And also from my side, most welcome to the presentation of the first quarter normal way of doing it. We will start with some of the highlights from quarter 1 about -- both when it comes to business and financials, and then move into current situation of how the group is handling the COVID-19 pandemic crisis in the current situation and also the actions going forward. And it will be lots of focus around our 4 Cs, as we call it: colleagues, customers, cash and cost development and mitigation activities."
3,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,3,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director",EXECUTIVES,"If we then move into quarter 1, quarter 1 did, with the exception of China, follow our estimates and plans for the different markets, mainly up to mid-March. The forecasted downturn in North America materialized according to expectations, and we did adjustments according to that as well. And Europe also developed mainly according to plan, maybe somewhat more positive actually. Also, the development of market shares was generally positive. But as of mid-March, everything has changed dramatically."
4,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,4,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director",EXECUTIVES,"But if we go to the summary of the quarter, net sales decreased with SEK 16 billion or 15%; adjusted operating income was SEK 7.8 billion (sic) [ SEK 7.1 billion ] or 7.8%, with effects related to the COVID-19 outbreak in addition to further adjustments of production and activities -- sorry, operating income was SEK 7.1 billion; and operating cash flow was minus SEK 4.1 billion."
5,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,5,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director",EXECUTIVES,"The net financial position remains strong at almost SEK 58 billion, and I will come back later on also to some important news that has been announced regarding green transformation and product renewals lately."
6,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,6,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director",EXECUTIVES,"The significant impact of COVID-19 started at mid-March with very quick shutdown of our industrial activities in Europe, followed by North and South America and many other smaller regions. Since then, the majority of our industrial system has been stopped or is still in a stop phase."
7,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,7,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director",EXECUTIVES,"Regarding the truck deliveries, we have had an impact from COVID-19 outbreak, primarily from mid- March. Supplies were actually secured from China through the quarter despite society shutdown, but supply chains were disrupted when Europe, and later on, U.S. entered into more lockdowns. The volume deliveries for trucks decreased to 23% and the decline accelerated at the end of the quarter and has continued into April. The expected downturn in North America has also affected the deliveries in the quarter, but that was already planned, both for Volvo Trucks and Mack, and adjustments for that were already done to a big extent."
8,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,8,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director",EXECUTIVES,"Volumes of construction equipment decreased with 13%, whereas Volvo 14% and SDLG with 11%. The same trend as we see for trucks in Europe and America is also valid for construction equipment with a certain time lag, whereas China and Korea have picked up to levels comparable with pre-corona outbreak."
9,"AB Volvo (publ), Q1 2020 Earnings Call, Apr 23, 2020",Presentation,9,Martin Lundstedt,"CEO, President, Member of the Group Executive Board & Director",EXECUTIVES,"Given the extremely uncertain situation regarding both short-term supply restrictions in many parts of the world currently and also the uncertainty about the demand situation when the gradual return will start, it is not as we see it meaningful to leave any market forecast for 2020 for any region."
