,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,0,Operator,,,"Ladies and gentlemen, welcome to the ABB Q1 2020 Results Analyst Conference Call. I'm Andre, the Chorus Call operator. [Operator Instructions]"
1,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,1,Jessica Mitchell,Head of Investor Relations,EXECUTIVES,"At this time, it's my pleasure to hand over to Jessica Mitchell, Head of Investor Relations. Please go ahead, madam."
2,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,2,Jessica Mitchell,Head of Investor Relations,EXECUTIVES,"Hello, and good morning to all. Welcome to ABB's First Quarter 2020 Results Conference Call and Webcast."
3,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,3,Jessica Mitchell,Head of Investor Relations,EXECUTIVES,"The press release and financial information documents were published this morning at 7:00 a.m. and can be found on our website, along with this results presentation."
4,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,4,Jessica Mitchell,Head of Investor Relations,EXECUTIVES,"Following our presentation, we will open the lines for your questions."
5,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,5,Jessica Mitchell,Head of Investor Relations,EXECUTIVES,"I am pleased to introduce ABB's new CEO, Björn Rosengren. And also with me today is our Chief Financial Officer, Timo Ihamuotila, who is going to present our results in more detail."
6,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,6,Jessica Mitchell,Head of Investor Relations,EXECUTIVES,"Before we begin, I would like to draw your attention to the important information regarding safe harbor notices and our use of non-GAAP measures on Slide 2 of the ABB presentation. This conference call will include forward-looking statements. These statements are based on the company's current expectations and certain assumptions and are therefore subject to certain risks and uncertainties."
7,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,7,Jessica Mitchell,Head of Investor Relations,EXECUTIVES,"And with that, let me now hand you over to Björn."
8,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,8,Björn Klas Otto Rosengren,Chief Executive Officer,EXECUTIVES,"Thank you, Jess. And let me also say hello, and very warm welcome to everybody on the call. My start at ABB has not been exactly as I expected when I took on the challenge as being the CEO of ABB. Yes, it has been a challenging time for all of us. On the other hand, wrestling with the rapid spread of COVID-19 has given me the opportunity to understand the quality and the resilience of many of our businesses. Nevertheless, the COVID-19 has created a very tough set of trading conditions for the quarter and also for the coming months."
9,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,9,Björn Klas Otto Rosengren,Chief Executive Officer,EXECUTIVES,"First, some highlights from the quarter. Order growth surprised on the upside, helped by large order, which our revenues right now, but makes us more resilient over the medium to long term."
10,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,10,Björn Klas Otto Rosengren,Chief Executive Officer,EXECUTIVES,"The book-to-bill ratio for the quarter was 1.18, which means that the orders are 18% higher than the revenues."
11,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,11,Björn Klas Otto Rosengren,Chief Executive Officer,EXECUTIVES,"The challenges from the COVID-19 first affected China and then spread to Europe and the rest of the world. The pandemic created a huge challenge, both to keep our employees safe and to maintaining our commitment to our customers, but also to keep our around 200 factories and operations up and running. It helped that China managed to reopen so quickly and that we could learn from the early experiences how to secure a safe working environment in all our plants. The way our teams have handled the crisis is quite an achievement."
12,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,12,Björn Klas Otto Rosengren,Chief Executive Officer,EXECUTIVES,"However, supply chain challenges and mobility restrictions impacted our ability to deliver products, compete project installations and carry out services, which affected our revenues, and eventually, our operating margins in all our businesses."
13,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,13,Björn Klas Otto Rosengren,Chief Executive Officer,EXECUTIVES,"On a positive note, we have made very good progress with the carve-out of the Power Grids business and target to close the transaction at the end of Q2 2020 as planned."
14,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,14,Björn Klas Otto Rosengren,Chief Executive Officer,EXECUTIVES,"Although I took over as CEO on March 1, I was fortunate enough to be able to meet most of our key leaders as well as visit our operations in India, in the U.S. and Europe already in February before the COVID-19 restricted our ability to travel."
15,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,15,Björn Klas Otto Rosengren,Chief Executive Officer,EXECUTIVES,"Since the start of the coronavirus outbreak, the health and safety of our people has remained our first priority. The teams have worked very hard to maintain business continuity and to support our customers and partners around the world. The speed, agility and accountability in which our organizations have acted during the crisis is a true proof of the commitment in our workforce and power of the operating model."
16,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,16,Björn Klas Otto Rosengren,Chief Executive Officer,EXECUTIVES,The lockdown has enabled me to spend more time with our senior team discussing how we want to operate going forward. And I do look forward to sharing more thoughts around this at June 10.
17,"ABB Ltd, Q1 2020 Earnings Call, Apr 28, 2020",Presentation,17,Björn Klas Otto Rosengren,Chief Executive Officer,EXECUTIVES,"Needless to say, my first impression of ABB is very positive, thanks to our people and great technologies. I am confident that we will see our way through these times and emerge even stronger and continue our journey to meet our long-term financial and sustainability targets."
