,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,ABN AMRO Bank N.V. - ShareholderAnalyst Call,Presentation,0,Tom de Swaan,Independent Chairman of the Supervisory Board,EXECUTIVES,"[Interpreted] Ladies and gentlemen, welcome shareholders and depositary receipt holders in this very exceptional time. I am opening the meeting and welcoming you. On behalf of the ABN AMRO, I am present, Tom de Swaan, as the Chairperson of the Supervisory Board. And the following Supervisory Board members are present on video; Arjen Dorland, Vice Chairman; Jurgen Stegmann; Tjalling Tiemstra; Michiel Lap; Anna Storakers; and Laetitia Griffith."
1,ABN AMRO Bank N.V. - ShareholderAnalyst Call,Presentation,1,Tom de Swaan,Independent Chairman of the Supervisory Board,EXECUTIVES,"In addition, on behalf of the Executive Board, we have Kees van Dijkhuizen present. The following members of the Executive Board are present via video connection; Tanja Cuppen, Chief Risk Officer; Clifford Abrahams, Vice Chairman and Chief Financial Officer; and Christian Bornfeld, Chief Innovation and Technology Officer."
2,ABN AMRO Bank N.V. - ShareholderAnalyst Call,Presentation,2,Tom de Swaan,Independent Chairman of the Supervisory Board,EXECUTIVES,"Hanneke Dorsman is acting secretary to this meeting, and she is present as well. Robert Swaak, new Chairman of the Executive Board and CEO, is present via video connection. On behalf of EY, auditor [ Arja Schmidt ] is present via video connection. On behalf of the Employee Council, we have Rianne Kamphuis also connected via the video. And notary Clumpkens of Zuidbroek Notarissen is present at this meeting to oversee the correct procedure of the vote. Finally, the STAK AAB, the protective foundation, is attending this meeting via webcast. To the extent that STAK AAB is acting as an authorized representative, STAK AAB has cast votes prior to the meeting."
3,ABN AMRO Bank N.V. - ShareholderAnalyst Call,Presentation,3,Tom de Swaan,Independent Chairman of the Supervisory Board,EXECUTIVES,"Please note the following general remarks. First, please put your mobile phone on silent and do not make any video or audio recordings or take photographs. As you can see and as read in our announcements, ABN AMRO, to curtail and avert potential health risks, has made the unusual request to shareholders and depositary receipt holders not to attend the meeting in person. Instead, the bank has urgently requested that people use the option to cast their vote by electronic or written proxies or through virtual participation. Large numbers have complied with this request, the number of those present is minimal today. We have only 1 depositary receipt holder present."
4,ABN AMRO Bank N.V. - ShareholderAnalyst Call,Presentation,4,Tom de Swaan,Independent Chairman of the Supervisory Board,EXECUTIVES,"As announced prior to the meeting, the person present is not in the same room. Nonetheless, we would like to enable all shareholders and depositary receipt holders to follow the meeting and participate actively in the meeting. The meeting will be in Dutch. And as usual, it will be webcast in both Dutch and English and broadcast on the ABN AMRO website. For those present here, a live connection has been set up so that they can see the meeting on a large screen. Attending this meeting virtually as possible as well, considering the exceptional circumstances, this time, virtual shareholders and depositary receipt holders that in a moment."
5,ABN AMRO Bank N.V. - ShareholderAnalyst Call,Presentation,5,Tom de Swaan,Independent Chairman of the Supervisory Board,EXECUTIVES,"Finally, shareholders and depositary receipt holders have been requested to submit questions prior to the meeting. These questions may or may not be combined at the relevant agenda items during the meeting. The entire meeting is recorded on audio for the minutes, and minutes will be made available from July 22, 2020, for 3 months on our website. Afterwards, the minutes will be adopted according to the Articles of Association and will be signed by the Chairman and the Secretary."
6,ABN AMRO Bank N.V. - ShareholderAnalyst Call,Presentation,6,Tom de Swaan,Independent Chairman of the Supervisory Board,EXECUTIVES,"I note that shareholders and depositary receipt holders have been convened in accordance with the law and the Articles of Association. So legally binding decisions may be taken and shareholders and depositary receipt holders have not proposed items to be addressed at this meeting. On the screen behind me, you see the issued ABN AMRO capital, which comprises 940,000,001 share."
7,ABN AMRO Bank N.V. - ShareholderAnalyst Call,Presentation,7,Tom de Swaan,Independent Chairman of the Supervisory Board,EXECUTIVES,"I will now briefly elaborate on the procedure during the meeting. You saw the agenda in the convocation. This is detailed behind me. You see the agenda again on your screen. Some agenda items comprise multiple items such as Agenda item 2 that comprises 2(a) through 2(g). And we will cover as many as possible sections and presentations pertaining to an individual agenda item consecutively. After the presentations, we will answer questions relating to those presentations. Agenda Item 2 that will be the case following the presentation by our auditor, EY. Considering the internal cohesion, you will then have a proper and complete overview. Since agenda Item 2(e) will be presented to you for an advisory vote. After this Agenda Item has been described, there will be an opportunity to ask questions. And answering the questions -- we will start by answering the questions received in advance. After that, we will answer questions from participants in the room and the questions submitted by virtual participants during this meeting. I request participants from the room who has a question to rise if he wants to ask a question so that I can see. We are pleased to enable all virtual participants to ask questions while keeping track of time. To give everybody the opportunity, we suggest asking a maximum of 3 questions per agenda item. In addition, as we have announced, virtual participants may ask questions only if they have also submitted questions in writing prior to the meeting. Because of the minimal delay in the webcast connection, every moment that virtual participants ask follow-up questions will be followed by a minute break to give these follow-up questions a chance to be asked."
8,ABN AMRO Bank N.V. - ShareholderAnalyst Call,Presentation,8,Tom de Swaan,Independent Chairman of the Supervisory Board,EXECUTIVES,"Both virtual participants and participants in the room will have the opportunity to cast their vote throughout the meeting. As virtual participants will have noted in their application, the vote has already been opened, and will remain open until the close of Agenda Item 10, which is the final voting item on the agenda. For participants in the room you may cast your vote throughout the meeting by using your smartphone tablet or PC on all agenda items. Hopefully, you've downloaded the Lumi AGM app and have received instructions from the registration desk. You will have indicated the 9-digit meeting ID number followed by your personal user name and password upon registration. Hopefully, you've already logged into the Lumi AGM application. There are people in the room who can assist you if necessary."
9,ABN AMRO Bank N.V. - ShareholderAnalyst Call,Presentation,9,Tom de Swaan,Independent Chairman of the Supervisory Board,EXECUTIVES,"I assume that's all up and running and that everything is working. On your smartphone or tablet, you'll see the option to vote in favor, against or abstain as soon as the vote is open. If you do not make a selection or press multiple buttons at once that counts as abstention. And the voting will remain open for those in the room until the end of item 10. The voting results will be disclosed at the end of the meeting. In addition, as you've read previously, at the recommendation of the ECB, the ABN has rescinded the dividend proposal, which is agenda Item 3(b). I'll tell you more about that during the meeting. And given the exceptional circumstances, ABN AMRO had to cancel all social gatherings relating to the AGM. So unfortunately, there will be no reception after the meeting."
