,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",Presentation,0,Operator,,,"Good morning, ladies and gentlemen. Thank you for standing by. Welcome to the Abacus Health Products Fourth Quarter and 2019 Year-end Results Conference Call. [Operator Instructions] I would like to remind everyone that this conference call is being recorded today, April 29 at 10 a.m. Eastern Time. I will now turn the conference over to Jonathan Conforti, Vice President, Corporate Development. Please go ahead."
1,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",Presentation,1,Jonathan Conforti,,EXECUTIVES,"Thank you, Lauren. Good morning, everybody, and welcome to Abacus' 2019 Fourth Quarter and Year- end Results Conference Call. The earnings press release was issued this morning. The MD&A and financial statements for the quarter or year-end can be found in the Investor Relations section of our website, are also being filed on sedar.com. Our presenter today is Perry Antelman, Abacus' Chief Executive Officer. Accompanying Perry for the Q&A portion of the call, in addition to myself, will be Hank Hague, our Chief Financial Officer. Please note that certain subjects discussed in the call, including answers we may provide to certain questions, may include content that is forward-looking in nature, and therefore, subject to risks and uncertainties and other factors, which could cause actual future results or performance to differ materially from any implied expectations. Such risks surrounding forward-looking statements are all outlined in detail in the company's regulatory filings, again, which can be found on sedar.com."
2,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",Presentation,2,Jonathan Conforti,,EXECUTIVES,"As a reminder, all amounts discussed on today's call are in U.S. dollars unless otherwise noted. And now I'll pass the call over to Perry Antelman. Perry?"
3,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",Presentation,3,Perry Antelman,Chairman & CEO,EXECUTIVES,"Thanks, Jonathan. Good morning, everyone, from Boston, Massachusetts, and welcome to Abacus' investor conference call. A lot has transpired since our last conference call as it relates to Abacus, our sector and the world in general. My remarks today will address both, our Q4 and 2019 results and achievements as well as an update on the key developments year-to-date."
4,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",Presentation,4,Perry Antelman,Chairman & CEO,EXECUTIVES,"In the fourth quarter of 2019, we continue to develop and expand our presence in the food, drug and mass channel, which has been the key focus for our company in 2019. We secured one of the largest drug chain during the quarter, which placed our products in approximately 2,500 additional stores, which rolled out during January and February of this year. Our strong position with topicals became even stronger in the current environment of regulatory uncertainty that's holding back ingestible sales in the food, drug and mass channel. This has resulted in many retailers focusing on the deployment of 200 to 1,000 stores right before the December holiday period, introduced countertop shelf displays, many of which prominently featured a picture of Gronkowski."
5,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",Presentation,5,Perry Antelman,Chairman & CEO,EXECUTIVES,"For 2019, we recorded revenue of $15.5 million, which represented a strong year-over-year growth of 82%. We posted sequential quarterly growth of 8% in Q4, which is driven by the 29% quarterly sequential growth in the CBDMEDIC business. While we were aiming higher for Q4, as we shared in our guidance on our last call, the difference was driven in part by promotional sales discount that we extended to secure one of the largest retail pharmacy chains in the country. The discounts have the effect of reducing both net revenue and gross profit and were the main reason that we reported a Q4 gross margin of 37%. Without these discounts, revenue would have been in line with the guidance we provided in Q3, and our gross margin would have been closer to what we reported prior quarters. The wins that we secured with the discount is already paying dividends. As this chain is rapidly increasing the rollout of our products to more stores within their chain. While I cannot say sales discounts are tools that we will not continue to use, we generally try to limit their use and scope, and we don't expect to use them to the same extent in the coming quarters, the way we did in the fourth quarter. Overall, our margin for 2019 came in at 54.5%, down from the 59.2% in 2018. I will add that with increased sales volume, we have been able to negotiate better pricing from our principal contract manufacture for 2020 and combined with lower hemp extract costs, we expect that this will provide for gross margin improvement. Purchase orders received in the fourth quarter increased the number of retail locations carrying CBDMEDIC products to over 8,000. This figure still represents only about 25% penetration of those chains that carry us. So there is a lot of room to grow in our existing base. In addition, we had and continue to have a healthy pipeline of chains in various stages of the decision-making and approval process as far as bringing us on to shelf. From a competitor's perspective, we continue to see the larger chains, working with a relatively small group of vendors, of which we are one of the leading brands."
6,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",Presentation,6,Perry Antelman,Chairman & CEO,EXECUTIVES,"Our primary efforts in 2019 were focused on the drug channel in which we have done exceptionally well in penetrating. CBDMEDIC consistently ranks within the top 3 or 4 of the top topical CBD brands in this segment. In the fourth quarter, we began to increase our focus on penetration of the grocery channel and the success of these efforts will be decided and play out over the next several months, as grocery chains go through their regular category resell plan. We feel good about our position on this front. And while I will talk about it separately in a few minutes, a key reason for our acquisition of Harmony Hemp was to substantially increase our presence in the grocery segment."
7,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",Presentation,7,Perry Antelman,Chairman & CEO,EXECUTIVES,"Turning to CBD CLINIC and our health care practitioner business. Fourth quarter revenue was little changed from the prior quarter. For the year, the business delivered a strong 40% year-over-year growth. Our distributor business continued 2/3 of sales and our direct practitioner business approximately 1/3. On the distributor side, our 5 largest distributors delivered over 90% of our sales by distributors and further underscore that distributors with wide reach are key to growth in this channel. At the end of Q4, we established a distribution relationship with one of the largest distributors to chiropractic in the U.S. therapists collectively accounted for over 70% of revenue. We expect the new distributor to be a newly full contributor to the growth of the CBD CLINIC business in 2020. While some competition has come into this market, we are retaining our leadership position in the health care practitioner market and continue to view the opportunity ahead of us at very large."
8,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",Presentation,8,Perry Antelman,Chairman & CEO,EXECUTIVES,"Turning to the Harmony Hemp acquisition. We acquired the Harmony Hemp business on February 10 for $5.5 million, of which half is being paid in cash and half in shares. The shares being issued over a 20- month period and being subject to markup. There were 3 main reasons that attracted us to Harmony Hemp. The first was the distribution they had achieved in the 2 largest grocery chains in the country, which combined with other retailers, had achieved a footprint with their products being carried in over 4,000 locations. The second was that a majority of the sales were in personal care, and beauty, the areas that we did not have a presence. Personal care and beauty are 2 of the fastest-growing segments within hemp-infused products that are being carried by retail. The third reason was the strength of their relationships within food, drug and mass, which provides us with an important competitive advantage. The challenging situation in the capital markets allowed us to acquire this business at a price that we consider attractive, given the strategic benefits that it brought to our business. The integration of Harmony Hemp has been going well. Although as with any acquisition, it has taken a lot of efforts. We are very pleased with both the performance of this business as well as the cross-selling opportunities that are being realized between Harmony Hemp and CBDMEDIC brands. On a combined basis, the CBDMEDIC and Harmony Hemp have products are now carried in over 12,000 non overlapping stores."
9,"Abacus Health Products, Inc., Q4 2019 Earnings Call, Apr 29, 2020",Presentation,9,Perry Antelman,Chairman & CEO,EXECUTIVES,"As previously announced, we've been working hard on the development of a line of ingestible products containing hemp extract. In addition to our own R&D efforts, we engaged 2 companies to support our product development efforts, 1 with unique cannabinoid expertise and the other with [indiscernible] expertise. We recently completed the development of a proposed line of unique ingestible products, covering several different health indications. Our products are based on both leading nutraceutical and cannabinoid science, and we believe we have best-in-class products that are going to be very well received by consumers. We're also in the process together with 1 of our commercial partners to apply for patent protection for a technology using some of these products. Our agreements with the contract manufacturers are in place, and we had planned a launch in June. Although with the unfortunate arrival of COVID-19 pandemic, we have decided to push the launch back to Q3. While I appreciate this activity is largely away from the market's eye and difficult to gauge, I can tell you that the work that has been put into the development of this line and the preparations for the launch, a very significant achievement and a testament to the strength and innovative the spirit of our team. We are very excited about this launch."
