,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",Presentation,0,Operator,,,"Good morning, and thank you for standing by. Welcome to Abbott's First Quarter 2020 Earnings Conference Call. [Operator Instructions] This call is being recorded by Abbott. With the exception of any participants' questions asked during the question-and-answer session, the entire call, including the question-and-answer session, is material copyrighted by Abbott. It cannot be recorded or rebroadcast without Abbott's expressed written permission."
1,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",Presentation,1,Operator,,,"I would now like to introduce Mr. Scott Leinenweber, Vice President, Investor Relations, Licensing and Acquisitions."
2,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",Presentation,2,Scott Michael Leinenweber,Vice President of Investor Relations,EXECUTIVES,"Good morning, and thank you for joining us. With me today are Robert Ford, President and Chief Executive Officer; and Bob Funck, Executive Vice President, Finance and Chief Financial Officer. Robert and Bob will provide opening remarks. Following their comments, we'll take your questions."
3,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",Presentation,3,Scott Michael Leinenweber,Vice President of Investor Relations,EXECUTIVES,"Before we get started, some statements made today may be forward-looking for purposes of the Private Securities Litigation Reform Act of 1995, including the expected financial results for 2020. Abbott cautions that these forward-looking statements are subject to risks and uncertainties, including the impact of the COVID-19 pandemic on Abbott's operations, results and financial results. This may cause actual results to differ materially from those indicated in the forward-looking statements. Economic, competitive, governmental, technological and other factors that may affect Abbott's operations are discussed in Item 1A, Risk Factors, to our annual report on Securities and Exchange Commission Form 10-K for the year ended December 31, 2019. Abbott undertakes no obligation to release publicly any revisions to forward- looking statements as a result of subsequent events or developments, except as required by law. Please note that financial information provided on the call today for sales, EPS and line items of the P&L will be for continuing operations only."
4,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",Presentation,4,Scott Michael Leinenweber,Vice President of Investor Relations,EXECUTIVES,"On today's conference call, as in the past, non-GAAP financial measures will be used to help investors understand Abbott's ongoing business performance. These non-GAAP financial measures are reconciled with the comparable GAAP financial measures in our earnings news release and regulatory filings from today, which are available on our website at abbott.com. Unless otherwise noted, our commentary on sales growth refers to organic sales growth, which is defined in our earnings news release issued earlier today."
5,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",Presentation,5,Scott Michael Leinenweber,Vice President of Investor Relations,EXECUTIVES,"With that, I will now turn the call over to Robert."
6,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",Presentation,6,Robert B. Ford,"CEO, President, COO & Director",EXECUTIVES,"Thanks, Scott. Good morning, everyone, and thank you for joining us. As everyone here knows, we haven't seen a quarter or any time quite like this before. This global environment is unprecedented in our lifetimes. Before we get into the details of the quarter, I want to take a moment to thank our employees, our customers and our suppliers, all of whom are making extraordinary efforts to keep systems working and to maintain supply of our critically important products for the people who need them."
7,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",Presentation,7,Robert B. Ford,"CEO, President, COO & Director",EXECUTIVES,"This moment has strongly underscored 2 fundamental things to me. The first is the biggest and most important, and that's the essential nature of health and health care. Times like these make very clear what truly matters the most. The second, to bring it closer to home, has to do with the nature of Abbott. We've been in the business of improving people's health through medical innovation for more than 130 years, and it's in moments like these that the importance of our mission becomes even more critical: delivering for the people that depend on us."
8,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",Presentation,8,Robert B. Ford,"CEO, President, COO & Director",EXECUTIVES,"I've been extremely impressed, though, not at all surprised, by the way my colleagues around the world have stepped up to this moment. As you know, we've quickly developed and launched 3 diagnostic tests for COVID-19: 2 for the laboratory setting and 1 for rapid point-of-care testing. At the same time, our teams in every business and around the world have been making extraordinary efforts to keep our operations running and our supply chains moving and to undertake the thousands of processes to make our vital products and get them to the people who need them. And we're also donating both funding and products to support frontline health care workers, families and communities to meet the challenges of this pandemic. I think this speaks to a well-known attribute of Abbott's culture: We're execution-oriented, and we could be relied on to deliver when it matters the most because we know how important our work is, that lives depend on us, and we take that very seriously."
9,"Abbott Laboratories, Q1 2020 Earnings Call, Apr 16, 2020",Presentation,9,Robert B. Ford,"CEO, President, COO & Director",EXECUTIVES,"Our diversified business model is a true strength in times like these. It's a model that has served our shareholders and the company very well. Under normal circumstances, it provides more opportunities for growth. And in situations like this, it helps to dampen the impact by ensuring we're not overly reliant on a given business, product or geography. Overall, our sales grew nearly 4.5% on an organic basis in the first quarter."
