,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,0,Operator,,,"Ladies and gentlemen, thank you for standing by, and welcome to the Fourth Quarter 2020 Abiomed Earnings Conference Call [Operator Instructions] Please be advised that today's conference is being recorded. [Operator Instructions] I would now like to hand the conference over to your speaker today, Mr. Todd Trapp. Sir, you may begin."
1,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,1,Todd A. Trapp,CFO & VP,EXECUTIVES,"Thank you, Crystal, and good morning, and welcome to Abiomed's Fourth Quarter Fiscal 2020 Earnings Conference Call. This is Todd Trapp, Vice President and Chief Financial Officer. And we're here with Mike Minogue, Abiomed's Chairman, President and Chief Executive Officer; and Dr. Seth Bilazarian, Abiomed's Chief Medical Officer."
2,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,2,Todd A. Trapp,CFO & VP,EXECUTIVES,"The format for today's call will be as follows: First, Mike will discuss fourth quarter business and operational highlights, and then I'll review our financial results, which are outlined in today's press release. Next, Dr. Seth Bilazarian will provide a clinical update related to COVID-19 and the role of Impella and ECMO in treating these patients, including 2 case presentations. After that, we will open the call to your questions."
3,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,3,Todd A. Trapp,CFO & VP,EXECUTIVES,Related documents can be found on our website under the Investors section.
4,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,4,Todd A. Trapp,CFO & VP,EXECUTIVES,"Before we begin, I would like to remind everyone that today's call includes forward-looking statements. The company cautions investors that any forward-looking statements that involve risks and uncertainties and are not a guarantee of future performance. Actual results may differ materially due to a variety of factors identified in our earnings press release, and our most recent 10-K and 10-Q filed with the SEC. We do not undertake any obligation to update forward-looking statements."
5,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,5,Todd A. Trapp,CFO & VP,EXECUTIVES,"This presentation also contains some scientific discussions of future medical devices and indications, which have not been declared, approved or otherwise evaluated by the U.S. Food and Drug Administration. It is intended for investors only, it is not to be used for medical treatment purposes. Nothing herein constitutes a claim regarding the safety or efficacy of future products or indications."
6,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,6,Todd A. Trapp,CFO & VP,EXECUTIVES,"With that, let me turn the call over to Abiomed's Chairman, President and Chief Executive Officer, Mike Minogue."
7,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,7,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"Thank you, Todd. Good morning, everyone. I'd like to start by saying I hope you and your loved ones are staying safe and healthy. Everyone at Abiomed would like to express our thanks to the frontline health care workers and medical community for all they're doing to support patients and provide much-needed medical care."
8,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,8,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"Also, I appreciate our employees who continue to directly support patients 24/7 at hospitals, and our headquarters manufacturing, service and shipping teams who continue to come to work to make and ship our Impella heart pumps. At Abiomed, our culture of patients-first drives our execution, and this crisis is bringing out the best of our employees and customers. We are helping hospitals and caregivers by donating and shipping protective gear, including gloves, shields, surgical masks and KN95 mass directly to hospitals and government agencies serving our communities. In addition, we help manage patients on-site and online in the cloud with Impella Connect at over 130 hospitals, also stepping up the rollout of Impella Connect, which is a HIPAA compliant service that allows Abiomed personnel to remotely monitor the Impella console and interact with the medical providers appropriately on hemodynamic management, alarms and weaning."
9,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,9,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,We provide this on-site and on-phone support at no additional cost to our customers as part of our commitment to improving outcomes.
10,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,10,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"We currently have identified more than 100 COVID-19 cases now in our Impella Quality Assurance or IQ database. Every Friday, we host 200-plus physicians on our COVID-19 Skype call to identify lessons learned in treating COVID-19 patients with cardiogenic shock, myocarditis or organ failure and review specific case studies on Impella and ECMO support."
11,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,11,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"And finally, we've created an online Abiomed prayer community and an Abiomed charitable foundation to help employees and those in need."
12,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,12,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"Now looking back at the fourth quarter. In February, we saw our U.S. business stabilize through the first half of March despite 2 misleading publications by Amin and Dhruva. Appearing in print, we believe that our actions to educate the medical community on the lack of the validity of the studies to highlight 14 years of FDA-audited Impella data, and to present more recent and robust publications, we're having the desired impact with positive momentum in early March. However, the business was negatively impacted in the second half of March from the COVID-19 pandemic."
13,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,13,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"As a result, Abiomed delivered $207 million in revenue, flat year-over-year, with an operating margin at 28.1%. We believe that COVID-19 reduced Q4 revenues by $17 million or 8 points of growth."
14,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,14,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"For the full fiscal year, revenue of $841 million increased 9% versus fiscal year of 2019 with operating margins of 29.6%. Todd will provide more details on the financials shortly."
15,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,15,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"For today's call, I will cover our business in the COVID-19 environment, highlight our key fiscal '21 goals to transition to Abiomed 2.0 and provide updates on new products and our strategic acquisition of ECMO Technology announced tonight."
16,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,16,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"So first, I will highlight our Q1 plans to adapt and execute. We are preparing for the worst and hoping for the best. Our company priorities have aligned around supporting patients and customers, protecting the safety of our employees and their families and manufacturing our life-saving heart pumps. Our number of Impella patients in the U.S. and EU declined approximately 45% from mid-March into April from last year."
17,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,17,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"Heart fail remains the leading cause of death, and it will continue to increase with COVID-19 in the overall population. However, in the short term, our Impella procedures have limitations because many patients are staying home in compliance with local and federal regulations, and, out of fear, they are not going to the hospital. We have seen that these delays will worsen outcomes as reported by agencies around the world. Unfortunately, until governments and health care officials allow physicians to ramp up patient treatment with acute symptoms, elective, urgent and emergent patients will be limited."
18,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,18,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"In the long term, there will be an increased need for Impella support because, eventually, the high-risk injury post COVID-19 recovery. The coronavirus initially attacks the lungs, and for some, leads to failure of the heart and kidneys, with right heart failure from pulmonary embolism, myocarditis or cardiogenic shock."
19,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,19,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"We see Impella as a viable and valuable solution for these extremely sick patients in shock with heart failure, and in the coming months, more case studies will be published. For the fiscal year, we have designated a 3-Phase Red, Yellow, Green plan for the company to face the realities of the current market and to keep our team engaged and focused on our goals. This approach will allow us to come out of the pandemic, ready to grow the business and help patients with our lifesaving technology when demand returns."
20,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,20,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"Our Q1 environment is called Red due to the restrictions noted on elective cases and access to most hospitals, along with limitations on headquarter's operations. During this Red phase, we are supporting patients, maintaining inventory, accelerating Impella Connect, reducing costs and investing in innovation to meet the needs of the next phase of recovery. We have also taken steps to mitigate the negative business impact of coronavirus. We've adjusted our costs to more appropriately match our revenues in Q1."
21,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,21,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,These reductions are designed to share the burden across the business and start with salary cuts for the leadership team.
22,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,22,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"This will protect our cash reserves, preserve full-time jobs, allow for investment in innovation and position us to achieve our fiscal '21 Abiomed 2.0 goals."
23,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,23,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"Overall, this Red action plan is intended to last through Q1. We are focused on controlling our own destiny by increasing our revenue and patient utilization sequentially in each month through June. Our employees already are wearing protective gear and masks that we've been able to provide. And during this time, we also plan to be testing our employees for the COVID-19 antibody."
24,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,24,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"We have adapted our business model with more interactive and online internal and external training, education and patient support. This is what we call Abiomed 2.0, which encompasses SmartAssist, Impella Connect, CAMP PCI, which is interactive and online training and education. Abiomed 2.0 will augment and accelerate our training, data and time playbook in fiscal '21."
25,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,25,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"We believe that the recent elective procedure guidance by government agencies and CMS has started the recovery phase or Yellow phase, in selected areas of the country. We think this increases utilization into the summer months. This Yellow summer phase will allow for more protected PCI and the return of protocols for stemi heart attacks and cardiogenic shock. Medical societies and government agencies have also initiated media campaigns to advise the public to seek immediate health care support when experiencing heart failure."
26,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,26,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"Finally, in the second half of the fiscal year, we transition to Phase Green as we are back supporting more patients in the hospitals, providing internal and external training and education online with CAMP PCI and virtual proctoring, and manufacturing, again, at a higher capacity in both Danvers, Mass and in Aachen, Germany."
27,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,27,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"Independent of these 3 phases, we will remain fanatical on achieving our fiscal '21 Abiomed 2.0 goals on product innovation, Impella Connect and CAMP PCI. We will prioritize and fully fund these initiatives because we have the benefit of our solid balance sheet with no debt."
28,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,28,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"Abiomed 2.0 will drive accelerated rollout of our remote interface technology with SmartAssist and Impella Connect. The SmartAssist platform is now used in 900 of our 1,441 U.S. sites, and assists 80% of Impella procedures. Within the fourth quarter, we also expanded Impella Connect to 50 new sites, and today, we are in 131 hospitals, and more than 200 additional hospitals already have the hardware installed and simply require the hospital WiFi permission."
29,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,29,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"Abiomed plans to transition the majority of our hospitals to online Impella Connect monitoring in fiscal '21. This captured console data will further help us create and improve new AI algorithms to optimize patient care. No other company in this space has this capability. Abiomed 2.0 will launch CAMP PCI, which stands and training endeavor in the company's history. It will be led by a faculty of experts in the field of high- risk PCI and circulatory support. This online, password-protected training platform gives us the ability to reach thousands of physicians remotely and share best practices, techniques and technologies to achieve more effective and complete PCI. We are launching CAMP PCI this quarter and will conduct a virtual user meeting for the faculty and top users in June."
30,"Abiomed, Inc., Q4 2020 Earnings Call, Apr 30, 2020",Presentation,30,Michael R. Minogue,"Chairman, CEO & President",EXECUTIVES,"We are focused in fiscal '21 on advancing our innovation overall, starting with the rollout of Impella 5.5 with full market release in the U.S. The limited launch of Impella 5.5 with SmartAssist is progressing well and is now in 69 of our top sites, with publications pending on over 300 patients. Built for surgeons, the Impella 5.5 is the most -compatible hard pump on the market. It is the only forward flow, fully unloading pump designed to be weanable with smart assist AI algorithms. Since it is inserted through the axillary artery, it does not require a sternotomy and allows for immediate patient ambulation, which has been shown to improve outcomes."
