,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",Presentation,0,Operator,,,"[Operator Instructions] I will now hand you over to your host, Sébastien Bazin, Chairman and CEO, to begin today's conference. Thank you."
1,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",Presentation,1,Sébastien M. Bazin,Chairman & CEO,EXECUTIVES,"Good afternoon, everyone. Thank you so much for connecting yourself to the first quarter revenue results for Accor."
2,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",Presentation,2,Sébastien M. Bazin,Chairman & CEO,EXECUTIVES,"So we're going to go swiftly on the numbers of pages. If you could go to Page #4, where you have the global map of the world, which you obviously see first with the red dot is where the epidemic is unfortunately present and growing in many of those jurisdictions. And the title says that, I guess, 90% of Accor hotels globally are either closed for business or they close for booking, and mini centers owners for insurance and other reasons wants the hotel to be maintained open even though there is no occupancy."
3,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",Presentation,3,Sébastien M. Bazin,Chairman & CEO,EXECUTIVES,"If you want to have a precise number, the numbers are following as of last night: We have 3,142 hotels being closed out of a network of 5,085, which is 62% of the portfolio is closed. Closed, meaning really, basically, with nobody except maybe somebody on the maintenance side."
4,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",Presentation,4,Sébastien M. Bazin,Chairman & CEO,EXECUTIVES,"That number varies quite a bit in between regions. So I'll give you the 5 big regions for Accor. Europe, we have 2,330 (sic) [ 23,330 ] hotels being closed out of 30,545, which is 77% of the hotels are closed. In Asia Pacific, 311 of hotels are closed out of a network of 1,225. Only 25% of the hotel are closed. Notice is made that 100% of the hotel in China are today back and reopened. South America, 277 hotels are today closed out of a network of 397, which is 48% -- sorry, in South America, first. Sorry, I went too quickly. South America, 277 closed out of a network of 397, i.e., 70%. Middle East and Africa, 135 hotel being closed out of a network of 296, i.e., 46% being closed. And North America and Canada, 89 hotel are closed out of a network of 122, i.e., 73% of the hotels are closed."
5,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",Presentation,5,Sébastien M. Bazin,Chairman & CEO,EXECUTIVES,"If you go to the next page, which is Page #5. What you have here is, obviously, the 2 column. On the left column is something which all of you know to the risk of being dead drunk is as of the last few days' consensus, we're looking for a negative growth GDP worldwide of minus 3%. We're looking for a lot of government stimulus packages being made on a national level, which is, in many instances, way higher than 5% of the local GDP. And you have -- in addition to what the national government may and might do, you have liquidity being provided by the 2 major central banks. The European central banks, which is today offer EUR 1.1 trillion; and you have the Fed injecting EUR 2.3 trillion as of the last few days. Of course, those numbers varies on a weekly basis."
6,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",Presentation,6,Sébastien M. Bazin,Chairman & CEO,EXECUTIVES,"What you have on the right side is what could be claimed as being direct support to the financial -- to the travel and leisure industry. You have some tax deferral. You have some social charges either being extended or likely to be canceled. It's going to be on a case-by-case basis and, of course, on a country- by-country basis. And you have a lot of reimbursement deferral of booking cancellation. Again, varies quite a bit in different geographies."
7,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",Presentation,7,Sébastien M. Bazin,Chairman & CEO,EXECUTIVES,"Indirect support subsidies for the furlough. As you know, Accor has furloughed 210,000 employees under Accor branch. And of course, they've been stipulated over the last few weeks. It's -- not only varies, but it is extraordinary different in between workers in Continental Europe being maintained at 85% plus of the last month salary, and in other jurisdiction being as low as 20% of what you could have been compensated at the week before or the month before."
8,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",Presentation,8,Sébastien M. Bazin,Chairman & CEO,EXECUTIVES,"And you have a progressive deconfinement being done in different countries. You know it's been happening in China. It's been happening in the last 4, 5 days in South Korea. The case in Scandinavia, in most of those countries, in Slovenia. In Austria, next week. Likely in Germany. So we go back to this maybe on your Q&A."
9,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",Presentation,9,Sébastien M. Bazin,Chairman & CEO,EXECUTIVES,"The one thing which is not on the slide here because we've been digging on those. What experts do say is the international tourist arrivals in the world likely to be down between 20% and 30% in 2019. I'm assuming that, that 20% to 30% is on an asset of 1.5 billion, which is a number of international travelers that we have experienced in 2019. That number may be low, by the way, because if we don't reopen any frontiers, my assessment would be probably more bearish than what I see from -- I believe it's WTTC."
10,"Accor SA, Q1 2020 Sales Trading Statement Call, Apr 22, 2020",Presentation,10,Sébastien M. Bazin,Chairman & CEO,EXECUTIVES,"On the next page, which is Page 6, you go on 2 columns as well. Title says -- and we've been saying it quite a bit on -- the asset-light profiles company is clearly a true asset in terms of ability to weather the storm. On the left side, we talk about the balance sheet with the management of our own debt and cash liability and debt profile. We have ample cash position immediately accessible if there were any need for it of EUR 2.5 billion at the end of March 22 without accounting for EUR 1.2 billion of an existing revolver credit line in which we had successfully renegotiated and obtained waivers or, i.e., holidays, on any covenant testing delayed by a year until June 2021."
