,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",Presentation,0,Operator,,,"Good day, and welcome to the Accuray Reports Fiscal 2020 Third Quarter Financial Results Conference Call. [Operator Instructions] Please note this event is being recorded."
1,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",Presentation,1,Joe Diaz,"Lytham Partners, LLC",ATTENDEES,I would now like to turn the conference over to Joe Diaz with Lytham Partners. Please go ahead.
2,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",Presentation,2,Joe Diaz,"Lytham Partners, LLC",ATTENDEES,"Thank you, Alisa, and good afternoon to everyone. Welcome to Accuray's conference call to review financial results for the third quarter of fiscal year 2020, which ended March 31, 2020. During our call this afternoon, management will review recent corporate developments."
3,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",Presentation,3,Joe Diaz,"Lytham Partners, LLC",ATTENDEES,"Joining us today are Josh Levine, Accuray's President and Chief Executive Officer; and Shig Hamamatsu, Accuray's Senior Vice President and Chief Financial Officer."
4,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",Presentation,4,Joe Diaz,"Lytham Partners, LLC",ATTENDEES,"Before we begin, I would like to remind you that our call today includes forward-looking statements. Actual results may differ materially from those contemplated or implied by these forward-looking statements. Factors that could cause these results to differ materially are set forth in the press release we issued just after the market closed this afternoon as well as in our filings with the Securities and Exchange Commission. The forward-looking statements on this call are based on information available to us as of today's date, and we assume no obligation to update any forward-looking statements as a result of new information or future events, except to the extent required by applicable securities laws. Accordingly, you should not put undue reliance on any forward-looking statements."
5,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",Presentation,5,Joe Diaz,"Lytham Partners, LLC",ATTENDEES,"Two housekeeping items for today's call. First, during the Q&A session, we request that participants limit themselves to 2 questions and then requeue with any follow-ups. Second, all references we make to a specific quarter in the prepared remarks are to our fiscal year quarters. For example, statements regarding our third quarter refer to our fiscal third quarter ended March 31, 2020."
6,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",Presentation,6,Joe Diaz,"Lytham Partners, LLC",ATTENDEES,"Now I'd like to turn the call over to Accuray's President and Chief Executive Officer, Josh Levine. Joshua?"
7,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",Presentation,7,Joshua H. Levine,"President, CEO & Director",EXECUTIVES,"Thanks, Joe, and thank you to everyone joining us today. I also want to thank Suzanne Winter, our Chief Commercial Officer and Head of R&D; and Mike Hoge, our Senior Vice President of Global Operations specific areas of responsibility as we mobilize our efforts and resources across the company to address COVID-19, I thought it would be helpful to have both of them available to answer potential questions that are related to critical information in their respective areas."
8,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",Presentation,8,Joshua H. Levine,"President, CEO & Director",EXECUTIVES,"Clearly, because COVID-19 is at the forefront of everyone's mind, my prepared remarks this afternoon will focus on 3 primary topics: first, the impact that the pandemic is having on our customers' clinical practices and workflow; second, what we are doing to support them while keeping our employees safe; and lastly, our key areas of focus related to business continuity, both operational and financial."
9,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",Presentation,9,Joshua H. Levine,"President, CEO & Director",EXECUTIVES,"Although fighting the coronavirus has taxed the health care industry worldwide, the reality is that radiotherapy treatments are continuing around the world, and although based on direct feedback from customers, treatment delivery is being managed with modified clinical practice protocols and workflow. For example, lower risk and nonurgent cases and treatment starts are being pushed out and scheduled treatment times have been extended to allow for disinfection of treatment bunkers and equipment between patients. This has resulted in overall decreased patient treatment volumes."
10,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",Presentation,10,Joshua H. Levine,"President, CEO & Director",EXECUTIVES,"There has also been an increase in the use of hypofractionation and ultra-hypofractionation to limit the risk of COVID-19 exposure for both patients and department staff, which we believe Accuray is uniquely positioned to support with our CyberKnife and Radixact Systems."
11,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",Presentation,11,Joshua H. Levine,"President, CEO & Director",EXECUTIVES,"One of the other areas of paramount importance, given COVID-19 impacts to the overall hospital environment and radiotherapy department clinical practice protocols, is the health and safety of our frontline employees, almost 1/3 of our entire employee population, our global service team personnel, who are responsible for installation, preventative maintenance and break fix activities that support our installed base customers. During moments like these, our ability to provide service and clinical application support to ensure that our customers can continue treating patients safely and effectively is critical."
12,"Accuray Incorporated, Q3 2020 Earnings Call, Apr 28, 2020",Presentation,12,Joshua H. Levine,"President, CEO & Director",EXECUTIVES,"I'm incredibly inspired by these frontline heroes and their tireless dedication to supporting customers and patients, and I want to thank them publicly. Our service teams around the world are following customer and institution-specific defined safety protocols when they are on-site at customer locations, and we are helping to ensure their safety by providing personal protective equipment. I'm extremely proud of the collective efforts of the Accuray team involved in the day-to-day support of our customers."
