,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",Presentation,0,Operator,,,"Good morning, and welcome to the AngioDynamics Fiscal Year 2020 Third Quarter Earnings Call. [Operator Instructions] As a reminder, this conference is being recorded."
1,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",Presentation,1,Operator,,,The news release detailing the fiscal 2020 third quarter results crossed the wire earlier this morning and is available on the company's website. This conference call is also being broadcast live over the Internet at the Investors section of the company's website at www.angiodynamics.com. And the webcast replay of the call will be available at the same site approximately 1 hour after the end of today's call.
2,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",Presentation,2,Operator,,,"Before we begin, I would like to caution listeners that during the course of this conference call, the company will make projections or forward-looking statements regarding future events, including statements about expected revenue, adjusted earnings and gross margins for fiscal year 2020. Management encourages you to review the company's past and future filings with the SEC, including, without limitation, to the company's most recent annual report on Form 10-K as well as most recent Form 10-Q for the quarter ending February 29, 2020, which identify specific factors that may cause the actual results or events to differ materially from those described in the forward-looking statements."
3,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",Presentation,3,Operator,,,A slide package offering insight into the company's financial results is also available on the Investors section of the company's website under Events and Presentations. This presentation should be read in conjunction with the press release discussing the company's operating results and financial performance during this morning's conference call.
4,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",Presentation,4,Operator,,,"I'd now like to turn the call over to Jim Clemmer, AngioDynamics' President and Chief Executive Officer. Mr. Clemmer?"
5,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",Presentation,5,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"Thank you, Melissa, and good morning, everyone, and thank you for joining us for AngioDynamics' fiscal 2020 third quarter earnings call."
6,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",Presentation,6,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"Joining me on today's call is Steve Trowbridge, AngioDynamics' Executive Vice President and Chief Financial Officer, who will provide a detailed analysis of our third quarter financial performance."
7,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",Presentation,7,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"Given the impact that the COVID-19 pandemic is having on our company and our customers, during this call, Steve and I will take a tailored approach to assessing our third quarter results and discussing our perspectives on the business moving forward. With respect to the third quarter, we will discuss our forward, we will discuss our perspectives looking through the lens of the facts as they exist today, while acknowledging that the facts, circumstances and situations for everyone remain highly fluid and dynamic and are likely to change significantly in the short and medium term."
8,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",Presentation,8,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"With that said, I'd now like to provide an overview of our operating and execution highlights for the quarter as well as some commentary on the impacts of the COVID-19 pandemic on our company."
9,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",Presentation,9,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"We had a strong third quarter. We reported solid top line performance during the quarter. Our revenue increased 6.5% year-over-year and increased 9.3% when excluding Asclera, and it was driven by growth in all 3 of our businesses. In addition, we are pleased to report that we delivered adjusted EPS of $0.01 per share. We believe this clearly demonstrates our ability to simultaneously invest in those businesses that will fuel our transformation into a growth company while being thoughtful and disciplined about our overall spending. We believe these results provide continued evidence of our successful ongoing transformation into a more focused medical technology company delivering unique and innovative health care solutions into larger and faster growth markets."
10,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",Presentation,10,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"During the quarter, we remained focused on 3 drivers to continue this transformation: Internal research and development, M&A and clinical and regulatory pathway expansion. Let me update you on our accomplishments in each of these areas."
11,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",Presentation,11,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"On the R&D front, we continue to focus investments on our 3 key technologies: AngioVac, AURYON and NanoKnife, while seeking out ways to increase the profitability profile of our other products. Earlier this year, we announced that we had launched NanoKnife 3.0 and AngioVac 3.0. And we spoke with you about expanding our AngioVac platform through the continued commitment to focused internal research and development. I'm happy to say that we remain on track to deliver 2 new AngioVac products in the next 12 to 18 months, and we look forward to sharing these developments with you in the future."
12,"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020",Presentation,12,James C. Clemmer,"CEO, President & Director",EXECUTIVES,"In terms of our recent M&A activities, we continue to advance the AURYON technology and progress towards commercial launch through investment in 3 primary areas: ensuring a strong and robust supply chain, building position and sales training programs and building a dedicated selling and marketing channel to take this product to the market in the proper way."
