,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,0,Operator,,,Welcome to Bank7 Corp.'s first Quarter earnings call.
1,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,1,Operator,,,"Before we get started, I'd like to highlight the legal information disclaimer on Page 21 of the investor presentation. For those who do not have access to the presentation, management is going to discuss certain topics that contain forward-looking information, which is based on management's beliefs as well as assumptions made by information currently available to management. Although management believes that the expectations reflected in such forward-looking statements are reasonable, they can give no assurance that such expectations will prove to be correct. Such statements are subject to certain risks, uncertainties and assumptions, including, among other things, the direct and indirect effect of economic conditions on interest rates, credit quality, loan demand, liquidity and monetary and supervisory policy of banking regulators. Should one or more of these risks materialize or should underlying assumptions prove incorrect, actual results may differ materially from those expected."
2,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,2,Operator,,,"Also, please note that this conference call contains certain references to non-GAAP financial measures. You can find reconciliations of these non-GAAP financial measures to GAAP financial measures in an 8-K that was filed by the company this morning."
3,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,3,Operator,,,"Representing the company on today's call, we have Brad Haines, Chairman; Tom Travis, President and CEO; J.T Phillips, Chief Operating Officer; Jason Estes, Chief Credit Officer; Kelly Harris, Chief Financial Officer; and Henry Litchfield, General Counsel."
4,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,4,Operator,,,"With that, I'll turn the call over to Tom Travis."
5,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,5,Thomas L. Travis,"President, CEO & Director",EXECUTIVES,"Thank you. Thanks for joining us today. We begin by acknowledging the pain that's inflicted upon our fellow citizens in country, especially our friends in places like New York, who've been hit especially hard. We support and appreciate the efforts being made all across the country, especially the work of our medical professionals and first-line defenders, and we stand together to defeat and overcome the terrible pandemic. It truly it is a terrible time."
6,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,6,Thomas L. Travis,"President, CEO & Director",EXECUTIVES,"It's also wonderful to see so many aspects of American exceptionalism coming together. Government policies, the treasury department, the SBA, the USDA, the state banking department, the Federal Reserve, everyone working closely with citizens in the private sector. We're grateful for everyone's efforts."
7,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,7,Thomas L. Travis,"President, CEO & Director",EXECUTIVES,I'd like to take a moment to congratulate and thank the Bank7 team members for their tireless work.
8,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,8,Thomas L. Travis,"President, CEO & Director",EXECUTIVES,We truly have an exceptional company. Our plan to work remotely was put in place very quickly and has functioned very well. Our operations and IT groups have us working seamlessly. We're very proud of their efforts.
9,"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,9,Thomas L. Travis,"President, CEO & Director",EXECUTIVES,"I also want to thank Jason Estes, our Chief Credit Officer, and the entire centralized credit function. They quickly and professionally enabled us to handle loan modifications in the new PPP loans in a very efficient manner."
