,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,0,Operator,,,Greetings. Welcome to the Blonder Tongue Fourth Quarter 2019 Earnings Call. [Operator Instructions]
1,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,1,Edward Rowland Grauch,President & CEO,EXECUTIVES,"I will now turn the conference over to your host, Ted Grauch. You may begin."
2,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,2,Edward Rowland Grauch,President & CEO,EXECUTIVES,"Great. Thank you. Good morning, everybody. Welcome to Blonder Tongue's 2019 Q4 and Full Year Financial Reporting Conference Call. Thank you for joining us this morning. And I'd like to take a moment to thank the entire Board of Directors and our management team for putting their trust in me in my new role as President and CEO since January 1 this year."
3,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,3,Edward Rowland Grauch,President & CEO,EXECUTIVES,"Before we begin our presentation, I'd like to remind all callers that my statements and those made by other Blonder Tongue representatives speaking today will contain forward-looking statements regarding future events, including the management's view of our prospects, financial performance, technology -- technological developments and the evolving trends in the marketplace."
4,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,4,Edward Rowland Grauch,President & CEO,EXECUTIVES,"As you know, the future is impossible to predict. So I caution you that actual results may differ from those that may be projected in our comments this morning. For additional information concerning factors that could cause actual results to differ from the information that we will be discussing this morning, I would ask you to refer to our prior SEC filings, including our 10-Q filings for the first, second and third quarters of 2019 as well as for prior years, our upcoming 10-K for 2019 and for past years 2018 and 2017 and our 8-Ks."
5,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,5,Edward Rowland Grauch,President & CEO,EXECUTIVES,"With me today are Steve Shea, Chairman of the Board of Blonder Tongue Laboratories; and Eric Skolnik, our Chief Financial Officer and Senior Vice President. Our remarks will follow in the same sequence. Following our presentations, all of us will be available to answer any questions you might have during the Q&A session."
6,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,6,Edward Rowland Grauch,President & CEO,EXECUTIVES,"Blonder Tongue completed 2019 with net sales of $19,842,000, which was a decrease of 8.6% below the $21.7 million we reported for 2018. These reduced sales resulted in a net loss of $742,000 contrasted with a net loss of $1.339 million in 2018. These losses were a direct result of reduced sales volumes in DOCSIS-compliant modem and CMTS products as well as declines in a particular line of digital video and coding products and traditional HFC distribution technology. Those losses were partially compensated for by an increase in sales in our NXG digital video signal processing platform and our new CPE set-top box systems initiative."
7,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,7,Edward Rowland Grauch,President & CEO,EXECUTIVES,"These results are in no way acceptable to the company, its management or to our Board of Directors. The company has already taken a number of measures to improve our future performance and are planning and currently implementing additional changes, some of which we will touch on during the call today. Although the overall results in 2019 were not acceptable, the company did have a number of specific positive accomplishments and successes during the year that we are building on for 2020 and that we consider significant towards achieving our short- and mid-term goals."
8,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,8,Edward Rowland Grauch,President & CEO,EXECUTIVES,"But before we get into specific actions taken as a result of our 2019 performance, I would like to cover details of the company's status and what we've been dealing with regarding the current COVID-19 situation. Blonder Tongue falls into an essential business category due to our U.S.- based manufacturing, engineering design and sales of telecommunications equipment. That equipment goes out to a large number of telephone, cable and municipal fiber optic service operators around the country, both large and small. The company has been able to remain open for business through the crisis."
9,"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,9,Edward Rowland Grauch,President & CEO,EXECUTIVES,"Beginning in very early February, the company began implementing enhanced cleaning and disinfecting processes on a daily basis at our primary manufacturing and headquarters facility in Old Bridge, New Jersey. The team has been updating those cleaning and precautionary practices on a constant basis over the last 2 months, as additional information about the virus and its attributes have been better understood and reported."
