,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,0,Operator,,,"Good afternoon, and welcome to the Data I/O Corporation First Quarter 2020 Financial Results Conference Call. [Operator Instructions]"
1,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,1,Operator,,,"Please note, this event being recorded."
2,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,2,Operator,,,I would now like to turn the conference over to Jordan Darrow. Please go ahead.
3,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,3,Jordan M. Darrow,Darrow Associates Inc.,ATTENDEES,"Thank you, Grant, and welcome, everyone, to the Data I/O Corporation First Quarter 2020 Financial Results Conference Call."
4,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,4,Jordan M. Darrow,Darrow Associates Inc.,ATTENDEES,"With me today are Anthony Ambrose, President and CEO of Data I/O Corporation; and Joel Hatlen, Chief Operating Officer and Chief Financial Officer of Data I/O."
5,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,5,Jordan M. Darrow,Darrow Associates Inc.,ATTENDEES,"Before we begin, I'd like to remind you that statements made in this conference call concerning COVID-19, future revenues, results from operations, financial position, markets, economic conditions, estimated impact of tax reform, product releases, new industry partnerships and any other statements that may be construed as a prediction of future performance or events are forward-looking statements, which involve known and unknown risks, uncertainties and other factors, which may cause actual results to differ materially from those expressed or implied by such statements."
6,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,6,Jordan M. Darrow,Darrow Associates Inc.,ATTENDEES,"These factors include uncertainties as to the impact from the COVID-19 pandemic, along with expected reopening and recovery efforts within the supply chain and among our customer base."
7,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,7,Jordan M. Darrow,Darrow Associates Inc.,ATTENDEES,"Levels of orders, ability to report revenues based upon the timing of product deliveries and installations, market acceptance of new products, changes in economic conditions and market demand, pricing and other activities by competitors, and other risks, including those described from time-to-time in the company's filings on Form 10-K and 10-Q with the Securities and Exchange Commission, press releases and other communications."
8,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,8,Jordan M. Darrow,Darrow Associates Inc.,ATTENDEES,The accuracy and completeness of forward-looking statements should not be unduly relied upon. Data I/O is under no duty to update any of these forward-looking statements.
9,"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,9,Jordan M. Darrow,Darrow Associates Inc.,ATTENDEES,"Beyond today's conference call, our next interaction with shareholders will be at our Annual Meeting to be held on May 18 at 10:00 a.m. Pacific time at our corporate headquarters in Redmond, Washington. In this event, since our proxy agent was unable to handle mailing of documents to certain shareholders due to COVID-19 challenges, we have made our information available via Internet delivery as needed. We have provided ample time for all shareholders to cast their votes, and we hope you do. Shareholders may not come to our offices, but instead may avoid social gathering risk by listening to our annual meeting via conference call. Participation details are available on our website in the Investor Relations section."
