,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,0,Operator,,,"This conference call may contain forward-looking statements within the meaning of Section 27A of the Securities Act of 1933 and Section 21E of the Securities Exchange Act of 1934. The words believe, expect, anticipate, intend, estimate, may, should, could, will, plan, future, continue and other expressions that are predictions of or indicate future events and trends and that do not relate to historical matters, identify forward-looking statements."
1,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,1,Operator,,,"These forward-looking statements are based largely on our expectations or forecast of future events can be affected by inaccurate assumptions and are subject to various business risks and known and unknown uncertainties, a number of which are beyond our control. Therefore, actual results could differ materially from the forward-looking statements contained in this document, and readers are cautioned not to place undue reliance on such forward-looking statements."
2,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,2,Operator,,,"Digital Ally will undertake no obligation to publicly update or revise any forward-looking statements, whether as a result of new information, future events or otherwise. A wide variety of factors could cause or contribute to such differences and could adversely impact revenues, profitability, cash flows and capital needs. There can be no assurance that the forward-looking statements contained in this document will, in fact, transpire or prove to be accurate."
3,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,3,Operator,,,Now I'd like to turn the call over to Stan Ross.
4,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,4,Stanton E. Ross,"Chairman, President & CEO",EXECUTIVES,"Thanks, everybody, for joining us today. I've got with me Tom Heckman, the company's CFO. Tom will do a quick recap of last year's numbers and fourth quarter numbers. And we will probably move rather quickly on into visiting about what we still believe 2020 looks like in regards to our existing products and also touch on our most recent press release that we announced today concerning the disinfectant that we will now be marketing to our first responders as well."
5,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,5,Stanton E. Ross,"Chairman, President & CEO",EXECUTIVES,"So Tom, I'll let you do a little quick recap, and then we'll get into the forward-looking stuff."
6,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,6,Thomas J. Heckman,"CFO, VP, Treasurer & Secretary",EXECUTIVES,"All right. Thank you, Stan, and welcome, everyone. I appreciate you joining us today. I do want to let you know that we have filed our Form 10-K with the SEC this morning. And it is a full recap of the year 2019 versus 2018, and I certainly refer you to that. I'm not going to go through that in any significant detail."
7,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,7,Thomas J. Heckman,"CFO, VP, Treasurer & Secretary",EXECUTIVES,"I'll try and hit some of the high points. And I know with the current environment and everything that's going on, 2019 seems like ancient history with what we're dealing with right now. So I won't spend a lot of time with it. We'll talk about what's happened recently, including in the first quarter here and where we sit today."
8,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,8,Thomas J. Heckman,"CFO, VP, Treasurer & Secretary",EXECUTIVES,"So anyway, with that in mind, I would tell you that 2019, on a bottom line, about $5 million better than the previous year. And that was primarily due to the patent litigation settlement that we entered into with WatchGuard, where gained $6 million in funding through that. Offset by a $3.3 million increase in our patent litigation liability, the fair value of that. So in essence, that contributed about $3 million, a little less than $3 million to our bottom line. So we had good improvement elsewhere."
9,"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,9,Thomas J. Heckman,"CFO, VP, Treasurer & Secretary",EXECUTIVES,"If you look at the top line, really, I think it's more indicative of 2 factors. Number one, we're trying to move people more to a service plan and platform rather than a product sale, a hardware sale program. In that regard, our overall sales declined 15%, but our service and other income increased by 25%, not income, I mean, revenue. And it's clear why we're doing that. Our margins -- our gross margins on service hit 77% in 2019 versus 76% in 2018. So our overall plan seems to be working from that standpoint. We are shifting more sales to the service channel rather than the hardware sales."
