,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,0,Operator,,,"Good day, and welcome to Dow First Quarter 2020 Earnings Call. [Operator Instructions] Also, today's call is being recorded."
1,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,1,Colleen Kay,Vice President of Investor Relations,EXECUTIVES,"I would now like to turn the call over to Colleen Kay. Please go ahead, ma'am."
2,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,2,Colleen Kay,Vice President of Investor Relations,EXECUTIVES,"Good morning, everyone. Thank you for joining us to discuss the first quarter financial results for Dow. We're making this call available via webcast, and we have prepared slides to supplement our comments during this conference call. They are posted on the Investor Relations section of Dow's website and through the link to our webcast."
3,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,3,Colleen Kay,Vice President of Investor Relations,EXECUTIVES,"I'm Colleen Kay, Investor Relations Vice President for Dow. And joining me on the call today are Jim Fitterling, Dow's Chairman and Chief Executive Officer; and Howard Ungerleider, President and Chief Financial Officer."
4,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,4,Colleen Kay,Vice President of Investor Relations,EXECUTIVES,"Please read the forward-looking statement disclaimer contained in the earnings news release and slides. During our call, we will make forward-looking statements regarding our expectations or predictions about the future. Because these statements are based on current assumptions and factors that involve risks and uncertainties, our actual performance and results may differ materially from our forward-looking statements. Dow's Forms 10-Q and 10-K include detailed discussion of principal risks and uncertainties which may cause such differences."
5,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,5,Colleen Kay,Vice President of Investor Relations,EXECUTIVES,"Unless otherwise specified, first quarter 2019 historical financial measures presented today are on a pro forma basis, and all financials, where applicable, exclude significant items. We'll also refer to non-GAAP measures. A reconciliation to the most directly comparable GAAP financial measure and other associated disclosures is contained in the Dow earnings release, in the slides that supplement our comments today and on the Dow website."
6,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,6,Colleen Kay,Vice President of Investor Relations,EXECUTIVES,"On Slide 2, you'll see our agenda for the call. Jim will begin with the first quarter highlights, share details on Dow's response to COVID-19 and discuss the operating performance of the segments. Howard will provide an update on Sadara, then move into a financial overview of the quarter and provide our modeling guidance. And finally, Jim will close with some remarks on key factors that differentiate Dow. Following that, we will take your questions."
7,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,7,Colleen Kay,Vice President of Investor Relations,EXECUTIVES,"With that, I'll turn the call over to Jim."
8,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,8,James R. Fitterling,CEO & Chairman,EXECUTIVES,"Thank you, Colleen, and thanks to everyone for joining us this morning. Before we begin, I'd like to first recognize Neal Sheorey for the tremendous role he's played in our Investor Relations team over the past 4 years. We're glad to have him leading our Coatings & Performance Monomers business. And also, a very warm welcome to Colleen Kay, who succeeded Neal as our new Investor Relations Vice President this quarter."
9,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,9,James R. Fitterling,CEO & Chairman,EXECUTIVES,"Starting on Slide 3, I'll begin with some notable highlights from the first quarter. We delivered net sales in line with our adjusted guidance as we met strong demand in our consumer staple, nondurable applications such as food, health and hygiene, packaging and surfactants and solvents for cleaning products. Our volume, excluding Hydrocarbons & Energy, declined 1%, reflecting the impact of reduced economic activity in China with the onset of the COVID-19 pandemic and containment interventions. Our volume in China was down 25% sequentially as seasonal decline due to the Chinese New Year was intensified by the sudden demand reduction due to the virus."
10,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,10,James R. Fitterling,CEO & Chairman,EXECUTIVES,"Cash flow was again a noteworthy headline. We generated a solid $1.2 billion in cash from continuing operations, a 79% conversion of operating EBITDA to cash from operation, and our free cash flow increased by $240 million year-over-year. This was underpinned by 3 actions: one, our quick response to shifting trends in global energy prices and regional demand, which enabled us to liberate cash from working capital; two, tight capital and expense controls, including more than $30 million in stranded cost savings; and three, a nonoperational cash inflow as we recovered a $259 million tax withholding from the Canadian tax authorities related to the 2019 judgment against Nova. We ended the quarter with approximately $12 billion of cash and available liquidity, and we took further actions to reinforce our financial strength and flexibility."
11,"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,11,James R. Fitterling,CEO & Chairman,EXECUTIVES,"Early in the quarter, we opportunistically executed a EUR 2.25 billion euro-denominated debt issuance, achieving a weighted average coupon of about 1%. We immediately used the proceeds to repay debt, extend our debt maturity profile and reduce our financing costs. As a result, today, we have no major long-term debt due until the second half of 2023. And finally, we did all of this while also prioritizing returns to our shareholders. We returned nearly $650 million to owners through our industry-leading dividend as well as opportunistic share repurchases."
