,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"IRadimed Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,0,Operator,,,"Welcome to the IRadimed Corporation First Quarter 2020 Financial Results Conference Call. [Operator Instructions] As a reminder, this call is being recorded today, April 30, 2020, and contains time-sensitive information that is accurate only as of today."
1,"IRadimed Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,1,Operator,,,"Earlier, IRadimed released financial results for the first quarter 2020. A copy of this press release announcing the company's earnings is available under the heading News on their website at iradimed.com."
2,"IRadimed Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,2,Operator,,,"A copy of the press release will also be furnished to the Securities and Exchange Commission on Form 8-K and can be found at sec.gov. This call is being webcast live over the Internet on the company's website at iradimed.com, and a replay of the call will be available on the website for the next 90 days."
3,"IRadimed Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,3,Operator,,,"The agenda for today's call will be as follows: Leslie McDonnell, President and Chief Executive Officer of IRadimed, will present opening comments; then Chris Scott, IRadimed's Chief Financial Officer, will summarize the company's financial results before opening the call up to questions."
4,"IRadimed Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,4,Operator,,,"Some of the information to be furnished in today's session will constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Forward-looking statements are those focused on the future performance results, plans and events and may include the company's expected results for 2020."
5,"IRadimed Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,5,Operator,,,"IRadimed reminds you that future results may differ materially from these forward-looking statements due to a number of risk factors. For a description of the relevant risks and uncertainties that may affect the company's business, please see the Risk Factors section of the company's most recent reports filed with the Securities and Exchange Commission, which again may be obtained for -- on the SEC's website at sec.gov."
6,"IRadimed Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,6,Operator,,,"I would now like to turn the call over to Leslie McDonnell, President and Chief Executive Officer of IRadimed Corporation. Ms. McDonnell?"
7,"IRadimed Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,7,Leslie L. McDonnell,"President, CEO & Director",EXECUTIVES,"Thank you and good morning. Earlier today, we announced first quarter revenue of $8.7 million, which is an increase of 2.8% over the first quarter last year. We also reported GAAP net income of $0.14 per diluted share and non-GAAP net income of $0.18 per diluted share. These results were negatively impacted by the COVID-19 pandemic and similar to the current discussion being had across much of the of 2020."
8,"IRadimed Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,8,Leslie L. McDonnell,"President, CEO & Director",EXECUTIVES,"Regarding our ability to sell our products in the current environment, much of the sales cycle for products recognized in revenue during the first quarter was completed in the fourth quarter 2019. Additionally, as we progress through the first quarter 2020 and the impact of COVID-19 continue to spread throughout the world, we experienced an acceleration in the decline of orders for our products as our customers focus their efforts on preparing for and treating those infected with the virus and deferring decisions to purchase our products into the future. Also during this time, many of our hospital customers began restricting access to health care workers only, diminishing our ability to generate sales, which may delay the timing of future orders."
9,"IRadimed Corporation, Q1 2020 Earnings Call, Apr 30, 2020",Presentation,9,Leslie L. McDonnell,"President, CEO & Director",EXECUTIVES,"We may be further impacted if hospitals choose to maintain their restrictions on hospital entrants and limit their capital spending plans until their operations have stabilized. So despite the significant uncertainties created by COVID-19, we believe that this is a shorter-term dynamic and that higher demand for our products will return."
